"Index" "Open" "High" "Low" "Price"
"2012-09-17" 48.404999 48.959999 48.404999 43.261864
"2012-09-18" 48.955002 49.02 48.169998 42.828682
"2012-09-19" 48.384998 48.880001 48.32 42.859615
"2012-09-20" 48.240002 48.685001 47.735001 42.855206
"2012-09-21" 48.799999 48.900002 48.445 43.036446
"2012-09-24" 48.605 48.639999 48.064999 42.992233
"2012-09-25" 48.900002 49.275002 48.424999 42.850788
"2012-09-26" 48.540001 48.720001 47.68 42.974556
"2012-09-27" 48.935001 50.055 48.755001 44.163624
"2012-09-28" 49.849998 49.875 49.110001 43.712749
"2012-10-01" 49.509998 50.099998 48.709999 43.314919
"2012-10-02" 49.189999 50.099998 48.720001 43.359123
"2012-10-03" 49.240002 49.330002 48.299999 43.045284
"2012-10-04" 48.73 49.705002 48.665001 43.93819
"2012-10-05" 49.900002 51.869999 49.605 45.286392
"2012-10-08" 51.209999 51.674999 50.5 44.866459
"2012-10-09" 50.834999 50.834999 49.299999 43.642029
"2012-10-10" 49.25 49.735001 48.805 43.407742
"2012-10-11" 49.525002 50.049999 48.52 43.06739
"2012-10-12" 48.93 49.055 48.32 42.956879
"2012-10-15" 48.18 48.540001 46.799999 42.833096
"2012-10-16" 48.735001 48.845001 47.830002 42.351284
"2012-10-17" 48.099998 49.474998 47.895 42.532532
"2012-10-18" 48.099998 48.299999 47.560001 42.435284
"2012-10-19" 47.595001 48.029999 46.709999 41.537952
"2012-10-22" 47 47.349998 46.139999 41.772217
"2012-10-23" 46.834999 47.77 46.544998 42.068378
"2012-10-24" 47.610001 48.709999 47.049999 42.063965
"2012-10-25" 47.505001 47.689999 45.049999 41.056122
"2012-10-26" 46.549999 46.610001 45.790001 40.702496
"2012-10-31" 46.095001 48.200001 46.064999 42.519264
"2012-11-01" 48.150002 48.799999 47.525002 42.859615
"2012-11-02" 48.419998 48.700001 47.154999 41.803162
"2012-11-05" 47.25 47.415001 47.049999 41.847366
"2012-11-06" 47.400002 47.584999 46.794998 41.529099
"2012-11-07" 46.5 46.75 45.740002 40.468231
"2012-11-08" 45.794998 46.224998 45.450001 40.667133
"2012-11-09" 45.224998 46.27 45.130001 40.755543
"2012-11-12" 46.139999 46.275002 45.544998 40.370991
"2012-11-13" 45.349998 45.759998 45.099998 39.95105
"2012-11-14" 45.224998 46.25 43.654999 38.651466
"2012-11-15" 43.310001 43.794998 42.93 38.40778
"2012-11-16" 43.615002 43.689999 43.029999 38.620449
"2012-11-19" 44.095001 44.945 44.095001 39.57299
"2012-11-20" 44.669998 45.040001 44.5 39.896423
"2012-11-21" 45.325001 45.465 44.755001 39.79895
"2012-11-23" 45.200001 45.490002 44.924999 40.197704
"2012-11-26" 45.25 45.77 44.575001 39.772366
"2012-11-27" 44.715 44.924999 44.514999 39.626163
"2012-11-28" 44.705002 45.48 44.494999 40.188828
"2012-11-29" 45.685001 46 44.599998 40.047062
"2012-11-30" 45.200001 45.25 44.650002 39.705914
"2012-12-03" 44.529999 44.994999 43.900002 39.32933
"2012-12-04" 43 43.200001 41.195 36.945724
"2012-12-05" 41.875 42.875 41.695 37.353317
"2012-12-06" 42.09 42.77 41.91 37.481815
"2012-12-07" 42.349998 43.139999 42.169998 38.04892
"2012-12-10" 42.880001 43.240002 42.330002 37.574844
"2012-12-11" 42.955002 43.5 42.59 38.221699
"2012-12-12" 43.435001 43.494999 42.450001 37.743225
"2012-12-13" 42.91 43.73 42.654999 37.805241
"2012-12-14" 42.610001 42.880001 42.400002 37.690052
"2012-12-17" 42.75 43.845001 42.645 38.633728
"2012-12-18" 45.209999 45.209999 43.369999 38.491962
"2012-12-19" 43.869999 44.615002 43.465 39.355911
"2012-12-20" 44.169998 44.689999 43.799999 39.457809
"2012-12-21" 44.014999 44.355 43.605 39.001472
"2012-12-24" 44.235001 44.645 43.915001 39.010338
"2012-12-26" 44.014999 44.154999 43.43 38.58057
"2012-12-27" 43.450001 44.009998 43.235001 38.841972
"2012-12-28" 43.66 44.25 42.919998 38.753361
"2012-12-31" 43.605 44.305 43.130001 39.147671
"2013-01-02" 45.41 46 44.27 40.68948
"2013-01-03" 45.919998 46.945 45.630001 40.654034
"2013-01-04" 46.040001 46.334999 45.715 40.600876
"2013-01-07" 45.560001 46.240002 44.77 40.029354
"2013-01-08" 45.470001 46.18 45.310001 40.69833
"2013-01-09" 45.93 46.73 45.810001 41.38063
"2013-01-10" 46.814999 46.860001 46.130001 41.221127
"2013-01-11" 47.005001 47.599998 45.549999 40.534393
"2013-01-14" 45.794998 46.360001 45.279999 40.614159
"2013-01-15" 45.73 46.595001 45.57 40.999619
"2013-01-16" 46.244999 46.674999 46.23 41.181267
"2013-01-17" 46.700001 47.125 46.529999 41.642033
"2013-01-18" 47.075001 47.200001 46.52 41.664192
"2013-01-22" 46.93 47.189999 46.525002 41.668613
"2013-01-23" 46.709999 46.900002 45.66 40.888836
"2013-01-24" 46.145 47.130001 46.005001 41.455952
"2013-01-25" 46.955002 48.064999 46.615002 42.470531
"2013-01-28" 47.965 48.119999 47.105 41.974323
"2013-01-29" 47.060001 47.395 46.455002 41.642033
"2013-01-30" 46.669998 47.32 46.575001 41.841393
"2013-01-31" 50.799999 52.415001 50 45.930729
"2013-02-01" 51.845001 52.384998 51.025002 46.059212
"2013-02-04" 50.615002 51.435001 50.615002 45.26173
"2013-02-05" 51.009998 51.970001 51.009998 45.873131
"2013-02-06" 51.48 51.924999 51.169998 45.629459
"2013-02-07" 51.619999 51.825001 51.255001 45.656033
"2013-02-08" 51.5 52.02 51.470001 46.094662
"2013-02-11" 51.77 51.970001 51.380001 45.722507
"2013-02-12" 51.705002 51.82 51.215 45.616161
"2013-02-13" 51.325001 51.599998 51.165001 45.678181
"2013-02-14" 51.68 52.375 51.264999 45.966171
"2013-02-15" 51.994999 52.685001 51.404999 45.975033
"2013-02-19" 51.955002 52.445 51.279999 45.828842
"2013-02-20" 51.255001 51.720001 50.77 44.995899
"2013-02-21" 50.540001 51.040001 50.349998 44.787258
"2013-02-22" 50.5 50.830002 50.299999 44.947075
"2013-02-25" 50.93 51.380001 50.599998 44.964825
"2013-02-26" 51.255001 51.615002 50.755001 45.510849
"2013-02-27" 51.264999 51.990002 51.185001 45.839344
"2013-02-28" 51.540001 52.450001 51.540001 46.16341
"2013-03-01" 51.919998 52.345001 51.290001 45.763866
"2013-03-04" 51.605 51.875 51.290001 46.025787
"2013-03-05" 52.115002 52.349998 51.830002 46.296593
"2013-03-06" 52.380001 52.645 51.935001 46.269947
"2013-03-07" 51.880001 52.095001 50.875 46.087944
"2013-03-08" 52 52.470001 51.575001 46.478592
"2013-03-11" 52.299999 52.5 51.900002 46.190052
"2013-03-12" 52.025002 52.025002 51.34 45.688404
"2013-03-13" 51.294998 52.110001 51.294998 45.630711
"2013-03-14" 51.535 51.549999 51.115002 45.497517
"2013-03-15" 50.98 51.209999 50.450001 44.840527
"2013-03-18" 50.110001 50.855 49.82 44.942635
"2013-03-19" 50.740002 50.805 50.014999 44.654083
"2013-03-20" 50.544998 51.255001 50.25 45.430931
