"Index" "Open" "High" "Low" "Price"
"2012-09-17" 2.156667 2.185333 2.100667 2.169333
"2012-09-18" 2.125333 2.126667 2.045333 2.089333
"2012-09-19" 2.066667 2.116 2.062667 2.07
"2012-09-20" 2.062 2.1 2.045333 2.06
"2012-09-21" 2.073333 2.099333 1.969333 2.001333
"2012-09-24" 1.967333 2.068667 1.96 2.044
"2012-09-25" 1.908 1.965333 1.835333 1.844
"2012-09-26" 1.844 1.893333 1.832 1.836
"2012-09-27" 1.854667 1.902667 1.84 1.899333
"2012-09-28" 1.915333 1.992667 1.907333 1.952
"2012-10-01" 1.966667 1.992667 1.933333 1.944
"2012-10-02" 1.952 1.992667 1.933333 1.986667
"2012-10-03" 1.983333 1.996667 1.949333 1.953333
"2012-10-04" 2 2.006667 1.91 1.96
"2012-10-05" 1.98 1.987333 1.912 1.926
"2012-10-08" 1.924 1.96 1.907333 1.95
"2012-10-09" 1.941333 1.941333 1.883333 1.891333
"2012-10-10" 1.892667 1.914667 1.867333 1.893333
"2012-10-11" 1.929333 1.932 1.883333 1.888
"2012-10-12" 1.888 1.915333 1.833333 1.842667
"2012-10-15" 1.868 1.87 1.790667 1.822
"2012-10-16" 1.844667 1.872667 1.822667 1.870667
"2012-10-17" 1.883333 1.922667 1.853333 1.921333
"2012-10-18" 1.932667 1.932667 1.852 1.869333
"2012-10-19" 1.855333 1.88 1.82 1.849333
"2012-10-22" 1.866 1.866667 1.824 1.856667
"2012-10-23" 1.825333 1.904 1.824667 1.892667
"2012-10-24" 1.901333 1.901333 1.816667 1.828
"2012-10-25" 1.853333 1.853333 1.83 1.834667
"2012-10-26" 1.835333 1.853333 1.801333 1.825333
"2012-10-31" 1.846667 1.89 1.824667 1.875333
"2012-11-01" 1.883333 1.966 1.88 1.95
"2012-11-02" 1.951333 1.97 1.903333 1.928
"2012-11-05" 1.986667 2.105333 1.955333 2.1
"2012-11-06" 2.040667 2.08 1.996667 2.076667
"2012-11-07" 2.066667 2.136667 2.054 2.102667
"2012-11-08" 2.067333 2.125333 2.062667 2.087333
"2012-11-09" 2.04 2.062 1.99 2.021333
"2012-11-12" 2.019333 2.094667 2.010667 2.071333
"2012-11-13" 2.086 2.133333 2.048 2.107333
"2012-11-14" 2.130667 2.141333 2.08 2.092
"2012-11-15" 2.086667 2.096 2.033333 2.054667
"2012-11-16" 2.076667 2.133333 2.039333 2.122667
"2012-11-19" 2.138 2.216667 2.122667 2.194667
"2012-11-20" 2.186667 2.206667 2.127333 2.2
"2012-11-21" 2.174 2.231333 2.152667 2.164667
"2012-11-23" 2.173333 2.188667 2.113333 2.142
"2012-11-26" 2.14 2.153333 2.108 2.151333
"2012-11-27" 2.142 2.177333 2.101333 2.143333
"2012-11-28" 2.133333 2.286 2.127333 2.215333
"2012-11-29" 2.229333 2.266667 2.191333 2.246
"2012-11-30" 2.242 2.285333 2.200667 2.254667
"2012-12-03" 2.259333 2.333333 2.233333 2.308
"2012-12-04" 2.272 2.32 2.236667 2.26
"2012-12-05" 2.254667 2.279333 2.238667 2.247333
"2012-12-06" 2.254667 2.32 2.233333 2.26
"2012-12-07" 2.286667 2.299333 2.256667 2.278
"2012-12-10" 2.295333 2.32 2.278667 2.304667
"2012-12-11" 2.306667 2.366667 2.297333 2.352
"2012-12-12" 2.347333 2.386667 2.33 2.350667
"2012-12-13" 2.350667 2.353333 2.183333 2.240667
"2012-12-14" 2.252 2.293333 2.239333 2.254
"2012-12-17" 2.251333 2.3 2.25 2.293333
"2012-12-18" 2.284 2.338 2.284 2.306
"2012-12-19" 2.316667 2.350667 2.301333 2.307333
"2012-12-20" 2.300667 2.319333 2.27 2.295333
"2012-12-21" 2.262667 2.278 2.238667 2.266667
"2012-12-24" 2.242667 2.29 2.236667 2.285333
"2012-12-26" 2.264 2.3 2.233333 2.239333
"2012-12-27" 2.233333 2.260667 2.2 2.246
"2012-12-28" 2.225333 2.243333 2.201333 2.214667
"2012-12-31" 2.2 2.264667 2.2 2.258
"2013-01-02" 2.333333 2.363333 2.314 2.357333
"2013-01-03" 2.345333 2.363333 2.316667 2.318
"2013-01-04" 2.32 2.32 2.261333 2.293333
"2013-01-07" 2.32 2.32 2.26 2.289333
"2013-01-08" 2.3 2.3 2.207333 2.245333
"2013-01-09" 2.267333 2.279333 2.226667 2.242667
"2013-01-10" 2.258 2.266 2.225333 2.235333
"2013-01-11" 2.269333 2.269333 2.140667 2.194
"2013-01-14" 2.205333 2.225333 2.19 2.217333
"2013-01-15" 2.207333 2.283333 2.205333 2.26
"2013-01-16" 2.256667 2.282 2.248667 2.273333
"2013-01-17" 2.277333 2.323333 2.261333 2.292
"2013-01-18" 2.316 2.318667 2.254667 2.301333
"2013-01-22" 2.304 2.37 2.284 2.346
"2013-01-23" 2.334667 2.416 2.330667 2.4
"2013-01-24" 2.4 2.514667 2.389333 2.466
"2013-01-25" 2.466667 2.502667 2.453333 2.465333
"2013-01-28" 2.457333 2.580667 2.457333 2.535333
"2013-01-29" 2.54 2.562667 2.475333 2.53
"2013-01-30" 2.523333 2.533333 2.495333 2.501333
"2013-01-31" 2.524667 2.524667 2.462 2.500667
"2013-02-01" 2.544667 2.566667 2.508 2.553333
"2013-02-04" 2.56 2.561333 2.506 2.516
"2013-02-05" 2.533333 2.576667 2.512 2.542
"2013-02-06" 2.545333 2.626 2.526667 2.611333
"2013-02-07" 2.612667 2.645333 2.596667 2.632
"2013-02-08" 2.63 2.666667 2.609333 2.616
"2013-02-11" 2.532 2.61 2.5 2.561333
"2013-02-12" 2.563333 2.591333 2.486 2.526
"2013-02-13" 2.553333 2.6 2.536667 2.563333
"2013-02-14" 2.576 2.583333 2.547333 2.551333
"2013-02-15" 2.566667 2.567333 2.463333 2.469333
"2013-02-19" 2.490667 2.619333 2.487333 2.618667
"2013-02-20" 2.62 2.643333 2.564 2.569333
"2013-02-21" 2.432667 2.492667 2.302667 2.344
"2013-02-22" 2.381333 2.426 2.373333 2.407333
"2013-02-25" 2.41 2.45 2.289333 2.292
"2013-02-26" 2.297333 2.330667 2.253333 2.295333
"2013-02-27" 2.294 2.360667 2.293333 2.34
"2013-02-28" 2.392667 2.406667 2.291333 2.322
"2013-03-01" 2.333333 2.338667 2.283333 2.31
"2013-03-04" 2.318 2.388667 2.313333 2.372
"2013-03-05" 2.4 2.461333 2.386 2.443333
"2013-03-06" 2.467333 2.525333 2.464667 2.512667
"2013-03-07" 2.515333 2.576667 2.458667 2.548667
"2013-03-08" 2.537333 2.629333 2.490667 2.564667
"2013-03-11" 2.591333 2.629333 2.576667 2.606667
"2013-03-12" 2.593333 2.625333 2.59 2.608
"2013-03-13" 2.6 2.632667 2.587333 2.598667
"2013-03-14" 2.593333 2.594 2.451333 2.456667
"2013-03-15" 2.442667 2.443333 2.347333 2.352667
"2013-03-18" 2.353333 2.404 2.328 2.343333
"2013-03-19" 2.35 2.373333 2.329333 2.338667
"2013-03-20" 2.350667 2.404667 2.344 2.396667
"2013-03-21" 2.396667 2.470667 2.382667 2.400667
"2013-03-22" 2.413333 2.453333 2.413333 2.441333
"2013-03-25" 2.473333 2.568 2.451333 2.502
"2013-03-26" 2.532 2.548 2.510667 2.524
"2013-03-27" 2.529333 2.558667 2.487333 2.544
"2013-03-28" 2.548667 2.549333 2.516667 2.526
"2013-04-01" 2.824 3.112 2.78 2.928667
"2013-04-02" 2.906667 3.033333 2.900667 2.956
"2013-04-03" 2.873333 2.898 2.680667 2.74
"2013-04-04" 2.740667 2.816667 2.720667 2.800667
"2013-04-05" 2.8 2.8 2.7 2.758
"2013-04-08" 2.798 2.836667 2.767333 2.788667
"2013-04-09" 2.786667 2.788667 2.688667 2.7
"2013-04-10" 2.713333 2.800667 2.707333 2.790667
"2013-04-11" 2.804 2.97 2.783333 2.906
"2013-04-12" 2.883333 3.009333 2.87 2.916667
"2013-04-15" 2.9 2.92 2.834 2.886667
"2013-04-16" 2.946 3.076 2.927333 3.039333
"2013-04-17" 3.033333 3.063333 2.969333 3.03
"2013-04-18" 3.065333 3.173333 3.026 3.131333
"2013-04-19" 3.164 3.325333 3.138 3.188667
"2013-04-22" 3.24 3.346667 3.183333 3.346
"2013-04-23" 3.4 3.528 3.377333 3.400667
"2013-04-24" 3.393333 3.403333 3.265333 3.362
"2013-04-25" 3.366667 3.493333 3.366667 3.466667
"2013-04-26" 3.542 3.582667 3.374667 3.413333
"2013-04-29" 3.450667 3.666 3.413333 3.662667
"2013-04-30" 3.733333 3.878667 3.584 3.599333
"2013-05-01" 3.732667 3.732667 3.533333 3.552
"2013-05-02" 3.59 3.684667 3.58 3.607333
"2013-05-03" 3.764667 3.764667 3.633333 3.636667
"2013-05-06" 3.759333 3.977333 3.7 3.966667
"2013-05-07" 4.133333 4.158 3.674667 3.700667
"2013-05-08" 3.833333 3.88 3.714 3.719333
"2013-05-09" 4.674667 5.051333 4.246 4.626667
"2013-05-10" 4.643333 5.4 4.616667 5.117333
"2013-05-13" 5.399333 5.866667 5.276667 5.853333
"2013-05-14" 6.281333 6.474667 5.41 5.549333
"2013-05-15" 5.453333 5.792 5.207333 5.656
"2013-05-16" 6.313333 6.333333 5.910667 6.15
"2013-05-17" 6.166667 6.296 5.833333 6.1
"2013-05-20" 6.074667 6.166667 5.908667 5.996
"2013-05-21" 5.9 5.999333 5.685333 5.839333
"2013-05-22" 5.758 6.064 5.7 5.816
"2013-05-23" 5.654 6.200667 5.536667 6.182
"2013-05-24" 6.173333 6.53 6.133333 6.472
"2013-05-28" 6.77 7.383333 6.686667 7.355333
"2013-05-29" 7.57 7.66 6.6 6.975333
"2013-05-30" 6.830667 7.302667 6.746667 6.996667
"2013-05-31" 7.084 7.096 6.515333 6.517333
"2013-06-03" 6.508 6.508 5.883333 6.172667
