"Index" "Open" "High" "Low" "Price"
"2012-09-17" 10.97 11.22 10.85 11.15
"2012-09-18" 11.18 11.36 11 11.14
"2012-09-19" 11.24 11.31 11.01 11.15
"2012-09-20" 11.05 11.15 10.94 11
"2012-09-21" 11.13 11.18 10.69 10.73
"2012-09-24" 10.7 11.14 10.66 10.75
"2012-09-25" 10.91 10.91 10.45 10.46
"2012-09-26" 10.48 10.57 10.12 10.5
"2012-09-27" 10.59 10.81 10.49 10.61
"2012-09-28" 10.56 10.59 10.24 10.44
"2012-10-01" 10.43 10.65 10.19 10.2
"2012-10-02" 11.17 11.17 10.14 10.24
"2012-10-03" 10.29 10.29 10.01 10.19
"2012-10-04" 10.2 10.88 10.11 10.85
"2012-10-05" 10.9 11.26 10.85 11.21
"2012-10-08" 11.13 11.18 10.9 11.01
"2012-10-09" 11.02 11.09 10.6 10.61
"2012-10-10" 10.59 10.62 10.29 10.32
"2012-10-11" 10.39 11.09 10.32 10.97
"2012-10-12" 11.01 11.37 10.96 11.18
"2012-10-15" 11.3 11.57 11.22 11.5
"2012-10-16" 11.58 11.79 11.41 11.5
"2012-10-17" 11.49 11.64 11.34 11.46
"2012-10-18" 11.48 11.6 11.33 11.45
"2012-10-19" 11.39 11.43 10.9 10.98
"2012-10-22" 10.85 11.1 10.76 10.93
"2012-10-23" 10.81 11.04 10.57 11.02
"2012-10-24" 11.12 11.27 10.89 11.24
"2012-10-25" 11.36 11.38 10.89 10.94
"2012-10-26" 10.97 11.07 10.49 10.71
"2012-10-31" 11.38 11.55 10.98 11.15
"2012-11-01" 11.16 11.28 10.77 11.21
"2012-11-02" 11.28 11.28 10.83 11.04
"2012-11-05" 11.01 11.15 10.91 11.03
"2012-11-06" 11.15 11.49 11.11 11.32
"2012-11-07" 11.07 11.26 10.8 10.87
"2012-11-08" 11.03 11.44 11 11.11
"2012-11-09" 11.07 11.24 10.97 11.03
"2012-11-12" 11.19 11.55 11.19 11.45
"2012-11-13" 11.4 11.53 11.24 11.51
"2012-11-14" 11.53 11.58 11.42 11.47
"2012-11-15" 11.5 11.69 11.36 11.55
"2012-11-16" 11.52 11.98 11.45 11.85
"2012-11-19" 11.98 12.47 11.93 12.35
"2012-11-20" 12.33 12.47 12.19 12.24
"2012-11-21" 12.31 12.5 12.25 12.3
"2012-11-23" 12.43 12.64 12.36 12.42
"2012-11-26" 12.39 12.48 12.24 12.39
"2012-11-27" 12.34 12.58 12.21 12.4
"2012-11-28" 12.36 12.57 12.18 12.53
"2012-11-29" 12.63 12.76 12.45 12.53
"2012-11-30" 12.4 12.48 12.28 12.37
"2012-12-03" 12.48 12.54 12.23 12.34
"2012-12-04" 12.32 12.41 12.15 12.3
"2012-12-05" 12.33 12.33 12.07 12.1
"2012-12-06" 12.15 12.29 12.04 12.19
"2012-12-07" 12.24 12.36 12.14 12.33
"2012-12-10" 12.32 12.55 12.3 12.52
"2012-12-11" 12.59 12.88 12.49 12.77
"2012-12-12" 13.25 13.38 13.05 13.1
"2012-12-13" 13.15 13.33 12.95 13.03
"2012-12-14" 13 13.14 12.95 13.1
"2012-12-17" 13.16 13.16 12.43 12.6
"2012-12-18" 12.54 12.86 12.54 12.66
"2012-12-19" 12.64 12.86 11.94 11.98
"2012-12-20" 11.96 12.06 11.42 11.69
"2012-12-21" 11.48 11.48 11.12 11.35
"2012-12-24" 11.4 11.53 11.08 11.2
"2012-12-26" 11.2 11.34 11.02 11.14
"2012-12-27" 11.1 11.12 10.84 11
"2012-12-28" 10.95 11.11 10.9 11.02
"2012-12-31" 10.85 11.17 10.61 11.01
"2013-01-02" 11.22 11.56 11.11 11.48
"2013-01-03" 11.5 11.96 11.42 11.88
"2013-01-04" 11.93 12.26 11.92 12.2
"2013-01-07" 12.11 12.37 12.08 12.16
"2013-01-08" 12.1 12.15 11.78 11.78
"2013-01-09" 11.87 12.09 11.53 11.92
"2013-01-10" 12.05 12.22 11.97 11.98
"2013-01-11" 11.96 12.39 11.88 12.31
"2013-01-14" 12.25 12.39 12.12 12.2
"2013-01-15" 12.14 12.51 12.06 12.46
"2013-01-16" 12.53 12.53 12.27 12.3
"2013-01-17" 12.41 12.71 12.41 12.49
"2013-01-18" 12.5 12.7 12.45 12.52
"2013-01-22" 12.49 12.54 12.41 12.54
"2013-01-23" 12.54 12.61 12.47 12.53
"2013-01-24" 12.49 12.7 12.35 12.61
"2013-01-25" 12.7 12.92 12.6 12.82
"2013-01-28" 13.01 13.17 12.82 13.12
"2013-01-29" 13.16 13.2 12.93 13.06
"2013-01-30" 13.1 13.19 12.96 13.06
"2013-01-31" 12.99 13.3 11.55 12.17
