"Index" "Open" "High" "Low" "Price"
"2012-09-17" 29.629999 29.709999 28.98 22.313705
"2012-09-18" 28.940001 28.98 28.58 21.976318
"2012-09-19" 28.68 28.780001 28.379999 21.999323
"2012-09-20" 28.49 28.91 28.41 22.122009
"2012-09-21" 28.969999 29.290001 28.959999 22.229359
"2012-09-24" 28.639999 28.73 28.48 21.991653
"2012-09-25" 28.799999 28.950001 27.780001 21.339882
"2012-09-26" 27.459999 27.58 26.940001 21.140511
"2012-09-27" 27.719999 27.950001 27.43 21.378222
"2012-09-28" 27.719999 27.82 27.4 21.132851
"2012-10-01" 27.549999 27.809999 27.469999 21.171183
"2012-10-02" 27.75 27.799999 27.51 21.171183
"2012-10-03" 27.35 27.700001 27.35 21.063831
"2012-10-04" 27.59 27.91 27.43 21.401222
"2012-10-05" 28.059999 28.530001 27.98 21.592918
"2012-10-08" 27.940001 28.23 27.780001 21.462566
"2012-10-09" 27.950001 27.99 27.27 20.948814
"2012-10-10" 27.389999 27.440001 27.059999 20.833792
"2012-10-11" 27.15 27.530001 27 20.933483
"2012-10-12" 27.280001 27.530001 27.059999 20.91814
"2012-10-15" 27.790001 28.610001 27.73 21.638927
"2012-10-16" 28.32 28.780001 28.25 22.029995
"2012-10-17" 28.190001 28.74 28.120001 21.830629
"2012-10-18" 28.459999 28.860001 28.32 22.052999
"2012-10-19" 28.76 28.77 27.74 21.324549
"2012-10-22" 27.690001 28.24 27.629999 21.309208
"2012-10-23" 27.34 27.98 27.209999 21.347549
"2012-10-24" 27.91 27.98 27.42 21.240196
"2012-10-25" 28 28.200001 27.870001 21.569921
"2012-10-26" 28.09 28.92 28.059999 22.175688
"2012-10-31" 28.9 28.9 28.059999 21.696796
"2012-11-01" 28.299999 29.23 28.17 22.561884
"2012-11-02" 29.27 29.299999 28.48 22.036654
"2012-11-05" 28.66 29.51 28.459999 22.762709
"2012-11-06" 29.49 30.02 29.389999 23.125732
"2012-11-07" 29.620001 29.73 28.969999 22.623678
"2012-11-08" 29.26 29.5 29.120001 22.507822
"2012-11-09" 29.129999 29.9 29 22.793606
"2012-11-12" 29.559999 29.690001 29.34 22.793606
"2012-11-13" 29.309999 29.74 29.290001 22.693195
"2012-11-14" 29.43 29.639999 28.700001 22.214308
"2012-11-15" 28.75 29.08 28.65 22.237474
"2012-11-16" 28.82 28.950001 28.049999 21.874445
"2012-11-19" 28.700001 28.940001 28.450001 22.322441
"2012-11-20" 28.76 29.309999 28.6 22.639124
"2012-11-21" 29.299999 29.42 29.059999 22.554161
"2012-11-23" 29.440001 29.84 29.17 22.855396
"2012-11-26" 29.52 29.780001 29.290001 22.886297
"2012-11-27" 29.639999 29.780001 29.4 22.75499
"2012-11-28" 29.34 29.83 29.049999 23.002153
"2012-11-29" 29.799999 30.1 29.65 23.210707
"2012-11-30" 30.059999 30.200001 29.440001 22.762709
"2012-12-03" 29.76 29.85 29.559999 22.870846
"2012-12-04" 29.639999 29.790001 29.389999 22.870846
"2012-12-05" 29.58 29.940001 29.48 23.06395
"2012-12-06" 29.82 30.059999 29.639999 23.025328
"2012-12-07" 29.879999 29.889999 29.52 23.056223
"2012-12-10" 29.82 29.950001 29.709999 23.033051
"2012-12-11" 29.950001 31.139999 29.9 23.952204
"2012-12-12" 31.07 31.27 30.709999 23.990831
"2012-12-13" 30.92 31.25 30.440001 23.620075
"2012-12-14" 30.450001 31.1 30.360001 23.790005
"2012-12-17" 30.48 30.99 30.440001 23.874968
"2012-12-18" 31 31.549999 30.870001 24.207102
"2012-12-19" 31.35 31.809999 31.25 24.137585
"2012-12-20" 31.25 31.360001 30.969999 24.160753
"2012-12-21" 30.93 31.08 30.4 23.890427
"2012-12-24" 30.82 30.950001 30.66 23.890427
"2012-12-26" 30.91 31.16 30.75 23.797729
"2012-12-27" 30.74 30.93 30.440001 23.743664
"2012-12-28" 30.549999 30.889999 30.440001 23.53511
"2012-12-31" 30.48 30.99 30.299999 23.859524
"2013-01-02" 31.549999 32.41 31.49 24.956337
"2013-01-03" 32.150002 32.279999 31.780001 24.631924
