"Index" "Open" "High" "Low" "Price"
"2012-09-17" 26.26 26.48 26.18 18.82955
"2012-09-18" 26.360001 26.549999 25.99 18.558514
"2012-09-19" 26.02 26.110001 25.889999 18.494326
"2012-09-20" 25.85 25.870001 25.17 18.066381
"2012-09-21" 25.290001 25.4 25.120001 18.009321
"2012-09-24" 25.219999 25.450001 25.02 17.980789
"2012-09-25" 25.219999 25.35 24.84 17.716894
"2012-09-26" 24.84 25.09 24.76 17.781084
"2012-09-27" 24.98 25.299999 24.85 17.888069
"2012-09-28" 25.030001 25.030001 24.790001 17.702625
"2012-10-01" 24.85 24.91 24.190001 17.488651
"2012-10-02" 24.4 24.690001 24.4 17.609905
"2012-10-03" 24.700001 24.73 24.4 17.452988
"2012-10-04" 24.6 24.629999 24.059999 17.224751
"2012-10-05" 23.879999 24.280001 23.85 17.390306
"2012-10-08" 24.059999 24.299999 23.99 17.383108
"2012-10-09" 24.129999 24.370001 24.1 17.455088
"2012-10-10" 24.24 24.469999 24.17 17.613445
"2012-10-11" 24.549999 24.6 24.17 17.397511
"2012-10-12" 24.17 24.309999 24.01 17.282347
"2012-10-15" 24.059999 24.290001 23.84 17.483879
"2012-10-16" 24.379999 24.52 24.24 17.584654
"2012-10-17" 24.43 24.5 24.219999 17.563053
"2012-10-18" 24.41 24.790001 24.360001 17.843784
"2012-10-19" 24.74 24.93 24.68 17.786194
"2012-10-22" 24.709999 24.73 24.280001 17.613445
"2012-10-23" 24.290001 24.389999 24.08 17.476685
"2012-10-24" 24.379999 24.459999 24.110001 17.469486
"2012-10-25" 24.34 24.48 24.049999 17.541466
"2012-10-26" 24.42 24.42 24.030001 17.433495
"2012-10-31" 24.15 24.309999 23.77 17.469486
"2012-11-01" 24.24 24.74 24.07 17.613445
"2012-11-02" 24.629999 25.09 24.59 17.829384
"2012-11-05" 24.77 24.77 24.440001 17.735809
"2012-11-06" 24.51 24.65 24.299999 17.563053
"2012-11-07" 24.23 24.4 24.139999 17.433495
"2012-11-08" 24.209999 24.219999 23.83 17.167171
"2012-11-09" 23.799999 23.82 23.42 16.872053
"2012-11-12" 23.49 23.610001 23.139999 16.857662
"2012-11-13" 23.25 23.51 23.25 16.792875
"2012-11-14" 23.35 23.389999 22.620001 16.360996
"2012-11-15" 22.700001 22.76 22.35 16.202644
"2012-11-16" 22.6 22.709999 22.309999 16.245836
"2012-11-19" 22.68 22.889999 22.440001 16.447374
"2012-11-20" 22.799999 22.84 22.59 16.425781
"2012-11-21" 22.799999 22.85 22.59 16.346601
"2012-11-23" 22.83 22.93 22.74 16.490561
"2012-11-26" 22.75 23.139999 22.73 16.504957
"2012-11-27" 22.809999 23.41 22.440001 16.641726
"2012-11-28" 23.26 23.26 22.77 16.526552
"2012-11-29" 23.08 23.219999 22.700001 16.569738
"2012-11-30" 23.110001 23.18 22.85 16.562544
"2012-12-03" 22.99 23.139999 22.860001 16.591331
"2012-12-04" 23 23.26 22.92 16.634514
"2012-12-05" 23.139999 23.26 22.959999 16.663305
"2012-12-06" 23.17 23.379999 23.09 16.677708
"2012-12-07" 23.200001 23.24 23 16.576937
"2012-12-10" 23.030001 23.18 22.879999 16.512159
"2012-12-11" 22.969999 23.049999 22.75 16.483356
"2012-12-12" 22.83 22.959999 22.709999 16.382591
"2012-12-13" 22.809999 22.83 22.58 16.274628
"2012-12-14" 22.629999 22.870001 22.52 16.303411
"2012-12-17" 22.67 22.92 22.540001 16.497757
"2012-12-18" 22.9 23.17 22.870001 16.677708
"2012-12-19" 23.299999 23.299999 23.059999 16.656115
"2012-12-20" 23.16 23.620001 23.1 16.987221
"2012-12-21" 23.440001 23.91 23.34 17.145573
"2012-12-24" 23.75 23.92 23.629999 17.167171
"2012-12-26" 23.83 23.84 23.52 16.965628
"2012-12-27" 23.6 23.82 23.51 17.10239
"2012-12-28" 23.65 23.790001 23.57 16.972824
"2012-12-31" 23.52 23.799999 23.469999 17.116791
"2013-01-02" 24.129999 24.16 23.77 17.217556
"2013-01-03" 23.93 24.110001 23.860001 17.253548
"2013-01-04" 23.99 24 23.879999 17.267944
"2013-01-07" 23.59 24.16 23.549999 17.383108
"2013-01-08" 24.030001 24.120001 22.68 17.455751
"2013-01-09" 24.049999 24.4 24.030001 17.651882
"2013-01-10" 24.35 24.440001 24.25 17.724527
"2013-01-11" 24.35 24.49 24.190001 17.717258
"2013-01-14" 24.389999 24.549999 24.35 17.811695
