"Index" "Open" "High" "Low" "Price"
"2012-09-17" 54.59 54.639999 54.009998 46.673908
"2012-09-18" 54.330002 55.43 54.299999 47.230762
"2012-09-19" 55.060001 55.32 54.73 47.076557
"2012-09-20" 54.689999 54.970001 54.41 47.067974
"2012-09-21" 55.09 56.220001 54.91 48.130318
"2012-09-24" 56.080002 56.639999 55.849998 47.958969
"2012-09-25" 56.220001 56.5 55.84 48.147449
"2012-09-26" 56.34 56.75 55.75 47.787624
"2012-09-27" 56.290001 56.439999 55.700001 48.181728
"2012-09-28" 55.950001 55.98 55.18 47.470627
"2012-10-01" 55.720001 56.560001 55.52 48.370186
"2012-10-02" 56.459999 56.889999 56.310001 48.661488
"2012-10-03" 56.98 57.150002 56.630001 48.712872
"2012-10-04" 57.150002 58.150002 57.009998 49.663837
"2012-10-05" 58.099998 58.150002 56.84 48.944195
"2012-10-08" 57.59 58.290001 57.32 49.346848
"2012-10-09" 57.599998 57.84 57.099998 49.235481
"2012-10-10" 57.419998 57.759998 56.93 48.927055
"2012-10-11" 57.540001 58.18 57.330002 49.398258
"2012-10-12" 57.75 57.75 56.919998 48.892799
"2012-10-15" 57.139999 57.790001 56.919998 49.252625
"2012-10-16" 57.189999 57.849998 56.259998 48.730011
"2012-10-17" 57.580002 57.700001 55.650002 47.967548
"2012-10-18" 55.799999 56.43 55.759998 47.984684
"2012-10-19" 56.009998 56.09 55.369999 47.68483
"2012-10-22" 55.52 56.630001 55.450001 48.43874
"2012-10-23" 56.080002 56.32 55.349998 48.130318
"2012-10-24" 56.439999 56.669998 55.77 47.907562
"2012-10-25" 55.939999 56.720001 55.799999 48.156013
"2012-10-26" 56.139999 56.259998 55.34 47.787624
"2012-10-31" 56.139999 56.16 55.509998 47.976116
"2012-11-01" 55.860001 57.09 55.860001 48.789989
"2012-11-02" 57.02 57.240002 55.990002 48.01894
"2012-11-05" 56.259998 56.400002 54.830002 47.359257
"2012-11-06" 55.279999 56.490002 54.650002 48.31023
"2012-11-07" 55.380001 55.400002 53.389999 46.485439
"2012-11-08" 54.349998 54.98 53.419998 45.782913
"2012-11-09" 53.360001 54 52.639999 45.320286
"2012-11-12" 53.040001 53.509998 52.049999 44.720577
"2012-11-13" 52.040001 52.98 52 44.712017
"2012-11-14" 52.389999 52.43 51.099998 43.9067
"2012-11-15" 51.27 51.720001 51.09 43.9067
"2012-11-16" 51.25 52.189999 51.139999 44.46357
"2012-11-19" 52.23 52.91 51.849998 45.328846
"2012-11-20" 52.919998 53.18 52.66 45.525894
"2012-11-21" 53.200001 53.700001 52.82 45.860008
"2012-11-23" 53.669998 53.93 53.5 46.194149
"2012-11-26" 52.990002 53.610001 52.759998 45.860008
"2012-11-27" 53.130001 53.830002 52.549999 45.054695
"2012-11-28" 52.27 53.240002 52.240002 45.191772
"2012-11-29" 53.259998 54.59 53 46.571095
"2012-11-30" 54.18 54.880001 54.07 46.596783
"2012-12-03" 54.560001 54.950001 53.830002 46.168442
"2012-12-04" 53.959999 54.240002 53.52 45.868599
"2012-12-05" 53.73 54.23 53.610001 46.125595
"2012-12-06" 53.900002 53.900002 53.279999 45.962822
"2012-12-07" 53.799999 53.900002 53.389999 46.335262
"2012-12-10" 53.869999 54.330002 53.740002 46.610497
"2012-12-11" 54.25 54.98 54.080002 47.100773
"2012-12-12" 55 55.82 54.900002 47.52224
"2012-12-13" 55.220001 55.389999 54.310001 46.773941
"2012-12-14" 54.169998 54.529999 53.919998 46.490082
"2012-12-17" 54.080002 54.549999 53.98 46.756721
"2012-12-18" 54.619999 55.34 54.470001 47.264206
"2012-12-19" 55.119999 55.119999 54.43 46.868542
"2012-12-20" 54.48 55.509998 54.450001 47.702873
"2012-12-21" 55.380001 55.52 54.43 47.333004
"2012-12-24" 54.799999 55.049999 54.529999 47.178181
"2012-12-26" 54.799999 54.849998 54.119999 46.636318
