"Index" "Open" "High" "Low" "Price"
"2012-09-17" 64.144997 64.144997 63.075001 51.230888
"2012-09-18" 63.275002 63.355 62.654999 51.113808
"2012-09-19" 62.619999 62.919998 61.755001 50.480038
"2012-09-20" 60.564999 61.169998 59.73 48.824947
"2012-09-21" 60.634998 60.715 59.634998 48.18713
"2012-09-24" 59.380001 60.724998 59.299999 48.889534
"2012-09-25" 60.724998 60.990002 60.105 48.594841
"2012-09-26" 59.994999 60.299999 59.255001 48.005482
"2012-09-27" 59.700001 59.794998 59.025002 47.839962
"2012-09-28" 59.060001 59.514999 58.43 47.916672
"2012-10-01" 59.490002 59.639999 59.060001 47.848053
"2012-10-02" 59.595001 59.740002 59.099998 48.07814
"2012-10-03" 59.715 60.360001 59.395 48.699814
"2012-10-04" 60.674999 61.285 60.400002 49.075222
"2012-10-05" 61.139999 61.575001 60.82 49.313412
"2012-10-08" 60.970001 61.595001 60.845001 49.507168
"2012-10-09" 61.400002 61.724998 60.630001 48.950089
"2012-10-10" 60.625 60.919998 60.200001 48.816875
"2012-10-11" 60.974998 61.060001 60.450001 48.812832
"2012-10-12" 60.66 60.990002 60.060001 48.865318
"2012-10-15" 60.59 60.965 59.884998 48.816875
"2012-10-16" 61.014999 61.82 60.665001 49.813972
"2012-10-17" 61.564999 61.994999 60.689999 49.947174
"2012-10-18" 62.025002 64.190002 61.560001 50.597099
"2012-10-19" 62.779999 62.950001 61.560001 49.963318
"2012-10-22" 61.895 62.584999 61.634998 50.193424
"2012-10-23" 61.485001 61.860001 60.965 49.741302
"2012-10-24" 61.715 61.849998 60.150002 48.792671
"2012-10-25" 60.945 61.470001 60.474998 49.103485
"2012-10-26" 60.919998 61.924999 60.66 49.898727
"2012-10-31" 62.294998 62.5 61.294998 49.664604
"2012-11-01" 61.66 63.174999 61.599998 50.85141
"2012-11-02" 63.095001 63.459999 61.985001 50.048088
"2012-11-05" 61.599998 62.299999 61.5 49.951202
"2012-11-06" 62.029999 62.75 61.779999 50.362968
"2012-11-07" 61.68 62.205002 60.654999 49.305321
"2012-11-08" 60.935001 61.244999 60.400002 48.857246
"2012-11-09" 60.380001 60.884998 60 48.542381
"2012-11-12" 60.27 61.095001 60.195 49.15596
"2012-11-13" 60.345001 61.290001 60.299999 48.974304
"2012-11-14" 60.75 60.98 58.584999 47.416111
"2012-11-15" 58.919998 59.255001 58.259998 47.630054
"2012-11-16" 59.025002 59.310001 58.029999 47.456478
"2012-11-19" 59.305 59.860001 59.095001 48.32439
"2012-11-20" 59.799999 60.205002 59.25 48.453568
"2012-11-21" 60.224998 60.365002 59.77 48.457611
"2012-11-23" 60 61 60 49.24073
"2012-11-26" 60.744999 61.105 60.540001 49.196331
"2012-11-27" 60.625 61.669998 60.395 49.349731
"2012-11-28" 60.41 61.41 59.985001 49.849068
"2012-11-29" 61.689999 61.834999 61.044998 49.999271
"2012-11-30" 61.48 61.57 60.959999 49.845013
"2012-12-03" 61.84 62.025002 60.619999 49.296959
"2012-12-04" 60.814999 61.389999 60.654999 49.678566
"2012-12-05" 61.285 61.790001 60.654999 49.877483
"2012-12-06" 61.389999 62.075001 61.064999 49.987095
"2012-12-07" 61.84 62 61.419998 50.319992
"2012-12-10" 62.014999 62.705002 61.919998 50.839638
"2012-12-11" 62.700001 62.790001 61.755001 50.173851
"2012-12-12" 62.18 63.099998 61.884998 50.624477
"2012-12-13" 62.404999 62.855 62.080002 50.620426
"2012-12-14" 61.810001 62.735001 61.810001 50.453964
"2012-12-17" 62.450001 62.939999 62.080002 51.026382
"2012-12-18" 62.755001 63.705002 62.535 51.623161
"2012-12-19" 63.775002 63.775002 62.875 51.058861
"2012-12-20" 62.875 63.075001 62.535 51.200958
"2012-12-21" 62.43 63.080002 62.145 51.022324
"2012-12-24" 62.700001 62.790001 62.424999 50.949261
"2012-12-26" 62.805 62.845001 62.195 50.628529
"2012-12-27" 62.294998 62.505001 61.654999 50.591988
"2012-12-28" 62.014999 62.619999 61.740002 50.153557
"2012-12-31" 61.625 62.91 61.505001 51.038574
"2013-01-02" 64.120003 64.665001 63.66 52.150925
"2013-01-03" 64.125 65.175003 64.044998 52.223999
"2013-01-04" 64.419998 65.489998 64.150002 53.137436
"2013-01-07" 65.199997 65.245003 64.580002 52.885723
"2013-01-08" 65.044998 65.199997 64.5 52.849182
"2013-01-09" 65.294998 65.889999 65.139999 53.137436
"2013-01-10" 65.550003 65.875 64.964996 53.21862
"2013-01-11" 65.724998 66.044998 65.339996 53.169922
"2013-01-14" 65.510002 66 65.489998 53.320114
"2013-01-15" 65.489998 65.824997 65.205002 53.360714
"2013-01-16" 65.485001 65.904999 65.324997 53.328236
"2013-01-17" 66.099998 66.135002 65.584999 53.454079
"2013-01-18" 66.040001 66.260002 65.400002 53.786983
"2013-01-22" 66.230003 66.910004 66.190002 54.286324
"2013-01-23" 66.760002 68.095001 66.760002 54.948063
"2013-01-24" 67.224998 67.75 66.065002 54.335022
"2013-01-25" 67.264999 67.709999 66.629997 54.712605
"2013-01-28" 67.599998 67.599998 66.165001 53.94125
"2013-01-29" 66.394997 67.489998 66.349998 54.70853
"2013-01-30" 66.985001 66.985001 65.25 53.25111
"2013-01-31" 65.629997 66.214996 65.459999 53.368828
"2013-02-01" 66.419998 67.07 66.190002 54.383759
"2013-02-04" 66.375 66.739998 65.885002 53.583988
"2013-02-05" 66.25 66.775002 66.055 54.050865
"2013-02-06" 66.175003 66.675003 66.175003 54.091457
"2013-02-07" 66.514999 66.665001 65.754997 53.588058
"2013-02-08" 66.190002 66.580002 66.099998 54.054916
"2013-02-11" 66.529999 67.129997 66.459999 54.16452
"2013-02-12" 66.739998 67.425003 66.629997 54.672001
"2013-02-13" 67.459999 67.894997 67.404999 54.923698
"2013-02-14" 67.305 68.089996 67.25 55.28096
"2013-02-15" 68.144997 68.514999 68.125 55.548885
"2013-02-19" 68.660004 68.815002 68.059998 55.833069
"2013-02-20" 68.879997 69 67.339996 54.692299
"2013-02-21" 67.18 67.425003 66.940002 54.501488
"2013-02-22" 67.264999 68.139999 67.004997 55.220074
"2013-02-25" 68.300003 68.800003 66.574997 54.067101
"2013-02-26" 66.849998 67.239998 66.394997 54.658825
"2013-02-27" 66.974998 68.629997 66.724998 55.78923
"2013-02-28" 68.574997 69.254997 68.220001 55.95245
"2013-03-01" 68.205002 68.775002 67.75 55.732082
"2013-03-04" 68.135002 69.269997 68.040001 56.458481
"2013-03-05" 69.555 69.879997 69.110001 56.756371
"2013-03-06" 70 70.419998 69.184998 56.707413
"2013-03-07" 69.445 69.614998 68.125 55.915718
"2013-03-08" 68.824997 69.565002 68.5 56.601315
"2013-03-11" 69.385002 69.995003 69.364998 57.005318
"2013-03-12" 70 70.084999 69.150002 56.723728
"2013-03-13" 69.43 69.900002 69.059998 56.952267
"2013-03-14" 70 70.559998 69.760002 57.539906
"2013-03-15" 70.18 70.889999 70.074997 57.821503
"2013-03-18" 69.949997 70.785004 69.910004 57.217518
"2013-03-19" 70.114998 70.385002 69.389999 56.96043
"2013-03-20" 70.375 70.480003 69.349998 56.776772
"2013-03-21" 69.125 69.625 68.864998 56.466625
"2013-03-22" 69.364998 69.665001 69.035004 56.780869
"2013-03-25" 69.980003 70.129997 68.449997 55.985107
"2013-03-26" 69.139999 69.860001 69.010002 56.919601
"2013-03-27" 69.305 70.459999 69.110001 57.470528
"2013-03-28" 70.550003 71.5 70.410004 58.115273
"2013-04-01" 71.205002 71.485001 69.959999 57.172642
"2013-04-02" 70.510002 71.330002 70.220001 57.466446
"2013-04-03" 70.410004 70.690002 69.175003 56.658436
"2013-04-04" 69.294998 69.410004 68.43 56.50338
"2013-04-05" 68.144997 69.394997 68 56.536015
"2013-04-08" 69.199997 69.980003 69.135002 56.976738
"2013-04-09" 70.014999 70.324997 69.440002 57.021633
"2013-04-10" 70 70.775002 69.910004 57.662323
"2013-04-11" 70.864998 71.209999 70.245003 57.703136
"2013-04-12" 70.699997 71.184998 70.254997 57.650085
"2013-04-15" 70.230003 70.260002 67.875 55.401535
"2013-04-16" 68.504997 69.919998 68.434998 56.97266
"2013-04-17" 69.385002 69.455002 68.084999 55.883087
"2013-04-18" 70.230003 71.815002 69.910004 58.135693
"2013-04-19" 71.614998 73.019997 71.230003 59.519119
"2013-04-22" 73.025002 74.099998 72.635002 60.167957
"2013-04-23" 73.974998 74.195 73.169998 60.163906
"2013-04-24" 73.915001 74.050003 73.055 60.110828
"2013-04-25" 74.065002 74.635002 73.720001 60.486271
"2013-04-26" 74.209999 74.355003 73.665001 60.200603
"2013-04-29" 73.535004 73.964996 73.239998 60.159794
"2013-04-30" 73.745003 74 73.160004 60.380173
"2013-05-01" 73.834999 74.300003 72.695 59.445663
"2013-05-02" 72.945 73.925003 72.93 60.05777
"2013-05-03" 74.375 75.57 74.305 60.980034
"2013-05-06" 74.800003 75.870003 74.779999 61.783966
"2013-05-07" 75.995003 77 75.830002 62.730721
"2013-05-08" 76.525002 77.724998 76.25 63.408142
"2013-05-09" 77.345001 77.639999 76.574997 62.710331
"2013-05-10" 77 77.434998 76.504997 62.967419
"2013-05-13" 76.985001 77.544998 76.290001 62.804169
"2013-05-14" 76.900002 78.544998 76.769997 64.044777
"2013-05-15" 78.07 79.055 77.919998 64.48954
"2013-05-16" 78.745003 79.415001 78.330002 64.085594
"2013-05-17" 78.894997 79.970001 78.43 65.256775
