"Index" "Open" "High" "Low" "Price"
"2012-09-17" 73.510002 74.5 73.440002 55.259869
"2012-09-18" 73.870003 74.269997 73.32 54.723873
"2012-09-19" 74.120003 74.870003 73.400002 55.28965
"2012-09-20" 73.790001 74.099998 72.360001 54.053871
"2012-09-21" 72.330002 72.940002 71.18 53.510437
"2012-09-24" 71.779999 72.330002 71.5 53.622105
"2012-09-25" 72.25 73.529999 72.029999 53.65189
"2012-09-26" 72.099998 72.260002 71.690002 53.435986
"2012-09-27" 71.919998 72.239998 71.580002 53.614655
"2012-09-28" 71.870003 71.889999 71.25 53.279655
"2012-10-01" 72.089996 72.910004 71.709999 53.607212
"2012-10-02" 72.269997 72.5 71.690002 53.614655
"2012-10-03" 72.269997 73.459999 72.029999 54.634552
"2012-10-04" 73.080002 73.639999 72.82 54.321877
"2012-10-05" 73.309998 73.879997 72.980003 54.418648
"2012-10-08" 73.07 73.879997 72.75 54.909969
"2012-10-09" 73.879997 74 72.919998 54.359085
"2012-10-10" 73.830002 73.879997 72.239998 53.793331
"2012-10-11" 72.910004 73.080002 72.260002 53.823109
"2012-10-12" 72.57 72.849998 71.980003 53.681652
"2012-10-15" 72.199997 72.82 72.150002 54.038994
"2012-10-16" 72.419998 73.389999 72.300003 54.42609
"2012-10-17" 73.32 73.440002 72.919998 54.560097
"2012-10-18" 73.309998 73.879997 73.110001 54.798317
"2012-10-19" 73.029999 73.459999 71.910004 53.823109
"2012-10-22" 72.040001 72.129997 71.019997 53.272209
"2012-10-23" 73.209999 74.139999 72.760002 54.887638
"2012-10-24" 73.970001 74.059998 72.989998 54.433563
"2012-10-25" 73.410004 73.440002 72.879997 54.493092
"2012-10-26" 73.389999 73.57 72.75 54.359085
"2012-10-31" 73.449997 74.099998 73 54.530304
"2012-11-01" 73.379997 74.120003 73.050003 55.014206
"2012-11-02" 74.230003 74.5 73.389999 54.701546
"2012-11-05" 73.550003 73.620003 73.230003 54.679203
"2012-11-06" 73.669998 74.18 73.199997 54.768551
"2012-11-07" 73.82 73.82 72.300003 54.344219
"2012-11-08" 72.559998 73.400002 72.5 54.038994
"2012-11-09" 72.260002 72.870003 71.940002 53.785889
"2012-11-12" 72.239998 72.629997 71.870003 53.823109
"2012-11-13" 71.900002 72.690002 71.82 53.495541
"2012-11-14" 71.830002 72.150002 70.07 52.334221
"2012-11-15" 70 70.389999 69.559998 52.784534
"2012-11-16" 70.839996 70.839996 69.720001 52.551868
"2012-11-19" 70.699997 71.440002 70.330002 53.617619
"2012-11-20" 71.269997 71.480003 70.910004 53.542572
"2012-11-21" 71.459999 71.690002 71.230003 53.587597
"2012-11-23" 71.519997 72.080002 71.379997 54.022907
"2012-11-26" 71.830002 72.610001 71.830002 54.473228
"2012-11-27" 72.669998 72.849998 72.110001 54.158001
"2012-11-28" 72.019997 72.739998 71.760002 54.570797
"2012-11-29" 73 73.830002 72.970001 55.208736
"2012-11-30" 73.449997 73.5 72.690002 54.870995
"2012-12-03" 73.5 73.5 72.199997 54.240566
"2012-12-04" 72.269997 73.370003 71.959999 54.81847
"2012-12-05" 73.150002 73.68 72.690002 55.163708
"2012-12-06" 73.75 73.830002 72.639999 54.735905
"2012-12-07" 73.089996 73.480003 72.75 54.916008
"2012-12-10" 73.120003 73.949997 73.089996 55.298798
"2012-12-11" 73.730003 74.260002 73.339996 55.358837
"2012-12-12" 73.870003 74.050003 73.330002 55.111156
"2012-12-13" 73.5 73.839996 73.019997 55.051125
"2012-12-14" 73.239998 73.559998 72.720001 54.675865
"2012-12-17" 73.150002 73.400002 72.959999 55.058632
"2012-12-18" 73.309998 75.059998 73 56.327019
"2012-12-19" 75.32 76.199997 75.110001 56.747314
"2012-12-20" 75.400002 75.559998 74.639999 56.387054
"2012-12-21" 74.599998 75.050003 74.279999 56.169403
"2012-12-24" 74.739998 74.93 74.389999 56.01931
"2012-12-26" 74.650002 74.839996 74.050003 55.734108
"2012-12-27" 74.160004 74.309998 73.199997 55.471436
"2012-12-28" 73.550003 73.949997 72.809998 54.660847
"2012-12-31" 72.800003 73.830002 72.580002 55.336311
"2013-01-02" 75.089996 76.309998 75.019997 57.272671
"2013-01-03" 76.25 76.519997 75.980003 57.325214
"2013-01-04" 76.510002 76.959999 76.410004 57.467815
"2013-01-07" 76.449997 76.699997 76.220001 57.302723
"2013-01-08" 76.160004 76.43 75.809998 57.145103
"2013-01-09" 76.300003 77.099998 76.25 57.790543
"2013-01-10" 77.160004 78.220001 77 58.691185
"2013-01-11" 78.360001 78.43 77.769997 58.481033
"2013-01-14" 78.660004 79.82 78.540001 59.471722
"2013-01-15" 78.739998 79.400002 78.580002 59.539272
"2013-01-16" 79.050003 79.709999 79 59.786957
"2013-01-17" 79.809998 80.050003 79.599998 59.884506
"2013-01-18" 79.949997 80.309998 79.309998 60.229755
"2013-01-22" 79.949997 80.690002 79.900002 60.552483
"2013-01-23" 80.360001 80.879997 80.220001 60.297318
"2013-01-24" 80.959999 82.489998 80.800003 61.648281
"2013-01-25" 82.389999 82.760002 81.839996 61.880924
"2013-01-28" 82.620003 82.75 81.860001 61.925945
"2013-01-29" 82.419998 82.5 82.040001 61.700794
"2013-01-30" 81.940002 82.169998 81.199997 60.965271
"2013-01-31" 79.75 80.830002 79.25 59.509254
"2013-02-01" 79.199997 80 79 60.0196
"2013-02-04" 79.610001 80.25 79.510002 59.974567
"2013-02-05" 80.239998 80.959999 80.040001 60.642544
"2013-02-06" 80.419998 80.959999 80.279999 60.725109
"2013-02-07" 80.860001 81.809998 80.669998 61.393074
"2013-02-08" 81.75 82.459999 81.660004 61.828369
"2013-02-11" 82.110001 82.730003 82.110001 62.061047
"2013-02-12" 83.07 83.080002 82.230003 61.775852
"2013-02-13" 82.440002 82.690002 82.389999 61.918457
"2013-02-14" 82.190002 82.830002 81.889999 62.061047
"2013-02-15" 83.139999 84.110001 82.790001 62.653965
"2013-02-19" 83.5 84.870003 83.480003 63.614635
"2013-02-20" 84.639999 84.690002 83.809998 62.901638
"2013-02-21" 82.870003 83.139999 82.269997 62.46307
"2013-02-22" 82.989998 83.190002 82.669998 62.712597
"2013-02-25" 83.279999 83.669998 81.940002 61.956486
"2013-02-26" 82.330002 82.510002 81.510002 61.956486
"2013-02-27" 81.839996 83.089996 81.779999 62.629429
"2013-02-28" 82.989998 83.199997 82.650002 62.493324
"2013-03-01" 82.550003 82.989998 82.279999 62.659649
"2013-03-04" 82.849998 82.949997 82.400002 62.705017
"2013-03-05" 83.230003 84.459999 83.120003 63.56702
"2013-03-06" 84.519997 84.739998 84.209999 63.839222
"2013-03-07" 84.440002 84.650002 83.980003 63.740936
"2013-03-08" 84.699997 84.75 84.239998 63.846794
"2013-03-11" 84.330002 84.949997 84.330002 64.028252
"2013-03-12" 84.800003 84.949997 84.120003 63.914822
"2013-03-13" 84.529999 85.32 84.480003 64.406303
"2013-03-14" 85.220001 85.699997 85.18 64.746559
"2013-03-15" 85.150002 85.660004 84.980003 64.625595
"2013-03-18" 84.809998 85.620003 84.589996 64.595345
"2013-03-19" 85.559998 85.849998 84.82 64.330711
"2013-03-20" 84.169998 84.959999 83.830002 63.536789
"2013-03-21" 83.790001 84.150002 82.669998 62.757973
"2013-03-22" 83.300003 84.860001 83.269997 64.088737
"2013-03-25" 84.980003 85.029999 84.110001 63.97533
"2013-03-26" 84.849998 85.080002 84.519997 64.300453
"2013-03-27" 84.839996 85.540001 84.650002 64.595345
"2013-03-28" 85.160004 85.93 85.010002 64.950714
"2013-04-01" 85.809998 85.949997 84.330002 63.869461
