"Index" "Open" "High" "Low" "Price"
"2012-09-17" 34.919998 34.939999 34.119999 25.88682
"2012-09-18" 34.099998 34.330002 34.049999 25.88682
"2012-09-19" 34.23 34.549999 34.169998 26.000385
"2012-09-20" 34.080002 34.23 33.900002 25.773251
"2012-09-21" 34.310001 34.310001 33.849998 25.629389
"2012-09-24" 33.790001 34.290001 33.689999 25.87925
"2012-09-25" 34.27 34.630001 34.080002 25.833818
"2012-09-26" 33.950001 34.139999 33.73 25.852856
"2012-09-27" 34.07 34.34 33.950001 26.012764
"2012-09-28" 34.16 34.490002 34.009998 26.119377
"2012-10-01" 34.450001 34.619999 34.029999 25.959463
"2012-10-02" 34.240002 34.32 33.869999 25.951853
"2012-10-03" 34.200001 34.459999 34.040001 26.180302
"2012-10-04" 34.48 35.23 34.43 26.797112
"2012-10-05" 35.34 35.459999 34.779999 26.591503
"2012-10-08" 34.84 34.970001 34.700001 26.50775
"2012-10-09" 34.860001 34.919998 34.509998 26.408749
"2012-10-10" 34.34 34.82 34.310001 26.347816
"2012-10-11" 34.91 34.970001 34.380001 26.187914
"2012-10-12" 34.07 34.139999 33.549999 25.677715
"2012-10-15" 33.919998 33.93 33.240002 25.609179
"2012-10-16" 33.900002 33.919998 33.330002 25.593943
"2012-10-17" 33.84 34.389999 33.48 26.043228
"2012-10-18" 34.66 34.689999 34.02 26.195532
"2012-10-19" 34.41 34.459999 34.029999 26.066072
"2012-10-22" 34.099998 34.27 33.66 26.020378
"2012-10-23" 33.650002 33.869999 33.110001 25.403572
"2012-10-24" 33.41 33.59 33.02 25.228424
"2012-10-25" 33.380001 33.650002 33.240002 25.494947
"2012-10-26" 33.419998 33.529999 33.009998 25.243656
"2012-10-31" 33.279999 33.59 33 25.289343
"2012-11-01" 33.279999 33.73 33.110001 25.632015
"2012-11-02" 33.970001 33.970001 33.32 25.456879
"2012-11-05" 33.279999 33.41 33 25.236044
"2012-11-06" 33.209999 33.790001 33.189999 25.578716
"2012-11-07" 33.290001 33.290001 32.349998 24.664917
"2012-11-08" 32.450001 32.959999 32.169998 24.497389
"2012-11-09" 32.130001 32.59 32.049999 24.444082
"2012-11-12" 32.169998 32.259998 31.98 24.413624
"2012-11-13" 31.84 32.310001 31.639999 24.147097
"2012-11-14" 31.77 31.950001 31.219999 23.857735
"2012-11-15" 31.209999 31.389999 30.959999 23.76635
"2012-11-16" 31.27 31.6 31 24.025259
"2012-11-19" 31.790001 32.119999 31.780001 24.428852
"2012-11-20" 32.02 32.369999 31.799999 24.558313
"2012-11-21" 32.349998 32.349998 31.83 24.406008
"2012-11-23" 32.240002 32.59 32.119999 24.809607
"2012-11-26" 32.279999 32.400002 32.029999 24.657303
"2012-11-27" 32.310001 32.400002 32.02 24.444082
"2012-11-28" 31.950001 32.43 31.790001 24.664917
"2012-11-29" 32.529999 32.669998 32.34 24.672535
"2012-11-30" 32.349998 32.400002 32.07 24.56592
"2012-12-03" 32.349998 32.419998 31.98 24.406008
"2012-12-04" 32.110001 32.16 31.280001 23.933876
"2012-12-05" 31.59 31.99 31.32 24.185167
"2012-12-06" 31.73 31.889999 31.629999 24.223246
"2012-12-07" 31.860001 32.040001 31.66 24.383163
"2012-12-10" 31.950001 32.189999 31.82 24.291786
"2012-12-11" 31.969999 32.349998 31.9 24.345087
"2012-12-12" 32.080002 32.18 31.76 24.268944
"2012-12-13" 31.879999 31.93 31.5 24.040491
"2012-12-14" 31.540001 31.6 31.290001 23.911036
"2012-12-17" 31.469999 32.110001 31.4 24.436468
"2012-12-18" 32.209999 32.66 32.110001 24.801985
"2012-12-19" 32.389999 32.639999 32.16 24.520233
"2012-12-20" 32.27 32.450001 32.029999 24.702984
"2012-12-21" 32.150002 32.540001 31.9 24.733456
"2012-12-24" 32.470001 32.630001 32.23 24.603996
"2012-12-26" 32.380001 32.400002 32.080002 24.56592
"2012-12-27" 32.07 32.25 31.5 24.531446
"2012-12-28" 31.73 32.009998 31.67 24.270966
"2012-12-31" 31.52 31.950001 31.51 24.470154
"2013-01-02" 32.459999 32.98 32.400002 25.259262
"2013-01-03" 32.880001 32.959999 32.439999 24.906847
"2013-01-04" 32.849998 33.299999 32.639999 25.450804
"2013-01-07" 33.099998 33.169998 32.75 25.220966
"2013-01-08" 32.799999 33.02 32.639999 25.259262
"2013-01-09" 33.07 33.439999 33.07 25.489107
"2013-01-10" 33.560001 33.799999 33.200001 25.772575
"2013-01-11" 33.580002 33.580002 33.189999 25.665312
"2013-01-14" 33.529999 33.57 33.200001 25.642338
"2013-01-15" 33.389999 33.400002 33.07 25.496773
"2013-01-16" 32.740002 33.27 32.720001 25.397175
"2013-01-17" 33.360001 33.360001 32.720001 25.098381
"2013-01-18" 32.889999 32.970001 32.540001 25.182655
"2013-01-22" 32.830002 33.099998 32.669998 25.282253
"2013-01-23" 32.919998 33.09 32.849998 25.351204
"2013-01-24" 33.099998 33.369999 33 25.366524
"2013-01-25" 33.25 33.290001 32.970001 25.412497
"2013-01-28" 33.25 33.27 32.98 25.412497
"2013-01-29" 33.150002 33.439999 33.07 25.535078
"2013-01-30" 32.950001 33.279999 32.93 25.389515
"2013-01-31" 32.990002 33.259998 32.98 25.358866
"2013-02-01" 33.369999 33.470001 33.209999 25.588703
"2013-02-04" 33.18 33.25 32.84 25.251602
"2013-02-05" 33.110001 33.25 33.040001 25.381845
"2013-02-06" 32.98 33.630001 32.98 25.749588
"2013-02-07" 33.599998 33.740002 33.32 25.695965
"2013-02-08" 33.57 33.689999 33.509998 25.780235
"2013-02-11" 33.830002 34.330002 33.740002 26.117332
"2013-02-12" 34.099998 34.400002 34.040001 26.285877
"2013-02-13" 34.349998 34.360001 33.790001 25.994753
"2013-02-14" 33.740002 34.060001 33.740002 26.040722
"2013-02-15" 34.080002 34.150002 33.720001 25.979427
"2013-02-19" 33.82 34.150002 33.709999 26.109674
"2013-02-20" 33.990002 34.060001 33.799999 25.933464
"2013-02-21" 33.82 33.970001 33.650002 25.872168
"2013-02-22" 33.860001 33.950001 33.540001 25.956448
"2013-02-25" 33.970001 34.099998 33.34 25.54273
"2013-02-26" 33.529999 33.91 33.360001 25.887497
"2013-02-27" 33.759998 34.040001 33.630001 26.071365
"2013-02-28" 34.060001 34.150002 33.810001 26.033064
"2013-03-01" 33.75 34.150002 33.610001 26.056042
"2013-03-04" 33.990002 34.290001 33.860001 26.262903
"2013-03-05" 34.439999 34.73 33.580002 25.902817
"2013-03-06" 33.880001 33.919998 33.43 25.849186
"2013-03-07" 33.779999 34.18 33.740002 26.1633
"2013-03-08" 34.25 34.360001 34.02 26.224588
"2013-03-11" 34.25 34.599998 34.200001 26.362503
"2013-03-12" 34.369999 34.380001 34.220001 26.308861
"2013-03-13" 34.310001 34.310001 34.080002 26.216938
"2013-03-14" 34.310001 34.349998 33.869999 26.094349
"2013-03-15" 33.830002 34.299999 33.810001 26.216938
"2013-03-18" 33.869999 34.220001 33.799999 26.147985
"2013-03-19" 34.18 34.259998 33.779999 26.010078
"2013-03-20" 34.119999 34.240002 33.889999 25.994753
"2013-03-21" 33.779999 33.869999 33.5 25.703621
"2013-03-22" 33.59 33.75 33.439999 25.718948
"2013-03-25" 33.77 33.82 33.459999 25.795557
"2013-03-26" 33.669998 33.75 33.529999 25.953524
"2013-03-27" 33.48 33.84 33.400002 26.015184
"2013-03-28" 33.709999 33.959999 33.709999 26.146175
"2013-04-01" 33.93 34.040001 33.84 26.192417
"2013-04-02" 34.029999 34.130001 33.939999 26.277174
"2013-04-03" 34.060001 34.110001 33.52 25.945824
"2013-04-04" 33.75 33.950001 33.650002 26.06142
"2013-04-05" 33.529999 33.529999 33.18 25.70694
"2013-04-08" 33.360001 33.689999 33.240002 25.961233
"2013-04-09" 33.73 33.939999 33.549999 25.961233
"2013-04-10" 33.720001 34.290001 33.709999 26.346533
"2013-04-11" 34.220001 34.43 34.049999 26.354239
"2013-04-12" 33.939999 34.09 33.860001 26.261768
"2013-04-15" 33.98 34.009998 33.279999 25.668411
"2013-04-16" 33.200001 33.200001 32.32 25.21376
"2013-04-17" 32.389999 32.709999 32.220001 24.951757
"2013-04-18" 32.439999 32.439999 31.99 24.866999
"2013-04-19" 32.41 32.549999 32.18 25.051935
"2013-04-22" 32.529999 32.549999 32.200001 25.021112
"2013-04-23" 32.630001 32.849998 32.439999 25.290817
"2013-04-24" 32.880001 33.220001 32.779999 25.545118
