"Index" "Open" "High" "Low" "Price"
"2012-09-17" 33.615002 33.712502 33.404999 31.209095
"2012-09-18" 33.272499 33.462502 33.1325 31.160141
"2012-09-19" 33.467499 33.880001 33.432499 31.423576
"2012-09-20" 33.572498 33.709999 33.3675 31.38162
"2012-09-21" 33.825001 33.987499 33.724998 31.472536
"2012-09-24" 33.5275 33.7425 33.377499 31.178797
"2012-09-25" 33.459999 33.849998 33.404999 31.369953
"2012-09-26" 33.535 33.639999 33.095001 30.894367
"2012-09-27" 33.177502 33.560001 33.130001 31.218428
"2012-09-28" 33.494999 33.654999 33.310001 31.304678
"2012-10-01" 33.717499 34.474998 33.717499 31.875841
"2012-10-02" 34.147499 34.275002 33.869999 31.705667
"2012-10-03" 34.162498 34.650002 33.997501 32.293163
"2012-10-04" 34.700001 34.955002 34.549999 32.561264
"2012-10-05" 35.185001 35.397499 34.875 32.698803
"2012-10-08" 34.75 34.875 34.639999 32.33746
"2012-10-09" 34.7925 34.845001 34.18 31.878183
"2012-10-10" 34.157501 34.494999 34.080002 32.036705
"2012-10-11" 34.549999 34.9575 34.547501 32.416714
"2012-10-12" 34.842499 34.997501 34.607498 32.433025
"2012-10-15" 34.84 35.060001 34.650002 32.612545
"2012-10-16" 35.049999 35.442501 35.005001 32.908604
"2012-10-17" 35.290001 35.692501 35.200001 33.235008
"2012-10-18" 35.59 35.775002 35.282501 33.076477
"2012-10-19" 35.577499 35.59 34.939999 32.631191
"2012-10-22" 34.952499 35.012501 34.5075 32.40506
"2012-10-23" 34.487499 34.494999 33.982498 31.854874
"2012-10-24" 34.375 34.592499 34.110001 31.819901
"2012-10-25" 34.4575 34.674999 34.130001 32.067017
"2012-10-26" 34.4575 34.7225 34.217499 32.244194
"2012-10-31" 34.400002 34.9925 34.349998 32.349106
"2012-11-01" 35.205002 36.09 35.075001 33.542728
"2012-11-02" 36.014999 36.602501 35.849998 33.43082
"2012-11-05" 35.6875 35.9725 35.305 32.987881
"2012-11-06" 35.619999 36.209999 35.474998 33.538078
"2012-11-07" 35.634998 35.897499 35.3825 33.235008
"2012-11-08" 35.537498 35.8125 35.470001 33.118423
"2012-11-09" 35.23 35.952499 35.07 33.321239
"2012-11-12" 35.505001 35.945 35.505001 33.393532
"2012-11-13" 35.650002 36.197498 35.612499 33.209354
"2012-11-14" 35.650002 35.807499 34.912498 32.702274
"2012-11-15" 35 35.119999 34.6325 32.713966
"2012-11-16" 35.005001 35.887501 35.005001 33.347221
"2012-11-19" 36 36.415001 35.915001 34.034199
"2012-11-20" 36.384998 36.845001 36.290001 34.19545
"2012-11-21" 36.555 36.724998 36.435001 34.270222
"2012-11-23" 36.825001 37.029999 36.599998 34.611382
"2012-11-26" 36.9025 36.9025 36.605 34.408085
"2012-11-27" 36.779999 36.959999 36.5825 34.29826
"2012-11-28" 36.5075 36.837502 36.4725 34.417431
"2012-11-29" 36.982498 37.0825 36.810001 34.625408
"2012-11-30" 37.080002 37.482498 37.002499 34.982925
"2012-12-03" 37.5 37.68 37.110001 34.732887
"2012-12-04" 37.244999 37.3125 36.799999 34.487526
"2012-12-05" 37.127499 37.127499 36.525002 34.597359
"2012-12-06" 37.112499 37.224998 36.764999 34.693157
"2012-12-07" 37.279999 37.32 36.947498 34.711864
"2012-12-10" 37.1875 37.317501 37.067501 34.737549
"2012-12-11" 37.099998 37.5825 37.099998 34.79364
"2012-12-12" 37.422501 37.450001 36.9575 34.555305
"2012-12-13" 37.0275 37.275002 36.7225 34.396404
"2012-12-14" 36.720001 36.922501 36.5625 34.307606
"2012-12-17" 36.7425 37.282501 36.724998 34.847389
"2012-12-18" 37.252499 37.887501 37.174999 35.218918
"2012-12-19" 37.700001 37.709999 37.287498 34.854401
"2012-12-20" 37.470001 38.127499 37.330002 35.625523
"2012-12-21" 37.7425 37.994999 37.490002 35.230598
"2012-12-24" 37.557499 37.904999 37.557499 35.326408
"2012-12-26" 37.82 37.822498 37.299999 34.994602
"2012-12-27" 37.422501 37.662498 36.974998 34.910484
"2012-12-28" 37.115002 37.482498 37.0625 34.735214
"2012-12-31" 37.087502 37.9025 37.087502 35.419888
"2013-01-02" 38.540001 38.985001 38.482498 36.307846
"2013-01-03" 39.2775 39.52 38.705002 36.335888
"2013-01-04" 38.900002 39.297501 38.695 36.632637
"2013-01-07" 39.235001 39.692501 39.200001 36.894348
"2013-01-08" 39.412498 39.84 39.252499 37.237839
"2013-01-09" 40.349998 40.637501 39.927502 37.80566
"2013-01-10" 40.5075 40.692501 39.817501 37.506554
"2013-01-11" 39.945 40.3125 39.875 37.658466
"2013-01-14" 40.32 40.452499 39.887501 37.539276
"2013-01-15" 39.955002 40.162498 39.772499 37.49255
"2013-01-16" 40.0275 40.195 39.827499 37.434135
"2013-01-17" 40.25 40.272499 39.9025 37.359344
"2013-01-18" 39.630001 39.6325 39.125 36.983139
"2013-01-22" 39.669998 39.919998 39.445 37.165409
"2013-01-23" 39.572498 39.990002 39.52 37.165409
"2013-01-24" 39.825001 40.0425 39.724998 37.28458
"2013-01-25" 39.98 40.035 39.7575 37.350018
"2013-01-28" 40.07 40.145 39.075001 36.534492
"2013-01-29" 38.935001 39.272499 38.779999 36.606941
"2013-01-30" 39.247501 39.772499 38.6875 36.221367
"2013-01-31" 39.75 39.875 39.087502 36.899025
"2013-02-01" 39.75 39.869999 39.337502 37.050911
"2013-02-04" 39.442501 39.599998 39.139999 36.604584
"2013-02-05" 39.404999 39.900002 39.200001 37.277576
"2013-02-06" 39.805 40.220001 39.654999 37.579006
"2013-02-07" 39.744999 39.947498 39.240002 36.700405
"2013-02-08" 39.349998 39.735001 39.275002 36.873314
"2013-02-11" 39.395 39.5425 38.985001 36.529823
"2013-02-12" 39.209999 39.424999 39.105 36.639652
"2013-02-13" 39.112499 39.3475 38.535 36.241554
"2013-02-14" 38.650002 39.162498 38.575001 36.52491
"2013-02-15" 39.087502 39.52 38.935001 36.995586
"2013-02-19" 39.502499 39.697498 39.165001 36.906605
"2013-02-20" 39.279999 39.4025 38.797501 36.393776
"2013-02-21" 38.779999 39.572498 38.697498 36.866795
"2013-02-22" 39.575001 39.895 39.172501 37.332775
"2013-02-25" 39.799999 40.087502 38.9725 36.503819
"2013-02-26" 39.002499 39.647499 39.002499 36.958115
"2013-02-27" 39.362499 40.025002 39.325001 37.43581
"2013-02-28" 40.084999 40.084999 39.577499 37.14777
"2013-03-01" 39.482498 39.715 39.162498 37.016647
"2013-03-04" 39.439999 39.884998 39.387501 37.349163
"2013-03-05" 40.022499 40.445 39.965 37.534153
"2013-03-06" 40.215 40.424999 40.049999 37.714443
"2013-03-07" 40.217499 40.445 39.912498 37.585659
"2013-03-08" 40.334999 40.349998 39.9725 37.623146
"2013-03-11" 40.342499 40.400002 40.102501 37.74255
"2013-03-12" 40.169998 40.2425 39.7575 37.419418
"2013-03-13" 39.875 40.099998 39.712502 37.318729
"2013-03-14" 39.849998 40.267502 39.825001 37.620796
"2013-03-15" 40.0075 40.16 39.6325 37.126701
"2013-03-18" 39.32 39.794998 39.099998 37.014309
"2013-03-19" 39.5 39.837502 38.919998 36.529594
"2013-03-20" 39.25 39.9925 39.18 37.309349
"2013-03-21" 39.612499 39.932499 39.450001 36.951077
"2013-03-22" 39.552502 40.040001 39.43 37.487328
"2013-03-25" 40.1875 41.07 40.125 38.402908
"2013-03-26" 41.224998 41.945 41.134998 39.213108
"2013-03-27" 41.6525 42.307499 41.377499 39.494102
"2013-03-28" 42.1875 42.740002 42.032501 39.77042
"2013-04-01" 42.4375 42.747501 41.724998 39.187351
"2013-04-02" 42.105 42.224998 41.827499 39.32785
"2013-04-03" 42.105 42.1325 41.07 38.578522
"2013-04-04" 41.355 41.6325 41.252499 38.983639
"2013-04-05" 41.052502 41.355 40.897499 38.674522
"2013-04-08" 41.41 41.592499 41.119999 38.93914
"2013-04-09" 41.7075 41.720001 41.002499 38.578522
"2013-04-10" 41.2425 41.825001 41.2425 39.103054
"2013-04-11" 41.75 41.974998 41.555 39.25058
"2013-04-12" 41.477501 41.7075 41.275002 38.812687
"2013-04-15" 41.154999 41.220001 40.322498 37.768322
"2013-04-16" 40.662498 41.200001 40.625 38.569168
"2013-04-17" 40.935001 41.0075 40.485001 37.988441
"2013-04-18" 40.647499 40.8475 40.317501 37.796436
"2013-04-19" 40.52 41.0275 40.4375 38.393547
"2013-04-22" 40.892502 41.087502 40.622501 38.292843
"2013-04-23" 41.067501 41.419998 40.8825 38.791615
"2013-04-24" 41.415001 41.892502 41.400002 39.119442
"2013-04-25" 41.977501 42.619999 41.860001 39.517529
"2013-04-26" 42.189999 42.400002 41.785 39.15926
"2013-04-29" 41.932499 42.125 41.790001 39.316147
"2013-04-30" 42.147499 42.474998 42.009998 39.447277
"2013-05-01" 41.747501 42.064999 40.900002 38.875912
"2013-05-02" 42.5 44.915001 42.5 41.072376
"2013-05-03" 44.240002 45.209999 44.107498 42.041805
"2013-05-06" 44.834999 45.192501 44.532501 41.88961
"2013-05-07" 44.872501 44.965 44.305 42.100357
"2013-05-08" 44.865002 44.875 44.424999 41.976234
"2013-05-09" 44.807499 44.970001 44.557499 41.81702
"2013-05-10" 44.669998 44.755001 44.387501 41.856819
"2013-05-13" 44.645 45.110001 44.532501 41.89896
"2013-05-14" 44.744999 45.372501 44.66 42.224461
"2013-05-15" 45 45.447498 44.919998 42.639698
"2013-05-16" 45.435001 45.435001 44.945 42.17989
"2013-05-17" 45.220001 46.145 45.130001 43.298889
"2013-05-20" 45.977501 46.224998 45.200001 42.604511
"2013-05-21" 45.384998 45.672501 45.0975 42.590416
"2013-05-22" 45.52 46.105 45.025002 42.259647
"2013-05-23" 44.595001 44.877499 44.2775 41.781078
"2013-05-24" 44.470001 45.275002 44.224998 42.332375
"2013-05-28" 45.610001 45.634998 44.9175 42.233845
"2013-05-29" 44.805 45.049999 44.517502 41.790459
"2013-05-30" 44.584999 45.497501 44.584999 42.468433
"2013-05-31" 45.142502 45.349998 44.525002 41.790459
"2013-06-03" 44.6875 45.169998 44.377499 42.271362
"2013-06-04" 44.849998 45.4375 44.674999 42.273716
"2013-06-05" 44.967499 45.047501 44.215 41.574631
"2013-06-06" 44.172501 44.855 44.099998 42.074318
"2013-06-07" 45.162498 45.25 44.887501 42.21273
"2013-06-10" 45.134998 45.785 44.907501 42.773415
"2013-06-11" 45.137501 45.487499 44.889999 42.14706
"2013-06-12" 45.16 45.16 44.677502 42.027401
"2013-06-13" 44.787498 45.689999 44.677502 42.754631
"2013-06-14" 45.512501 45.619999 45.0275 42.444969
"2013-06-17" 45.580002 45.93 45.375 42.778103
"2013-06-18" 45.43 46.307499 45.43 43.16753
"2013-06-19" 46.0625 46.282501 45.6325 42.843792
"2013-06-20" 45.3825 45.619999 44.615002 41.865524
"2013-06-21" 45 45.375 44.700001 42.109509
"2013-06-24" 44.5275 44.869999 43.919998 41.820965
"2013-06-25" 44.950001 45.345001 44.625 42.337059
"2013-06-26" 45.4725 45.785 45.119999 42.84848
"2013-06-27" 45.860001 46.25 45.625 43.226181
"2013-06-28" 46.064999 46.18 45.555 42.871933
"2013-07-01" 45.974998 46.865002 45.907501 43.451378
"2013-07-02" 46.27 46.759998 46.064999 43.456074
"2013-07-03" 46.044998 46.860001 45.982498 43.878342
"2013-07-05" 47.217499 47.715 46.875 44.75806
"2013-07-08" 47.900002 48.192501 47.014999 44.127003
"2013-07-09" 47.237499 47.3825 46.650002 43.915878
"2013-07-10" 46.837502 46.952499 46.452499 43.798592
"2013-07-11" 47.334999 47.514999 46.880001 44.563366
"2013-07-12" 47.474998 47.682499 47.287498 44.741642
"2013-07-15" 47.875 47.9575 47.450001 44.63139
"2013-07-16" 47.547501 47.682499 47.174999 44.427292
"2013-07-17" 47.110001 47.487499 47.035 44.488281
"2013-07-18" 47.552502 47.849998 47.487499 44.809677
"2013-07-19" 47.77 47.997501 47.349998 44.55397
"2013-07-22" 47.552502 47.827499 47.3125 44.858936
"2013-07-23" 47.682499 47.8675 47.134998 44.239613
"2013-07-24" 47.447498 47.462502 46.415001 43.810314
"2013-07-25" 47.75 49 47.75 45.654209
"2013-07-26" 48.5 48.650002 47.9575 45.323429
"2013-07-29" 48.215 48.372501 47.8125 45.034885
