"Index" "Open" "High" "Low" "Price"
"2018-01-02" 20 20.6 19.950001 15.890043
"2018-01-03" 20.5 20.6 20 15.937475
"2018-01-04" 20.15 20.5 20.1 15.969097
"2018-01-05" 20.200001 20.200001 20.15 15.969097
"2018-01-08" 20.200001 20.200001 20.049999 15.969097
"2018-01-09" 20.200001 20.209999 20 15.976998
"2018-01-10" 19.9 20.200001 19.9 15.810987
"2018-01-11" 20 20 19.85 15.810987
"2018-01-12" 20 20 19.5 15.80308
"2018-01-16" 20.5 22.99 20.5 16.996811
"2018-01-17" 21.25 21.299999 21.25 16.822891
"2018-01-18" 21.25 21.35 20.983999 16.60154
"2018-01-19" 20.85 21 20.75 16.403896
"2018-01-22" 20.75 22.99 20.299999 18.174725
"2018-01-23" 21 21.5 21 16.60154
"2018-01-24" 20.75 21.1 19.5 16.60154
"2018-01-25" 21.15 21.15 20.93 16.546198
"2018-01-26" 21 21.1 21 16.68059
"2018-01-29" 20.6 21.1 20.6 16.68059
"2018-01-30" 21.049999 21.1 21 16.641062
"2018-01-31" 21.049999 22.969999 20.9 17.392078
"2018-02-01" 21.08 21.33 20.67 16.514576
"2018-02-02" 20.75 21.1 20.4 16.609442
"2018-02-05" 20.780001 21.1 18.49 16.293221
"2018-02-06" 20.24 20.91 19.5 16.206263
"2018-02-07" 20.309999 20.93 20.309999 16.411804
"2018-02-08" 20.549999 20.700001 19.9 15.810987
"2018-02-09" 20 20.299999 19.01 15.739836
"2018-02-12" 19.959999 20 19.35 15.478953
"2018-02-13" 19.700001 19.75 19.4 15.573821
"2018-02-14" 19.67 19.780001 19.32 15.534293
"2018-02-15" 19.809999 19.950001 19.459999 15.692404
"2018-02-16" 19.9 20.01 19.65 15.80308
"2018-02-20" 19.85 20.08 19.85 15.810987
"2018-02-21" 19.99 20 19.6 15.550104
"2018-02-22" 19.719999 20 19.68 15.684496
"2018-02-23" 19.85 19.950001 19.65 15.668688
"2018-02-26" 19.790001 19.790001 19.530001 15.573821
"2018-02-27" 19.76 19.83 19.389999 15.384089
"2018-02-28" 19.43 19.715 19.309999 15.455238
"2018-03-01" 19.549999 19.709999 19.34 15.407812
"2018-03-02" 19.49 19.52 19.159 15.336656
"2018-03-05" 19.360001 19.514999 19.289 15.391993
"2018-03-06" 19.6 19.709999 19.5 15.502677
"2018-03-07" 19.540001 19.684999 19.389999 15.502677
"2018-03-08" 19.59 19.65 19.200001 15.249697
"2018-03-09" 19.16 19.65 19.08 15.494768
"2018-03-12" 19.6 19.66 19.200001 15.328752
"2018-03-13" 19.4 19.68 19.4 15.494768
"2018-03-14" 19.629999 19.75 19.59 15.518482
"2018-03-15" 19.65 19.75 19.200001 15.352468
"2018-03-16" 19.25 19.530001 19.219999 15.352468
