"Index" "Open" "High" "Low" "Price"
"2012-09-17" 62.274536 62.786659 61.798988 40.436565
"2012-09-18" 61.879467 62.164795 61.396606 40.331474
"2012-09-19" 61.681931 61.8941 61.294178 40.025711
"2012-09-20" 60.994221 60.994221 59.81633 39.471527
"2012-09-21" 60.811317 60.877163 60.218716 39.328197
"2012-09-24" 59.618793 60.686943 59.618793 39.237423
"2012-09-25" 60.182133 60.291878 59.128616 38.702358
"2012-09-26" 59.194462 59.728539 59.135933 38.654572
"2012-09-27" 59.406628 59.874859 59.10667 38.89344
"2012-09-28" 59.252991 59.538319 58.909134 38.721458
"2012-10-01" 59.531002 59.531002 58.236053 38.358368
"2012-10-02" 59.018875 59.252991 58.514065 38.559021
"2012-10-03" 59.209095 59.852909 58.865238 38.511257
"2012-10-04" 59.216412 59.304203 58.258003 38.119503
"2012-10-05" 58.682335 58.989613 58.331165 38.219814
"2012-10-08" 58.484802 58.484802 58.031204 37.957058
"2012-10-09" 58.170212 58.528698 57.694664 37.679974
"2012-10-10" 57.884884 57.979992 57.519077 37.72298
"2012-10-11" 58.0751 58.258003 57.760509 37.751633
"2012-10-12" 57.782459 58.279949 57.328861 37.498428
"2012-10-15" 57.423969 57.687347 57.080112 37.641754
"2012-10-16" 57.987309 58.214108 57.73856 37.885399
"2012-10-17" 57.870251 58.916451 57.409336 38.28672
"2012-10-18" 58.631123 60.247978 58.631123 39.332977
"2012-10-19" 60.13092 60.357719 59.187145 38.840889
"2012-10-22" 59.209095 59.567581 58.909134 38.89344
"2012-10-23" 58.982296 59.128616 58.353111 38.425255
"2012-10-24" 58.887188 59.179829 58.24337 38.262814
"2012-10-25" 59.092037 59.531002 57.90683 38.219814
"2012-10-26" 58.484802 58.536015 57.687347 38.119503
"2012-10-31" 58.462852 58.974979 57.811722 38.320164
"2012-11-01" 58.631123 59.457844 58.26532 38.664139
"2012-11-02" 59.765118 59.889492 59.026192 38.668911
"2012-11-05" 58.762814 59.121304 58.133629 38.162495
"2012-11-06" 58.594543 58.9384 58.045837 38.396591
"2012-11-07" 58.104366 58.316532 57.562977 38.020714
"2012-11-08" 57.606873 58.001942 57.043533 37.572563
"2012-11-09" 56.816734 57.40202 56.54604 37.259335
"2012-11-12" 56.253395 56.253395 55.602264 36.666622
"2012-11-13" 55.324253 55.946121 55.192562 36.401588
"2012-11-14" 55.360832 55.485207 54.007359 35.640217
"2012-11-15" 54.153679 54.534115 53.451336 35.312519
"2012-11-16" 53.685448 53.992725 53.144058 35.288429
"2012-11-19" 54.09515 54.621906 54.000038 35.832954
"2012-11-20" 54.358528 54.702385 54.080517 36.030537
"2012-11-21" 54.812126 54.885288 54.234154 36.083534
