"Index" "Open" "High" "Low" "Price"
"2012-09-17" 47.330002 48.130001 47.330002 46.793091
"2012-09-18" 47.75 48.110001 47.490002 46.744301
"2012-09-19" 47.970001 48.049999 47.549999 46.432098
"2012-09-20" 47.540001 47.709999 47.040001 46.149147
"2012-09-21" 47.349998 47.919998 47.049999 46.041836
"2012-09-24" 46.799999 47.59 46.25 46.110123
"2012-09-25" 46.990002 47.110001 46.66 45.671074
"2012-09-26" 47 47.25 46.77 46.090607
"2012-09-27" 47.380001 48.400002 46.900002 46.64674
"2012-09-28" 47.869999 47.869999 46.98 46.451611
"2012-10-01" 47.93 48.200001 47.02 46.246723
"2012-10-02" 47.330002 47.509998 46.779999 45.875965
"2012-10-03" 47.110001 47.669998 46.810001 46.471123
"2012-10-04" 47.639999 47.880001 47.540001 46.715031
"2012-10-05" 48.09 48.369999 47.880001 46.988216
"2012-10-08" 47.939999 48.419998 47.810001 47.163853
"2012-10-09" 48.099998 48.290001 47.560001 46.558933
"2012-10-10" 47.709999 48.099998 47.119999 46.188179
"2012-10-11" 47.799999 47.830002 46.84 45.788155
"2012-10-12" 46.889999 47.200001 46.869999 45.885723
"2012-10-15" 47 47.139999 46.700001 45.846699
"2012-10-16" 47.290001 47.380001 46.959999 46.227207
"2012-10-17" 47.360001 47.610001 47.110001 46.266228
"2012-10-18" 47.509998 47.580002 46.860001 45.817425
"2012-10-19" 46.93 47.169998 46.130001 45.368607
"2012-10-22" 46.360001 46.580002 45.669998 44.832005
"2012-10-23" 45.459999 46.470001 45.040001 45.173481
"2012-10-24" 46.669998 46.810001 45.919998 45.368607
"2012-10-25" 45.200001 46.419998 45.09 45.163719
"2012-10-26" 46.490002 46.77 46.18 45.534473
"2012-10-31" 47.630001 52.130001 47.630001 49.876205
"2012-11-01" 51 51.689999 50.93 50.100601
"2012-11-02" 50.73 51.709999 49.09 48.383434
"2012-11-05" 49.630001 50 49.259998 48.568806
"2012-11-06" 49.790001 50.52 49.599998 49.183483
"2012-11-07" 49.41 50.02 49.310001 48.334648
"2012-11-08" 49.52 49.619999 49.189999 48.129757
"2012-11-09" 49.310001 49.73 48.959999 47.876083
"2012-11-12" 49 49.299999 48.889999 47.915108
"2012-11-13" 49.049999 49.41 48.91 47.846817
"2012-11-14" 49.049999 49.049999 48.34 47.3102
"2012-11-15" 48.349998 49.139999 47.5 46.802845
"2012-11-16" 47.959999 48.09 47.369999 46.919926
"2012-11-19" 48.400002 48.650002 47.540001 46.861382
"2012-11-20" 48.209999 48.240002 47.459999 46.61747
"2012-11-21" 47.889999 48.41 47.490002 47.183365
"2012-11-23" 48.360001 48.639999 47.919998 46.919926
"2012-11-26" 48.02 48.580002 48.009998 47.33947
"2012-11-27" 48.349998 48.610001 48.049999 47.173603
"2012-11-28" 48.099998 48.990002 48.07 47.719975
"2012-11-29" 48.919998 49.66 48.919998 48.324894
"2012-11-30" 49.400002 49.970001 49.360001 48.627346
"2012-12-03" 49.790001 49.970001 49.09 48.461483
"2012-12-04" 49.990002 49.990002 48.25 47.417515
"2012-12-05" 48.59 49.040001 48.509998 47.807785
"2012-12-06" 49.040001 49.240002 48.810001 47.876083
"2012-12-07" 48.860001 49.580002 48.860001 48.305382
"2012-12-10" 49.57 49.939999 48.959999 48.246841
"2012-12-11" 49.73 49.860001 49.48 48.529778
"2012-12-12" 49.599998 49.959999 49.189999 48.568806
"2012-12-13" 49.549999 49.669998 49.150002 48.01268
"2012-12-14" 49.25 49.400002 48.799999 47.651676
"2012-12-17" 49.189999 50.34 48.91 49.066402
"2012-12-18" 50.09 50.630001 49.849998 49.007862
"2012-12-19" 50.490002 51.369999 49.900002 49.866451
"2012-12-20" 50.82 51.25 50.619999 49.885963
"2012-12-21" 50.759998 51.290001 50.5 49.720097
"2012-12-24" 50.759998 50.790001 50.25 49.466427
"2012-12-26" 50.459999 50.799999 49.98 48.890785
"2012-12-27" 49.98 50.27 49.240002 48.890785
"2012-12-28" 49.009998 50.470001 49.009998 48.890785
"2012-12-31" 50.150002 51.09 50.009998 49.729855
"2013-01-02" 51.66 53 51.169998 51.690945
"2013-01-03" 52.939999 53.599998 52.799999 52.28611
"2013-01-04" 53.43 53.98 53.25 52.198299
"2013-01-07" 53.240002 53.490002 53.080002 51.964134
"2013-01-08" 53.369999 53.91 53.259998 52.588573
"2013-01-09" 53.82 54.200001 53.580002 52.637344
"2013-01-10" 54.299999 54.299999 53.669998 52.559299
"2013-01-11" 54.060001 54.060001 53.360001 52.588573
"2013-01-14" 54.720001 55.400002 53.970001 53.095905
"2013-01-15" 54.139999 55.09 54.139999 53.691067
"2013-01-16" 54.810001 55.110001 53.82 52.578804
"2013-01-17" 53.75 54.16 53.419998 52.530037
"2013-01-18" 53.619999 54.650002 53.57 53.252026
"2013-01-22" 54.389999 54.630001 53.779999 53.212997
"2013-01-23" 54.68 54.75 54.369999 53.193481
"2013-01-24" 54.889999 55.77 54.560001 53.837421
"2013-01-25" 55.09 55.27 54.77 53.652042
"2013-01-28" 54.990002 55.099998 54.77 53.632534
"2013-01-29" 54.630001 55.360001 54.5 53.96426
"2013-01-30" 55.07 55.700001 55.07 53.954502
"2013-01-31" 55.09 55.5 54.57 53.817902
"2013-02-01" 55.66 56.060001 55.34 54.354523
"2013-02-04" 55.43 55.73 54.639999 53.476425
"2013-02-05" 54.93 55.23 54.66 53.759369
"2013-02-06" 54.939999 55.18 54.419998 53.173969
"2013-02-07" 54.709999 54.709999 53.84 52.969074
"2013-02-08" 54.650002 55.130001 54.279999 53.564232
"2013-02-11" 55 55 53.73 53.291042
"2013-02-12" 54.52 54.599998 53.700001 52.910538
"2013-02-13" 54.57 54.810001 54.259998 53.242264
"2013-02-14" 54.470001 54.549999 54.259998 52.949566
"2013-02-15" 54.299999 55.18 54.259998 53.544724
"2013-02-19" 54.869999 55.02 54.580002 53.661804
"2013-02-20" 54.970001 55.400002 54.209999 52.988598
"2013-02-21" 54.25 54.32 53.5 52.422695
"2013-02-22" 53.93 54.470001 53.84 53.115433
"2013-02-25" 54.669998 55.060001 53.650002 52.393433
"2013-02-26" 54.099998 54.259998 53.68 52.588573
"2013-02-27" 55.41 60.290001 55.02 56.637604
"2013-02-28" 58.299999 58.810001 57.150002 57.047382
"2013-03-01" 58.18 59.02 57.970001 57.564472
"2013-03-04" 58.950001 59.389999 58.810001 57.925484
"2013-03-05" 59.48 59.540001 58.599998 57.876694
"2013-03-06" 59.689999 60.009998 59.279999 57.896217
"2013-03-07" 59.470001 59.82 59 57.925484
"2013-03-08" 59.619999 59.799999 59.150002 58.257206
"2013-03-11" 59.68 59.84 59.25 58.384041
"2013-03-12" 59.849998 59.950001 58.66 57.271774
"2013-03-13" 59.009998 59.549999 58.419998 57.749859
"2013-03-14" 59.130001 59.57 58.919998 58.110855
"2013-03-15" 58.880001 60.119999 58.880001 58.588928
"2013-03-18" 59.380001 60.009998 59.279999 58.276718
"2013-03-19" 59.75 59.959999 59.380001 58.374287
"2013-03-20" 60.259998 60.490002 59.450001 58.608444
"2013-03-21" 59.669998 60.279999 59.59 58.559658
"2013-03-22" 60.310001 61.419998 60.310001 59.740223
"2013-03-25" 61.450001 61.57 60.48 59.61338
"2013-03-26" 61.389999 61.639999 61 59.886574
"2013-03-27" 61 61.720001 60.720001 60.052433
"2013-03-28" 61.77 61.849998 60.900002 60.120731
"2013-04-01" 61.099998 61.880001 60.610001 59.652416
"2013-04-02" 61.200001 61.700001 60.849998 59.593876
"2013-04-03" 61.220001 61.369999 60.16 58.998711
"2013-04-04" 60.380001 60.669998 59.700001 58.520626
"2013-04-05" 59.029999 59.360001 58.419998 57.466911
"2013-04-08" 58.900002 60.220001 58.900002 58.471848
"2013-04-09" 60.099998 60.25 59.240002 58.325497
"2013-04-10" 59.919998 61.310001 59.869999 59.740223
"2013-04-11" 61.16 61.48 60.77 59.545086
"2013-04-12" 61.18 61.259998 60.73 59.662167
"2013-04-15" 60.900002 61.09 59.919998 58.471848
"2013-04-16" 60.32 60.669998 59.470001 58.296227
"2013-04-17" 59.23 59.919998 59.220001 58.218174
"2013-04-18" 59.669998 59.880001 59.09 57.701077
"2013-04-19" 60.130001 60.5 58.720001 57.59375
"2013-04-22" 59.25 59.470001 58.799999 57.740101
"2013-04-23" 59.48 60.25 59.48 58.413311
"2013-04-24" 59.759998 60.25 59.549999 58.17915
"2013-04-25" 59.880001 60.419998 59.740002 58.647476
"2013-04-26" 59.91 59.990002 59.59 58.364525
