"Index" "Open" "High" "Low" "Price"
"2012-09-17" 57.5 57.98 57.23 57.540001
"2012-09-18" 57.330002 58.150002 56.990002 57.450001
"2012-09-19" 57.509998 58.130001 57.029999 57.900002
"2012-09-20" 57.580002 58.77 57.009998 58.130001
"2012-09-21" 58.189999 59.5 57.490002 59.040001
"2012-09-24" 59 59.98 58.259998 58.720001
"2012-09-25" 58.990002 59.049999 56.110001 56.259998
"2012-09-26" 56.130001 56.459999 54.619999 54.77
"2012-09-27" 54.73 56.029999 54.189999 55.66
"2012-09-28" 55.580002 56.880001 55.060001 55.889999
"2012-10-01" 55.919998 57.02 55.470001 56.439999
"2012-10-02" 57.049999 57.889999 56.599998 57.279999
"2012-10-03" 57.419998 58.150002 57.369999 57.759998
"2012-10-04" 58.029999 59.650002 58 59.389999
"2012-10-05" 59.560001 59.970001 59.259998 59.419998
"2012-10-08" 60 60 57.700001 58.490002
"2012-10-09" 59.549999 59.689999 57.889999 58.48
"2012-10-10" 58.5 58.689999 56.380001 57
"2012-10-11" 57.349998 60 53.5 56.880001
"2012-10-12" 57.110001 57.75 53.25 53.529999
"2012-10-15" 53.610001 54.259998 52.220001 53.240002
"2012-10-16" 53.099998 54.389999 52.77 53.290001
"2012-10-17" 53.130001 54.080002 52.360001 53.950001
"2012-10-18" 53.790001 53.790001 51.84 52.630001
"2012-10-19" 52.259998 52.419998 49.75 50.240002
"2012-10-22" 50.200001 50.59 48.790001 49.869999
"2012-10-23" 49.259998 49.75 47.970001 49.630001
"2012-10-24" 49.759998 50.200001 48.82 49.5
"2012-10-25" 49.91 50.419998 49.119999 50.110001
"2012-10-26" 49.830002 50.299999 49.139999 49.560001
"2012-10-31" 49.880001 49.880001 47.389999 48.279999
"2012-11-01" 49.009998 52.299999 48.599998 50.48
"2012-11-02" 45.540001 46 42.139999 45.009998
"2012-11-05" 45 46.939999 44.900002 46.41
"2012-11-06" 46.52 46.759998 45.91 46.150002
"2012-11-07" 45.919998 46.169998 45.099998 45.529999
"2012-11-08" 45.380001 45.580002 44.48 44.610001
"2012-11-09" 44.610001 45.91 44.330002 45.009998
"2012-11-12" 42.700001 45 42.700001 44
"2012-11-13" 43.889999 44.939999 43.630001 44.099998
"2012-11-14" 43.810001 44.310001 41.970001 42.16
"2012-11-15" 41.709999 42.25 39.810001 40.66
"2012-11-16" 40.459999 42.139999 40.18 41.220001
"2012-11-19" 41.630001 41.720001 40.709999 41.43
"2012-11-20" 41.41 42.48 41.330002 42.16
"2012-11-21" 42.110001 42.150002 40.689999 41.110001
"2012-11-23" 41.360001 41.799999 41.169998 41.459999
"2012-11-26" 41.389999 41.459999 40.259998 40.5
"2012-11-27" 40.66 40.740002 39.849998 39.98
"2012-11-28" 38.939999 39.650002 38.439999 39.529999
"2012-11-29" 39.720001 40.25 39.5 39.740002
"2012-11-30" 39.740002 40.169998 39.560001 39.790001
"2012-12-03" 39.82 40.07 38.720001 39.080002
"2012-12-04" 39.23 39.900002 39.23 39.490002
"2012-12-05" 39.630001 39.650002 39.119999 39.18
"2012-12-06" 39.290001 39.400002 38.799999 39.099998
"2012-12-07" 39.27 39.299999 38.700001 38.880001
"2012-12-10" 39.119999 40.310001 38.669998 40.25
"2012-12-11" 40.25 41.959999 40.200001 41.84
"2012-12-12" 42.07 43.279999 41.75 42.25
"2012-12-13" 42.060001 42.610001 42.02 42.150002
"2012-12-14" 41.73 42.25 41.610001 41.790001
"2012-12-17" 41.799999 42.139999 41.439999 41.810001
"2012-12-18" 41.919998 43.369999 41.919998 43.330002
"2012-12-19" 42.799999 44.389999 42.75 43.02
"2012-12-20" 42.970001 43.459999 42.509998 43.34
"2012-12-21" 43 43.48 42.389999 43.040001
"2012-12-24" 43.029999 43.529999 42.09 42.490002
"2012-12-26" 42.470001 42.470001 41.639999 41.75
"2012-12-27" 41.689999 41.98 41.23 41.759998
"2012-12-28" 41.380001 41.849998 40.939999 40.939999
"2012-12-31" 40.869999 42.060001 40.34 41.900002
"2013-01-02" 42.869999 43.689999 42.720001 43.650002
"2013-01-03" 43.700001 45.299999 43.310001 45.150002
"2013-01-04" 45.349998 46.509998 45.200001 45.849998
"2013-01-07" 45.880001 47.439999 45.75 47.290001
"2013-01-08" 47.439999 48.57 47.07 48.5
"2013-01-09" 48.540001 48.700001 47.52 48.25
"2013-01-10" 48.59 48.630001 46.25 46.799999
"2013-01-11" 47.040001 47.419998 46.310001 47.310001
"2013-01-14" 47.119999 47.75 46.790001 47.34
"2013-01-15" 45.77 47.599998 45.310001 47.080002
"2013-01-16" 47.080002 47.360001 46.34 46.450001
"2013-01-17" 46.599998 47.32 46.48 46.790001
"2013-01-18" 46.48 46.66 45.540001 46.310001
"2013-01-22" 46.209999 47.119999 45.689999 47.07
"2013-01-23" 46.91 47.290001 46.470001 46.5
"2013-01-24" 46.630001 47.75 46.5 47.32
"2013-01-25" 47.689999 47.689999 46.700001 46.849998
"2013-01-28" 46.209999 46.689999 45.650002 45.919998
"2013-01-29" 46.110001 46.66 46.029999 46.389999
"2013-01-30" 46.509998 46.549999 43.57 44.650002
"2013-01-31" 44.48 45.25 44.27 44.779999
"2013-02-01" 45.049999 46 44.779999 45.439999
"2013-02-04" 44.66 45.450001 44.59 44.630001
"2013-02-05" 44.630001 45.669998 44.549999 45.599998
"2013-02-06" 45.290001 46.150002 45.290001 45.860001
"2013-02-07" 46.110001 46.240002 44.959999 45.650002
"2013-02-08" 45.84 46.369999 45.700001 46
"2013-02-11" 46.48 46.48 45.599998 45.700001
"2013-02-12" 45.810001 46.200001 45.5 45.889999
"2013-02-13" 46.02 46.720001 45.790001 46.48
"2013-02-14" 46.389999 46.459999 45.349998 45.66
"2013-02-15" 45.639999 45.98 45.349998 45.610001
"2013-02-19" 45.599998 46.549999 45.5 46.52
"2013-02-20" 46.48 47.080002 45.41 45.439999
"2013-02-21" 45.209999 45.669998 44.77 44.82
"2013-02-22" 45.080002 45.919998 44.82 45.91
"2013-02-25" 46.139999 46.299999 44.84 44.860001
"2013-02-26" 44.98 45.110001 43.689999 44.18
"2013-02-27" 44.439999 47.23 44.200001 46.970001
"2013-02-28" 46.889999 48.150002 46.59 46.82
"2013-03-01" 46.549999 46.580002 45.52 46.169998
"2013-03-04" 46.02 46.540001 45.59 46.310001
"2013-03-05" 46.630001 48.34 46.200001 48.330002
"2013-03-06" 48.41 49.830002 48.099998 49.509998
"2013-03-07" 49.509998 50.360001 49.220001 50.169998
"2013-03-08" 50.279999 52.919998 50.09 52.810001
"2013-03-11" 52.450001 53.029999 52.150002 52.549999
"2013-03-12" 52.48 52.959999 51.900002 52.41
"2013-03-13" 52.470001 53.02 52.23 52.77
"2013-03-14" 52.98 52.98 52.049999 52.790001
"2013-03-15" 52.59 52.939999 51.869999 52.310001
