"Index" "Open" "High" "Low" "Price"
"2012-09-17" 74.26059 74.888664 74.226334 47.155956
"2012-09-18" 73.997948 74.134979 71.725479 45.593979
"2012-09-19" 72.022385 72.570518 71.999542 45.760307
"2012-09-20" 72.068062 72.433479 71.759735 45.485512
"2012-09-21" 72.033798 72.068062 71.497086 45.304707
"2012-09-24" 71.485672 72.045219 71.371475 45.514412
"2012-09-25" 72.079475 72.113739 70.846184 44.885303
"2012-09-26" 70.960373 71.736893 70.960373 45.008236
"2012-09-27" 71.20018 71.451408 70.572113 44.791279
"2012-09-28" 70.572113 71.20018 70.252373 45.01545
"2012-10-01" 71.474251 71.645538 70.001144 44.704506
"2012-10-02" 70.914696 71.65696 70.61779 45.377029
"2012-10-03" 71.782578 72.456322 71.405731 45.275787
"2012-10-04" 71.851089 71.862511 71.051727 45.304707
"2012-10-05" 71.782578 72.387802 71.531349 45.68074
"2012-10-08" 71.862511 72.273613 71.554184 45.630108
"2012-10-09" 72.170837 72.593353 72.056641 45.637356
"2012-10-10" 72.399223 73.09581 71.942444 46.230335
"2012-10-11" 73.278519 73.438393 72.696129 46.035088
"2012-10-12" 72.70755 73.301361 72.467743 45.948303
"2012-10-15" 72.570518 73.449814 72.353546 46.505135
"2012-10-16" 73.666779 73.906586 73.369873 46.794373
"2012-10-17" 73.495491 73.495491 72.501999 46.201401
"2012-10-18" 72.970192 73.997948 72.890259 46.787159
"2012-10-19" 73.838074 74.466141 73.586845 46.671452
"2012-10-22" 73.598267 73.906586 73.015877 46.64975
"2012-10-23" 72.798904 73.09581 72.022385 45.904911
"2012-10-24" 72.696129 73.16433 72.170837 45.98447
"2012-10-25" 72.958778 73.118645 71.302956 45.572273
"2012-10-26" 72.033798 72.501999 70.355141 45.586735
"2012-10-31" 72.456322 73.232841 71.816833 45.753052
"2012-11-01" 72.307869 72.821739 72.068062 45.904911
"2012-11-02" 73.072968 73.643944 72.650452 46.418343
"2012-11-05" 72.844582 73.050133 71.919609 45.724133
"2012-11-06" 72.456322 73.16433 72.342125 46.215874
"2012-11-07" 72.444901 73.689621 72.444901 46.367718
"2012-11-08" 73.198586 73.392715 72.422066 45.868759
"2012-11-09" 72.31929 73.198586 72.056641 46.056778
"2012-11-12" 72.730385 73.015877 72.216515 46.129093
"2012-11-13" 72.501999 73.472649 72.364967 46.244789
"2012-11-14" 73.232841 73.232841 71.782578 45.709675
"2012-11-15" 72.227936 72.718971 71.428574 45.492725
"2012-11-16" 72.033798 73.015877 71.691216 46.143555
"2012-11-19" 73.404137 74.134979 73.141487 46.656982
"2012-11-20" 73.792397 74.043625 73.244263 46.794373
"2012-11-21" 74.055038 74.180656 73.244263 46.51236
