"Index" "Open" "High" "Low" "Price"
"2012-09-17" 24.299999 24.35 24 22.946035
"2012-09-18" 24.209999 24.379999 24.1 23.088261
"2012-09-19" 24.389999 24.51 24.25 23.145149
"2012-09-20" 24.309999 24.639999 24.209999 23.221006
"2012-09-21" 24.459999 24.67 24.299999 23.277899
"2012-09-24" 24.49 24.549999 24.120001 22.946035
"2012-09-25" 24.290001 24.5 24.16 22.964996
"2012-09-26" 24.25 24.43 23.93 22.803806
"2012-09-27" 24.139999 24.52 23.92 23.230488
"2012-09-28" 24.49 24.49 24.139999 23.107225
"2012-10-01" 24.5 24.82 24.23 23.069298
"2012-10-02" 24.4 24.52 24.26 23.088261
"2012-10-03" 24.389999 24.629999 24.35 23.258936
"2012-10-04" 24.530001 24.709999 24.42 23.39168
"2012-10-05" 24.780001 24.879999 24.559999 23.35375
"2012-10-08" 24.620001 24.65 24.389999 23.277899
"2012-10-09" 24.5 24.52 24.049999 22.822771
"2012-10-10" 24.15 24.190001 23.799999 22.699507
"2012-10-11" 24.139999 24.15 23.959999 22.718466
"2012-10-12" 23.99 24.049999 23.65 22.5478
"2012-10-15" 23.82 24.01 23.809999 22.718466
"2012-10-16" 24.049999 24.1 23.950001 22.794325
"2012-10-17" 24.1 24.49 24.049999 23.021891
"2012-10-18" 24.25 24.299999 24.049999 22.87966
"2012-10-19" 24.15 24.290001 23.530001 22.424534
"2012-10-22" 23.59 23.74 23.549999 22.452976
"2012-10-23" 23.5 23.5 23.25 22.225414
"2012-10-24" 23.48 23.98 23.450001 22.699507
"2012-10-25" 24.43 25.02 24.25 23.704582
"2012-10-26" 25.200001 25.51 24.879999 23.913179
"2012-10-31" 25.200001 25.4 24.950001 24.02696
"2012-11-01" 25.299999 26 25.299999 24.548462
"2012-11-02" 25.93 26 25.66 24.349346
"2012-11-05" 25.629999 25.969999 25.440001 24.501053
"2012-11-06" 25.879999 26.200001 25.629999 24.671726
"2012-11-07" 25.799999 25.99 25.360001 24.482092
"2012-11-08" 25.799999 26.02 25.629999 24.3209
"2012-11-09" 25.68 26.24 25.549999 24.529499
"2012-11-12" 25.950001 26.549999 25.85 24.690691
"2012-11-13" 26.040001 26.280001 25.950001 24.794992
"2012-11-14" 26.1 26.15 25.42 24.273491
"2012-11-15" 25.540001 25.799999 25.4 24.178671
"2012-11-16" 25.700001 25.92 25.459999 24.216599
"2012-11-19" 25.73 26.120001 25.700001 24.595875
"2012-11-20" 25.969999 26.15 25.889999 24.68121
"2012-11-21" 26.190001 26.58 26.190001 25.117371
"2012-11-23" 26.629999 27.309999 26.57 25.705246
"2012-11-26" 27 27.07 26.629999 25.591465
