"Index" "Open" "High" "Low" "Price"
"2012-09-17" 44.439999 44.639999 44.27 28.459787
"2012-09-18" 44.68 44.93 44.450001 28.670458
"2012-09-19" 45 45.400002 44.950001 28.900278
"2012-09-20" 45 45.59 44.98 29.040733
"2012-09-21" 45.720001 45.919998 45.52 29.136494
"2012-09-24" 45.799999 45.849998 45.5 29.162027
"2012-09-25" 45.880001 46.060001 45.610001 29.123716
"2012-09-26" 45.619999 45.900002 45.509998 29.10457
"2012-09-27" 45.799999 46 45.43 29.213102
"2012-09-28" 45.630001 45.700001 45.259998 29.091801
"2012-10-01" 45.639999 48.77 45.400002 29.245016
"2012-10-02" 45.970001 46.07 45.619999 29.276936
"2012-10-03" 45.98 46.400002 45.82 29.545073
"2012-10-04" 46.41 47.279999 46.41 30.170691
"2012-10-05" 46.93 47.32 46.82 30.367546
"2012-10-08" 47.009998 47.07 46.540001 30.057741
"2012-10-09" 46.560001 46.560001 46.110001 29.760851
"2012-10-10" 46.07 46.25 45.759998 29.547853
"2012-10-11" 45.950001 45.98 45.139999 29.173506
"2012-10-12" 45.27 45.389999 44.59 28.799154
"2012-10-15" 44.48 44.720001 43.75 28.721708
"2012-10-16" 44.560001 45 43.98 28.450611
"2012-10-17" 44.150002 44.790001 43.900002 28.863695
"2012-10-18" 44.939999 46.419998 44.75 29.547853
"2012-10-19" 45.970001 46.02 45.09 29.147686
"2012-10-22" 45.02 45.099998 44.52 28.895969
"2012-10-23" 44.400002 44.59 43.950001 28.444168
"2012-10-24" 44.060001 44.669998 43.790001 28.547432
"2012-10-25" 44.580002 44.75 43.950001 28.560339
"2012-10-26" 44.169998 44.860001 44.02 28.870148
"2012-10-31" 44.970001 45.25 44.400002 28.812059
"2012-11-01" 44.91 45.450001 44.860001 29.134769
"2012-11-02" 44.98 45.43 44.5 28.734613
"2012-11-05" 44.450001 44.52 43.860001 28.52808
"2012-11-06" 44.279999 44.630001 43.919998 28.592619
"2012-11-07" 43.860001 43.900002 43.130001 27.876181
"2012-11-08" 43.209999 43.240002 42.419998 27.501835
"2012-11-09" 42.279999 43.220001 42.009998 27.5212
"2012-11-12" 42.650002 42.939999 42.5 27.469563
"2012-11-13" 42.470001 43.240002 42.360001 27.456652
"2012-11-14" 42.560001 42.880001 42.139999 27.263039
"2012-11-15" 42.189999 42.490002 41.599998 26.914495
"2012-11-16" 41.66 41.66 40.509998 26.720863
"2012-11-19" 41.830002 42.82 41.669998 27.63092
"2012-11-20" 42.700001 42.860001 42.52 27.637373
