"Index" "Open" "High" "Low" "Price"
"2012-09-17" 84.900002 85.050003 84.32 84.919998
"2012-09-18" 84.919998 85.510002 84.470001 85.239998
"2012-09-19" 85.379997 85.379997 84.639999 85.010002
"2012-09-20" 84.75 85.150002 83.790001 85.089996
"2012-09-21" 85.610001 85.779999 84.449997 84.690002
"2012-09-24" 84.309998 84.860001 83.849998 84.620003
"2012-09-25" 84.959999 85.379997 84.040001 84.120003
"2012-09-26" 84.209999 84.309998 83.110001 83.360001
"2012-09-27" 83.830002 84.339996 83.470001 84.120003
"2012-09-28" 83.690002 83.779999 82.830002 83.330002
"2012-10-01" 83.650002 85.040001 83.550003 84.160004
"2012-10-02" 84.599998 84.900002 83.669998 84.010002
"2012-10-03" 84.190002 85.07 83.910004 84.32
"2012-10-04" 84.660004 85.18 84.279999 84.449997
"2012-10-05" 84.860001 85.110001 84.110001 84.349998
"2012-10-08" 83.980003 84.5 83.940002 84.370003
"2012-10-09" 84.120003 84.440002 81.940002 81.980003
"2012-10-10" 81.800003 81.959999 80 80.389999
"2012-10-11" 80.889999 81.949997 80.809998 80.889999
"2012-10-12" 81 81.309998 80.300003 80.379997
"2012-10-15" 80.389999 80.82 80 80.599998
"2012-10-16" 80.809998 81.870003 80.809998 81.690002
"2012-10-17" 81.720001 82.349998 81.510002 82.110001
"2012-10-18" 81.589996 81.769997 79.459999 81.099998
"2012-10-19" 80.800003 80.910004 79.230003 79.879997
"2012-10-22" 79.940002 81.93 79.940002 81.059998
"2012-10-23" 79.830002 80.620003 78.330002 78.889999
"2012-10-24" 78.93 80.099998 78.830002 79.599998
"2012-10-25" 80.349998 81.199997 80.129997 80.669998
"2012-10-26" 80.949997 81.739998 80.559998 81.559998
"2012-10-31" 81.489998 82.019997 80.830002 81.809998
"2012-11-01" 82 84.279999 81.970001 84.190002
"2012-11-02" 84.57 84.980003 83.220001 83.489998
"2012-11-05" 82.940002 84.870003 82.839996 84.739998
"2012-11-06" 84.739998 86 84.440002 85.379997
"2012-11-07" 84.75 84.760002 83.169998 84
"2012-11-08" 83.910004 84.339996 83.209999 83.209999
"2012-11-09" 83.080002 84.110001 82.889999 82.970001
"2012-11-12" 83.290001 83.309998 82.25 82.910004
"2012-11-13" 82.32 83.190002 82.07 82.389999
"2012-11-14" 82.580002 82.68 80.459999 80.739998
"2012-11-15" 80.489998 81.32 80.040001 81.129997
"2012-11-16" 81.099998 81.839996 80.349998 81.209999
"2012-11-19" 82.139999 83.169998 82.139999 83.169998
"2012-11-20" 82.790001 83.599998 82.120003 82.839996
"2012-11-21" 82.849998 83.099998 81.860001 82.129997
"2012-11-23" 82.629997 83.650002 82.389999 83.639999
"2012-11-26" 83.269997 83.610001 82.699997 83.269997
"2012-11-27" 82.800003 83.510002 82.57 82.949997
"2012-11-28" 82.480003 83.730003 82.019997 83.730003
"2012-11-29" 83.970001 84.690002 83.660004 84.550003
"2012-11-30" 84.389999 84.739998 83.970001 84.550003
"2012-12-03" 84.730003 85.300003 83.980003 84.139999
"2012-12-04" 84.239998 84.879997 84 84.43
"2012-12-05" 84.410004 84.889999 83.970001 84.150002
"2012-12-06" 84.099998 85.050003 83.589996 85.019997
"2012-12-07" 85.099998 85.870003 84.480003 85.5
"2012-12-10" 85.209999 86.599998 85.209999 86
"2012-12-11" 86.239998 87.529999 86.080002 87.059998
"2012-12-12" 87.230003 88.199997 86.489998 87.610001
"2012-12-13" 87.330002 87.75 86.970001 87.43
"2012-12-14" 87.059998 87.900002 86.849998 87.349998
"2012-12-17" 87.559998 88.220001 87.459999 88.18
"2012-12-18" 88.339996 89.25 87.919998 89.199997
"2012-12-19" 89.389999 89.389999 88.349998 88.389999
"2012-12-20" 88.389999 89.510002 88.160004 89.330002
"2012-12-21" 88.720001 88.989998 88.139999 88.419998
"2012-12-24" 88.279999 88.790001 88.080002 88.620003
"2012-12-26" 88.779999 88.779999 87.050003 87.379997
"2012-12-27" 87.57 87.970001 86.440002 87.529999
"2012-12-28" 87.059998 87.120003 86.230003 86.25
"2012-12-31" 86.089996 87.279999 85.800003 87.120003
"2013-01-02" 88.959999 88.959999 87.790001 88.709999
"2013-01-03" 86.779999 86.809998 85.5 86.220001
"2013-01-04" 85.010002 87.050003 85.010002 86.82
"2013-01-07" 86.699997 87.75 86.029999 87.089996
"2013-01-08" 86.860001 88.769997 86.860001 88.739998
"2013-01-09" 89.080002 91.419998 88.610001 91.019997
"2013-01-10" 91.459999 91.730003 90.5 91.260002
"2013-01-11" 91.550003 91.550003 90.279999 90.610001
"2013-01-14" 90.480003 90.800003 90.209999 90.300003
"2013-01-15" 89.870003 90.93 89.75 90.900002
"2013-01-16" 90.779999 90.779999 90 90.559998
"2013-01-17" 90.050003 90.980003 89.510002 90.57
"2013-01-18" 90.730003 92.290001 90.730003 91.889999
"2013-01-22" 91.339996 92.589996 89.93 91.269997
"2013-01-23" 91.07 92.059998 90.610001 90.870003
"2013-01-24" 90.93 91.940002 90.440002 90.949997
"2013-01-25" 91.370003 92.610001 90.959999 92.610001
"2013-01-28" 93.5 93.75 92.220001 92.75
"2013-01-29" 92.610001 92.980003 92.019997 92.639999
"2013-01-30" 92.730003 93.360001 91.959999 92.139999
"2013-01-31" 91.580002 92.290001 91.110001 91.57
"2013-02-01" 92.5 93.419998 92.169998 93.089996
"2013-02-04" 92.080002 92.339996 90.489998 90.82
"2013-02-05" 91.330002 92.199997 91.330002 91.589996
"2013-02-06" 91.410004 92.269997 91.160004 92.209999
"2013-02-07" 92.050003 92.059998 90.949997 91.400002
"2013-02-08" 91.440002 92.68 91.440002 92.529999
"2013-02-11" 92.519997 92.550003 92 92.470001
