"Index" "Open" "High" "Low" "Price"
"2012-09-17" 36.009998 36.009998 35.360001 27.105183
"2012-09-18" 35.59 35.720001 35.43 27.074812
"2012-09-19" 35.700001 35.98 35.599998 27.188698
"2012-09-20" 35.709999 35.790001 35.259998 26.991291
"2012-09-21" 35.630001 35.630001 35.110001 26.657225
"2012-09-24" 35.150002 35.740002 35.150002 27.082405
"2012-09-25" 35.900002 36.330002 35.740002 27.386112
"2012-09-26" 36.240002 36.400002 35.779999 27.196301
"2012-09-27" 36.02 36.77 35.91 27.788507
"2012-09-28" 36.27 36.900002 35.560001 27.667019
"2012-10-01" 36.48 37.060001 36.450001 28.054251
"2012-10-02" 37.169998 37.349998 36.580002 28.02387
"2012-10-03" 36.349998 36.900002 36.169998 27.606293
"2012-10-04" 36.5 36.709999 36.18 27.61388
"2012-10-05" 36.549999 36.639999 35.91 27.431669
"2012-10-08" 36.139999 36.240002 35.880001 27.272221
"2012-10-09" 35.959999 36.09 35.599998 27.029263
"2012-10-10" 35.580002 35.959999 35.509998 27.052034
"2012-10-11" 35.77 36.18 35.68 27.40888
"2012-10-12" 36.189999 36.639999 35.849998 27.287409
"2012-10-15" 36.049999 36.220001 35.77 27.46203
"2012-10-16" 36.369999 36.57 36.200001 27.61388
"2012-10-17" 36.490002 36.630001 35.759998 27.203894
"2012-10-18" 35.869999 36.27 35.810001 27.416475
"2012-10-19" 36.110001 36.130001 35.639999 27.173512
"2012-10-22" 35.66 36.34 35.580002 27.583517
"2012-10-23" 35.990002 36.040001 35.330002 26.869812
"2012-10-24" 35.48 35.689999 35.310001 26.915363
"2012-10-25" 35.68 35.799999 35.23 26.824263
"2012-10-26" 35.369999 35.41 35.049999 26.717974
"2012-10-31" 35.27 35.599998 35.150002 26.748339
"2012-11-01" 35.27 35.619999 35.23 26.953335
"2012-11-02" 35.630001 35.689999 34.75 26.490194
"2012-11-05" 34.759998 34.759998 33.950001 25.875204
"2012-11-06" 34.279999 34.290001 33.77 25.768902
"2012-11-07" 33.700001 33.970001 33.150002 25.596678
"2012-11-08" 33.450001 33.599998 32.759998 25.08383
