"Index" "Open" "High" "Low" "Price"
"2012-09-17" 30.056208 30.148186 29.708738 29.933573
"2012-09-18" 29.984671 30.0511 29.805824 29.897802
"2012-09-19" 29.810934 30.536535 29.770056 30.37302
"2012-09-20" 30.306593 30.495657 30.132856 30.444557
"2012-09-21" 30.638733 30.904446 30.531425 30.608074
"2012-09-24" 30.413898 30.597855 30.265713 30.270823
"2012-09-25" 30.449669 30.521206 29.841595 29.867144
"2012-09-26" 30.00511 30.122637 29.591211 29.780275
"2012-09-27" 29.974451 30.470106 29.780275 30.398569
"2012-09-28" 30.240164 30.567196 30.153296 30.454779
"2012-10-01" 30.75626 30.889116 30.546755 30.633623
"2012-10-02" 30.838017 30.899336 30.393459 30.567196
"2012-10-03" 30.628513 30.858458 30.618294 30.75115
"2012-10-04" 30.914665 31.205927 30.853348 31.200817
"2012-10-05" 31.425652 31.45631 31.185488 31.297905
"2012-10-08" 31.246805 31.328564 30.802248 30.996424
"2012-10-09" 31.027082 31.032192 30.439447 30.500767
"2012-10-10" 30.623404 30.694941 30.408789 30.613182
"2012-10-11" 30.684723 31.226368 30.577414 30.899336
"2012-10-12" 31.088402 31.195707 30.878897 31.037302
"2012-10-15" 31.047522 31.46142 30.975985 31.440981
"2012-10-16" 31.676035 31.865101 31.47164 31.614716
"2012-10-17" 31.82933 31.84977 31.277466 31.292795
"2012-10-18" 31.297905 31.624935 31.073071 31.563618
"2012-10-19" 31.46142 31.619825 30.730709 30.884007
"2012-10-22" 30.858458 31.159939 30.807358 31.042412
"2012-10-23" 30.792028 30.802248 30.362801 30.403679
"2012-10-24" 30.480328 30.516096 30.117527 30.173735
"2012-10-25" 30.434338 30.618294 29.923351 30.025549
"2012-10-26" 29.892693 30.112417 29.601431 29.734287
"2012-10-31" 30.040878 30.204393 29.734287 30.158405
"2012-11-01" 30.454779 31.338783 30.306593 31.303015
"2012-11-02" 31.379663 31.481859 30.577414 30.597855
"2012-11-05" 30.602964 30.786919 30.066427 30.37813
"2012-11-06" 29.749617 29.759836 28.742973 29.361267
"2012-11-07" 29.177313 29.24885 28.615227 29.018906
"2012-11-08" 28.952478 29.095554 28.364843 28.415943
"2012-11-09" 28.318855 29.110884 28.272867 28.845171
"2012-11-12" 28.87583 28.947369 28.472151 28.650995
"2012-11-13" 28.54369 29.310169 28.48748 29.008686
"2012-11-14" 29.044456 29.156874 28.15534 28.211548
"2012-11-15" 28.252426 28.513029 28.16556 28.247316
"2012-11-16" 28.231989 28.48748 28.048033 28.196218
"2012-11-19" 28.52836 29.075115 28.318855 29.059786
"2012-11-20" 28.993357 29.494123 28.91671 29.386818
"2012-11-21" 29.386818 29.545221 29.131323 29.320389
"2012-11-23" 29.437916 29.754726 29.340828 29.739397
"2012-11-26" 29.550331 29.739397 29.330608 29.57588
"2012-11-27" 29.504343 29.856924 29.448135 29.483904
"2012-11-28" 29.397036 30.173735 29.207972 30.132856
"2012-11-29" 30.158405 30.526316 30.117527 30.434338
"2012-11-30" 30.567196 31.057741 30.429228 30.868677
"2012-12-03" 30.914665 31.067961 30.608074 30.633623
"2012-12-04" 30.694941 31.07818 30.679611 30.919775
"2012-12-05" 30.924885 32.294327 30.587633 31.548288
