"Index" "Open" "High" "Low" "Price"
"2012-09-17" 41.200001 41.220001 39.310001 31.694458
"2012-09-18" 39.459999 39.900002 39.02 31.598139
"2012-09-19" 39.599998 39.75 38.700001 31.365313
"2012-09-20" 38.900002 39.330002 38.549999 31.365313
"2012-09-21" 39.43 40.5 39.299999 32.240356
"2012-09-24" 39.700001 40.360001 39.349998 32.127972
"2012-09-25" 40.43 40.779999 39.459999 31.830933
"2012-09-26" 39.299999 39.43 38.27 31.192705
"2012-09-27" 38.740002 39.639999 38.669998 31.976353
"2012-09-28" 39.369999 39.490002 38.540001 31.289652
"2012-10-01" 38.720001 39.349998 38.09 30.796837
"2012-10-02" 38.5 38.709999 37.810001 30.837221
"2012-10-03" 38.330002 38.470001 37.439999 30.376724
"2012-10-04" 37.720001 38.310001 37.259998 30.691813
"2012-10-05" 38.139999 38.310001 37.880001 30.691813
"2012-10-08" 37.91 38.669998 37.709999 30.974571
"2012-10-09" 38.18 38.369999 37.049999 30.045483
"2012-10-10" 37.130001 37.419998 36.290001 29.38302
"2012-10-11" 36.59 37.419998 36.560001 29.560755
"2012-10-12" 35.59 36.169998 35.259998 29.100262
"2012-10-15" 36 36.110001 35.139999 28.882126
"2012-10-16" 35.939999 36.57 35.919998 29.366863
"2012-10-17" 36.25 36.48 35.82 29.277994
"2012-10-18" 36.119999 36.240002 35.490002 28.720554
"2012-10-19" 35.400002 35.549999 34.75 28.179262
"2012-10-22" 35.150002 35.529999 34.68 28.502422
"2012-10-23" 32.5 35.150002 32.25 27.815712
"2012-10-24" 34.290001 34.450001 33.5 27.274426
"2012-10-25" 34.049999 34.48 33.810001 27.791473
"2012-10-26" 34.330002 34.73 33.93 27.565266
"2012-10-31" 34.07 34.68 33.950001 27.654133
"2012-11-01" 34.299999 35.560001 34.299999 28.607449
"2012-11-02" 35.549999 35.73 35.130001 28.437782
"2012-11-05" 34.950001 35.93 34.939999 28.728632
"2012-11-06" 35.75 37.16 35.66 29.924309
"2012-11-07" 36.77 36.779999 35.27 28.518579
"2012-11-08" 35.310001 35.630001 34.799999 28.146954
"2012-11-09" 34.810001 35.630001 34.759998 28.365082
"2012-11-12" 35.169998 35.369999 34.400002 28.066158
"2012-11-13" 34.439999 35.119999 34.060001 28.017689
"2012-11-14" 34.810001 34.98 33.759998 27.347134
"2012-11-15" 33.970001 34.349998 33.66 27.347134
"2012-11-16" 33.900002 34.650002 33.610001 27.936899
"2012-11-19" 34.91 35.34 34.75 28.276213
"2012-11-20" 34.889999 35.110001 33.73 27.541033
"2012-11-21" 34.23 34.48 34.02 27.775324
"2012-11-23" 34.650002 35.290001 34.380001 28.348919
"2012-11-26" 35.049999 35.830002 34.77 28.930605
"2012-11-27" 35.700001 35.889999 34.68 28.025768
"2012-11-28" 34.450001 34.610001 33.529999 27.387535
"2012-11-29" 34 34.189999 33.389999 27.403692
"2012-11-30" 33.900002 34.240002 33.400002 27.007822
"2012-12-03" 33.59 34.139999 33.25 26.991665
"2012-12-04" 33.400002 33.77 33.200001 27.137083
"2012-12-05" 34.669998 36.849998 34.130001 29.108345
"2012-12-06" 36.099998 37.240002 35.990002 29.972786
"2012-12-07" 37.25 37.700001 36.860001 30.376724
"2012-12-10" 37.68 39 37.540001 31.063437
"2012-12-11" 38.799999 38.82 37.669998 30.829151
"2012-12-12" 37.549999 38.189999 37.299999 30.788498
"2012-12-13" 37.73 38.330002 37.639999 30.764093
"2012-12-14" 37.759998 37.919998 37.439999 30.723434
"2012-12-17" 38.009998 38.330002 37.740002 30.934872
"2012-12-18" 38.43 39.689999 38.200001 32.203484
"2012-12-19" 40 41.439999 40 33.504631
"2012-12-20" 40.849998 42.330002 40.75 34.285336
"2012-12-21" 41.639999 42.110001 41.049999 34.228409
"2012-12-24" 41.900002 41.990002 41.330002 34.000713
"2012-12-26" 42.099998 42.75 42.029999 34.228409
"2012-12-27" 42.02 42.23 41.43 34.212139
"2012-12-28" 41.790001 41.98 41.459999 33.716076
"2012-12-31" 41.43 42.639999 41.25 34.553699
"2013-01-02" 43.529999 44.220001 42.869999 35.326256
"2013-01-03" 43.209999 43.889999 42.880001 34.984711
"2013-01-04" 43.139999 43.25 42.509998 34.870853
"2013-01-07" 42.619999 43.459999 42.5 34.887115
"2013-01-08" 42.599998 43 41.619999 34.138939
"2013-01-09" 42.599998 43.959999 42.490002 35.619019
"2013-01-10" 43.759998 44.25 43.66 35.911777
"2013-01-11" 44.189999 44.5 43.900002 35.765396
"2013-01-14" 43.98 44.93 43.529999 36.35091
"2013-01-15" 44.16 44.93 43.799999 36.464771
"2013-01-16" 44.540001 45.639999 44.52 36.846977
"2013-01-17" 45.310001 45.650002 45.060001 36.773769
"2013-01-18" 45.290001 45.290001 44.25 36.440365
"2013-01-22" 45.119999 47.580002 44.959999 38.514084
"2013-01-23" 47.48 47.77 46.52 38.278236
"2013-01-24" 47.25 49.419998 46.41 38.863758
"2013-01-25" 47.84 48.580002 47.720001 39.099594
"2013-01-28" 47.950001 49.5 47.610001 39.554996
"2013-01-29" 47.389999 47.459999 44.919998 37.497559
"2013-01-30" 46.18 47.040001 46.110001 38.099331
"2013-01-31" 46.299999 47.380001 46.049999 38.221317
"2013-02-01" 47.400002 47.889999 46.169998 38.034275
"2013-02-04" 46.619999 47.209999 46.330002 37.717117
"2013-02-05" 46.369999 47 46.02 37.920422
"2013-02-06" 46.549999 48 46.52 39.026402
"2013-02-07" 47.700001 47.830002 46.470001 38.709236
"2013-02-08" 47.759998 49.189999 47.630001 39.433014
"2013-02-11" 48.580002 48.799999 48.16 39.522472
"2013-02-12" 48.470001 48.700001 47.900002 39.180912
"2013-02-13" 48.360001 48.900002 48.25 39.546864
"2013-02-14" 48.560001 49.220001 48.360001 39.693249
"2013-02-15" 48.889999 49.23 48.040001 39.514324
"2013-02-19" 48.59 49.240002 48.41 39.498062
"2013-02-20" 48.68 48.709999 46.52 37.847233
"2013-02-21" 46.439999 46.720001 45.169998 37.196659
"2013-02-22" 46.09 46.580002 45.560001 37.326775
"2013-02-25" 46.189999 46.349998 44.799999 36.440365
"2013-02-26" 44.990002 46.049999 44.439999 37.30238
"2013-02-27" 45.82 47.310001 45.360001 38.229443
"2013-02-28" 46.91 47.740002 46.77 38.351425
"2013-03-01" 47 48.27 46.439999 39.180912
"2013-03-04" 48.18 48.23 47.240002 38.880024
"2013-03-05" 48.150002 48.59 47.630001 39.335423
"2013-03-06" 48.630001 49.580002 48.59 39.709511
"2013-03-07" 48.75 48.799999 46.75 38.440887
"2013-03-08" 47.57 47.82 47.02 38.758049
"2013-03-11" 47.41 48.080002 47.169998 39.042667
"2013-03-12" 48.150002 50 47.59 40.65284
"2013-03-13" 50 50.849998 49.540001 40.978149
"2013-03-14" 50.43 50.84 50.189999 41.246506
"2013-03-15" 50.5 51 49.810001 40.791092
"2013-03-18" 49.619999 50.220001 49.049999 40.335678
"2013-03-19" 49.630001 49.880001 48.369999 39.733906
"2013-03-20" 49.48 49.599998 48.889999 40.116119
"2013-03-21" 49 49.049999 47.439999 39.115852
"2013-03-22" 48.389999 48.419998 47.32 38.977612
"2013-03-25" 48.200001 48.25 46.950001 38.652317
"2013-03-26" 47.84 49.970001 47.580002 39.796844
"2013-03-27" 48.720001 50.259998 48.57 40.990421
"2013-03-28" 49.990002 50.360001 49.439999 41.113052
"2013-04-01" 50.41 50.900002 50.099998 41.202976
"2013-04-02" 50.549999 50.650002 49.040001 40.933197
"2013-04-03" 50.25 51.439999 50.18 41.366489
"2013-04-04" 50.599998 50.959999 49.889999 41.513645
"2013-04-05" 50.07 50.07 48.970001 40.712486
"2013-04-08" 49.75 50.32 49.599998 41.064007
"2013-04-09" 50.32 51.889999 50.32 42.159481
"2013-04-10" 51.75 53.75 51.68 43.500214
"2013-04-11" 52.369999 52.599998 51.459999 42.829842
"2013-04-12" 52.41 52.939999 51.91 42.77261
"2013-04-15" 52.220001 53.669998 51.080002 41.824299
"2013-04-16" 51.68 52.630001 51.419998 42.535538
"2013-04-17" 51.689999 52.209999 50.18 41.341953
"2013-04-18" 50.98 51.07 48.880001 40.262833
"2013-04-19" 49.040001 50.130001 48.779999 40.818748
"2013-04-22" 50 50.790001 49.330002 41.292908
"2013-04-23" 50.950001 53.34 50.759998 43.524742
"2013-04-24" 53.59 54.529999 52.389999 43.24678
"2013-04-25" 55.07 57.959999 52.009998 43.001526
"2013-04-26" 52.18 54.099998 51.790001 43.565613
"2013-04-29" 53.18 54.970001 52.650002 44.244152
"2013-04-30" 54.18 55.290001 54.09 45.192474
"2013-05-01" 55.200001 55.52 54.5 44.800064
"2013-05-02" 55.650002 56.790001 55.029999 46.32066
"2013-05-03" 57.299999 57.98 56.790001 46.721237
"2013-05-06" 57.360001 58.650002 57.169998 47.522411
"2013-05-07" 57.779999 59.279999 57.779999 48.094666
"2013-05-08" 58.549999 59.549999 58.549999 48.241829
"2013-05-09" 58 58.48 56.740002 47.154526
"2013-05-10" 57.880001 58.48 57.439999 47.800365
"2013-05-13" 58.310001 58.580002 57.529999 47.342552
"2013-05-14" 58.119999 59.259998 57.66 48.405327
"2013-05-15" 59.299999 59.790001 58.779999 48.699635
"2013-05-16" 59.610001 60.400002 59.02 48.274525
"2013-05-17" 59.43 60.48 59.130001 49.427235
"2013-05-20" 60.18 60.59 59.330002 48.601536
"2013-05-21" 59.889999 60.939999 59.619999 49.639797
"2013-05-22" 60.689999 62.150002 60.07 49.378181
"2013-05-23" 59.849998 62.619999 59.849998 50.898754
"2013-05-24" 61.830002 62.59 61.040001 50.931465
"2013-05-28" 62.889999 63.720001 62.59 51.389275
"2013-05-29" 62.330002 64.129997 62.330002 52.100506
"2013-05-30" 63.959999 64.059998 63.419998 52.149563
"2013-05-31" 63.310001 64.260002 63.040001 51.765335
