"Index" "Open" "High" "Low" "Price"
"2012-09-17" 58.5 58.950001 58.07 36.831264
"2012-09-18" 57.34 57.5 56.48 35.869511
"2012-09-19" 56.849998 57.400002 56.700001 36.223843
"2012-09-20" 57.389999 57.68 57.02 36.236504
"2012-09-21" 57.450001 57.77 57.209999 36.533886
"2012-09-24" 57.759998 58.18 57.419998 36.717377
"2012-09-25" 58 58.200001 57.119999 36.147911
"2012-09-26" 57.259998 57.82 57.259998 36.495918
"2012-09-27" 57.860001 57.990002 57.57 36.502232
"2012-09-28" 57.66 57.75 57.189999 36.533886
"2012-10-01" 57.919998 57.919998 56.880001 36.388344
"2012-10-02" 57.77 58.610001 57.560001 37.084343
"2012-10-03" 58.950001 59.619999 58.639999 37.653812
"2012-10-04" 59.599998 59.889999 59.419998 37.698101
"2012-10-05" 59.720001 59.990002 59.450001 37.729736
"2012-10-08" 59.419998 59.790001 59.080002 37.742393
"2012-10-09" 59.619999 60 59.57 37.704437
"2012-10-10" 59.580002 59.75 59.209999 37.64748
"2012-10-11" 59.860001 59.860001 59.310001 37.577881
"2012-10-12" 59.439999 59.66 58.990002 37.356426
"2012-10-15" 59.02 59.810001 58.849998 37.774029
"2012-10-16" 59.880001 59.970001 59.580002 37.944878
"2012-10-17" 59.48 59.5 58.849998 37.527264
"2012-10-18" 59.369999 60.59 59.369999 38.299198
"2012-10-19" 60.68 60.91 59.77 37.818317
"2012-10-22" 59.720001 59.990002 59.360001 37.856297
"2012-10-23" 59.43 59.540001 58.59 37.331116
"2012-10-24" 59.189999 59.330002 58.669998 37.267853
"2012-10-25" 59.23 59.439999 58.200001 37.172943
"2012-10-26" 58.779999 58.84 57.82 36.8629
"2012-10-31" 58.900002 60.119999 58.700001 37.603199
"2012-11-01" 59.509998 59.700001 59.02 37.565224
"2012-11-02" 58.939999 59.419998 58.830002 37.86636
"2012-11-05" 58.799999 58.889999 58.049999 37.385834
"2012-11-06" 58.349998 58.970001 58.18 37.590855
"2012-11-07" 58.380001 59.549999 58.34 37.962479
"2012-11-08" 59.07 59.240002 58.529999 37.578045
"2012-11-09" 58.5 59.049999 58 37.571636
"2012-11-12" 58.740002 59.16 58.380001 37.763855
"2012-11-13" 58.880001 59.709999 58.689999 38.039356
"2012-11-14" 59.41 59.41 58.639999 37.68697
"2012-11-15" 58.799999 59.200001 58.450001 37.661331
"2012-11-16" 58.830002 59.66 58.52 38.161102
"2012-11-19" 60.049999 60.439999 59.82 38.494278
"2012-11-20" 60.169998 60.66 59.939999 38.731339
"2012-11-21" 60.549999 60.689999 59.599998 38.359715
"2012-11-23" 60.080002 60.450001 59.669998 38.609604
"2012-11-26" 59.990002 60.73 59.529999 38.398159
"2012-11-27" 59.900002 59.91 58.790001 37.98811
"2012-11-28" 59.240002 59.240002 58.529999 37.834328
"2012-11-29" 59.360001 59.439999 58.439999 37.808704
"2012-11-30" 59.060001 59.66 58.889999 37.731815
"2012-12-03" 59 59.540001 59 37.981697
"2012-12-04" 59.119999 59.630001 59.040001 37.968884
"2012-12-05" 59.25 59.349998 58.700001 37.827934
"2012-12-06" 59.099998 59.599998 59.099998 38.180321
"2012-12-07" 59.619999 59.919998 59.490002 38.282833
"2012-12-10" 59.73 60.060001 59.48 38.250809
"2012-12-11" 59.759998 60.060001 59.619999 38.334091
"2012-12-12" 59.939999 60 59.330002 38.141872
"2012-12-13" 59.41 59.830002 58.509998 37.629307
"2012-12-14" 58.82 58.889999 58.189999 37.321747
"2012-12-17" 58.419998 58.700001 58.169998 37.501167
"2012-12-18" 58.549999 59.27 58.529999 37.975281
"2012-12-19" 59.220001 59.57 59.119999 37.904812
"2012-12-20" 59.220001 60.25 59.130001 38.603184
"2012-12-21" 59.810001 61 59.669998 38.763363
"2012-12-24" 60.509998 60.720001 60.130001 38.763363
"2012-12-26" 60.529999 60.689999 60.040001 38.712116
"2012-12-27" 60.380001 60.880001 59.869999 38.910732
"2012-12-28" 60.27 61 60.27 38.974819
"2012-12-31" 60.639999 61.330002 60.43 39.269547
"2013-01-02" 62.080002 62.23 60.779999 39.167027
"2013-01-03" 61.220001 61.580002 60.950001 39.340023
"2013-01-04" 61.400002 61.77 61.220001 39.551464
"2013-01-07" 61.700001 62 61.400002 39.442532
"2013-01-08" 61.549999 61.959999 61.389999 39.519421
"2013-01-09" 61.810001 61.889999 61.369999 39.397682
"2013-01-10" 62 62.060001 61.599998 39.718033
"2013-01-11" 62.150002 62.349998 61.689999 39.6796
"2013-01-14" 61.950001 62.080002 61.790001 39.685997
"2013-01-15" 62.02 62.02 61.599998 39.602707
"2013-01-16" 61.07 61.599998 61.009998 39.423313
"2013-01-17" 61.799999 62.32 61.650002 39.769295
"2013-01-18" 62.07 62.560001 61.779999 39.743664
"2013-01-22" 62.169998 62.98 62 40.345943
"2013-01-23" 62.759998 62.939999 62.68 40.307495
"2013-01-24" 62.950001 63.240002 62.779999 40.301098
"2013-01-25" 62.959999 63.130001 62.82 40.333134
"2013-01-28" 62.959999 63.349998 62.790001 40.486897
"2013-01-29" 63.360001 63.419998 63.029999 40.544559
"2013-01-30" 63.07 63.169998 62.459999 40.371563
"2013-01-31" 62.779999 62.919998 62.299999 40.262634
"2013-02-01" 62.18 62.759998 62.139999 40.499393
"2013-02-04" 62.110001 62.509998 62.009998 40.337238
"2013-02-05" 62.700001 62.700001 61.889999 40.201031
"2013-02-06" 61.73 62.07 61.439999 40.252918
"2013-02-07" 62.139999 62.290001 61.77 40.18158
"2013-02-08" 62.080002 62.389999 61.860001 40.408588
"2013-02-11" 62.310001 62.560001 62.169998 40.447506
"2013-02-12" 62.450001 62.709999 62.240002 40.668026
"2013-02-13" 62.810001 63.130001 62.599998 40.693977
"2013-02-14" 62.669998 62.779999 62.330002 40.505878
"2013-02-15" 62.669998 63.07 62.400002 40.83667
"2013-02-19" 63.200001 63.970001 63.169998 41.472301
"2013-02-20" 64.019997 64.610001 63.990002 41.582577
"2013-02-21" 64.120003 64.220001 63.75 41.543663
"2013-02-22" 64.120003 64.650002 64.089996 41.900402
"2013-02-25" 64.739998 64.870003 63.139999 40.985859
"2013-02-26" 63.240002 63.5 62.34 41.06369
"2013-02-27" 63.349998 64.129997 63.200001 41.517715
"2013-02-28" 64.029999 64.510002 64.010002 41.602036
"2013-03-01" 63.700001 64.709999 63.41 41.913364
"2013-03-04" 64.709999 65.650002 64.639999 42.438744
"2013-03-05" 65.650002 65.709999 65.290001 42.523056
"2013-03-06" 65.690002 65.690002 65.25 42.48415
"2013-03-07" 65.480003 65.75 65.059998 42.263618
"2013-03-08" 65.139999 65.360001 64.620003 42.380367
"2013-03-11" 65.300003 65.440002 64.900002 42.445229
"2013-03-12" 65.050003 65.230003 64.860001 42.231194
"2013-03-13" 65.169998 65.32 64.739998 42.153343
"2013-03-14" 64.910004 65.449997 64.900002 42.309025
"2013-03-15" 64.970001 65.639999 64.809998 42.574947
"2013-03-18" 65.300003 65.589996 65.269997 42.490639
"2013-03-19" 65.419998 65.529999 64.970001 42.419285
"2013-03-20" 65.599998 65.82 65.43 42.691692
"2013-03-21" 65.730003 66.260002 65.709999 42.71764
"2013-03-22" 65.949997 66.190002 65.790001 42.853859
"2013-03-25" 66.330002 66.480003 65.93 42.938175
"2013-03-26" 66.379997 66.93 66.32 43.411667
"2013-03-27" 66.800003 67.309998 66.540001 43.560841
"2013-03-28" 67.309998 67.919998 66.970001 44.047306
"2013-04-01" 67.599998 68.480003 67.599998 44.391071
"2013-04-02" 68.860001 69.110001 68.449997 44.734825
"2013-04-03" 69.230003 69.239998 68.650002 44.708897
"2013-04-04" 69.040001 70.019997 68.949997 45.376949
"2013-04-05" 69.309998 69.800003 69.029999 45.266708
"2013-04-08" 69.769997 70.260002 69.169998 45.539116
"2013-04-09" 70.349998 70.639999 70.07 45.766132
"2013-04-10" 70.650002 71.290001 70.510002 46.239609
"2013-04-11" 71.209999 71.690002 70.470001 45.973686
"2013-04-12" 70.849998 71.220001 70.699997 46.122875
"2013-04-15" 70.639999 71.760002 70.260002 45.603981
"2013-04-16" 70.699997 71.910004 70.150002 46.609325
"2013-04-17" 71.699997 71.75 70.75 46.220158
"2013-04-18" 71.449997 71.5 70.839996 46.122875
"2013-04-19" 71.349998 72.739998 71.25 47.102276
"2013-04-22" 72.599998 72.879997 72.089996 47.186604
"2013-04-23" 73.099998 73.510002 72.879997 47.673042
"2013-04-24" 73.599998 73.879997 73.25 47.90654
"2013-04-25" 73.709999 74.029999 73.300003 47.653584
"2013-04-26" 73.470001 73.900002 73.339996 47.653584
"2013-04-29" 73.739998 74.300003 73.510002 48.153038
"2013-04-30" 74.339996 74.980003 74.010002 48.626518
"2013-05-01" 74.82 75.449997 74.68 48.684895
"2013-05-02" 75.150002 76 75.080002 49.02216
"2013-05-03" 74.970001 75.5 74.739998 49.077866
"2013-05-06" 74.849998 75.43 74.669998 49.222015
"2013-05-07" 75.260002 75.82 75 49.549644
"2013-05-08" 74.970001 75.120003 73.900002 48.586426
"2013-05-09" 73.580002 74.940002 73.550003 48.946808
"2013-05-10" 75.25 75.480003 74.75 49.457909
"2013-05-13" 75.5 75.949997 75.25 49.687241
"2013-05-14" 75.900002 76.419998 75.650002 49.79863
"2013-05-15" 76.040001 77.300003 75.599998 50.650463
"2013-05-16" 77.050003 77.400002 76.690002 50.466995
"2013-05-17" 77.400002 77.959999 76.980003 51.076363
"2013-05-20" 77.949997 78.050003 77.370003 50.938751
"2013-05-21" 78 79.129997 77.879997 51.751266
"2013-05-22" 79.139999 80.07 76.830002 50.643894
"2013-05-23" 76.419998 76.419998 74.199997 48.697819
"2013-05-24" 73.959999 74.239998 72.839996 48.514343
"2013-05-28" 74.620003 74.769997 71.529999 47.118698
"2013-05-29" 71.199997 71.199997 69.25 45.696793
"2013-05-30" 69.730003 70.559998 69.290001 45.48711
"2013-05-31" 69 69.739998 67.989998 44.576321
"2013-06-03" 67.379997 68.690002 66.699997 44.81221
"2013-06-04" 68.769997 68.940002 67.580002 44.294575
"2013-06-05" 67.43 67.580002 66.669998 43.803135
"2013-06-06" 67 67.949997 66.470001 44.510799
"2013-06-07" 68.18 68.5 67.470001 44.746693
"2013-06-10" 68.279999 68.440002 67.010002 44.111103
"2013-06-11" 66.860001 67.529999 66.599998 43.783474
"2013-06-12" 67.199997 67.300003 65.309998 42.91856
"2013-06-13" 65.160004 67.160004 65.010002 43.87521
"2013-06-14" 66.900002 68.099998 66.730003 44.143867
"2013-06-17" 67.650002 68.099998 67.139999 44.288013
"2013-06-18" 67.639999 68.589996 67.639999 44.654957
"2013-06-19" 68.139999 68.290001 65.309998 42.853031
"2013-06-20" 65.07 65.07 61.849998 40.69072
"2013-06-21" 62.59 63.830002 61.619999 41.509777
"2013-06-24" 62.939999 64.599998 61.860001 41.457359
"2013-06-25" 63.790001 64.870003 63.139999 42.191242
"2013-06-26" 64.870003 65.629997 64.809998 42.91201
"2013-06-27" 65.660004 67.220001 65.660004 43.986607
"2013-06-28" 67.25 67.629997 66.510002 43.921062
"2013-07-01" 67.559998 67.68 66.239998 43.501717
"2013-07-02" 66.440002 67.449997 66.349998 43.816231
"2013-07-03" 66.769997 66.879997 65.5 43.285492
"2013-07-05" 66.360001 66.5 63.25 42.735096
"2013-07-08" 65.360001 66.120003 64.540001 42.427128
"2013-07-09" 65.150002 65.82 64.93 43.062706
"2013-07-10" 65.620003 66.059998 64.910004 43.036503
"2013-07-11" 66.620003 68.669998 66.470001 44.949818
"2013-07-12" 68.599998 68.790001 66.709999 43.973495
"2013-07-15" 67.139999 67.669998 67 44.274918
"2013-07-16" 67.559998 68.150002 67.540001 44.425636
"2013-07-17" 67.879997 68.5 67.839996 44.622192
"2013-07-18" 68.150002 68.510002 67.839996 44.877743
"2013-07-19" 68.709999 68.75 67.650002 44.405968
"2013-07-22" 67.75 67.900002 67.139999 44.170071
"2013-07-23" 67.599998 68.089996 67.32 44.458382
"2013-07-24" 67.82 67.949997 65.300003 43.036503
"2013-07-25" 65.559998 66.040001 65.110001 43.102013
"2013-07-26" 65.800003 66.139999 65.18 43.33136
"2013-07-29" 66.089996 66.239998 65.519997 42.951328
"2013-07-30" 65.900002 66.360001 65.18 42.970966
"2013-07-31" 65.580002 65.68 63.740002 42.25676
"2013-08-01" 64.669998 64.849998 63.560001 41.66048
"2013-08-02" 62.799999 63.860001 62.799999 42.028584
"2013-08-05" 63.470001 64.139999 63.259998 42.008682
"2013-08-06" 63.360001 64.540001 63.099998 41.94899
"2013-08-07" 63.150002 63.389999 62.639999 41.610741
"2013-08-08" 62.75 62.900002 62.290001 41.657177
"2013-08-09" 62.830002 64.230003 62.790001 42.273968
"2013-08-12" 63.810001 63.91 62.779999 41.876041
"2013-08-13" 63.18 63.189999 61.759998 41.159748
"2013-08-14" 61.799999 62.040001 61.169998 40.589382
"2013-08-15" 60.75 60.790001 59.509998 39.720558
"2013-08-16" 59.759998 59.849998 58.349998 38.845104
"2013-08-19" 58.369999 58.939999 58.16 38.679291
"2013-08-20" 58.43 60.209999 58.43 39.800133
"2013-08-21" 59.98 61.830002 59.349998 40.264397
"2013-08-22" 60.709999 60.900002 60.119999 40.304195
"2013-08-23" 60.84 61.599998 60.669998 40.761814
"2013-08-26" 61.459999 61.5 60.91 40.503159
"2013-08-27" 60.639999 61.700001 60.5 40.794971
"2013-08-28" 61.299999 62.009998 60.959999 40.91436
"2013-08-29" 61.459999 61.459999 60.709999 40.642433
"2013-08-30" 61.27 61.860001 61.200001 40.74855
"2013-09-03" 61.799999 61.799999 60.349998 40.350613
"2013-09-04" 60.919998 61.5 60.73 40.589382
"2013-09-05" 61.209999 61.25 59.880001 39.80677
"2013-09-06" 60.389999 61.48 60.349998 40.34399
"2013-09-09" 60.860001 62.220001 60.650002 41.212814
"2013-09-10" 62.34 62.439999 61.119999 40.74855
"2013-09-11" 61.509998 61.790001 61.27 40.967419
"2013-09-12" 61.77 62.150002 61.200001 40.649063
"2013-09-13" 61.400002 61.810001 61.259998 40.960773
"2013-09-16" 62.549999 63.330002 62.470001 41.657177
"2013-09-17" 62.740002 63.299999 62.5 41.663795
"2013-09-18" 62.799999 65.650002 61.900002 43.500938
"2013-09-19" 65.540001 66.080002 65.269997 43.368282
"2013-09-20" 65.540001 65.540001 63.73 42.267334
"2013-09-23" 63.580002 64.279999 62.919998 41.730129
"2013-09-24" 62.93 63.700001 62.700001 41.829601
"2013-09-25" 63.23 64.029999 63.02 42.061741
"2013-09-26" 63.57 63.73 63.200001 42.260708
"2013-09-27" 63.619999 63.889999 62.619999 41.902565
"2013-09-30" 62.880001 63.450001 62 41.371986
"2013-10-01" 62.380001 63.959999 62.07 42.121426
"2013-10-02" 63.040001 63.389999 62.18 41.637272
"2013-10-03" 62.779999 62.779999 61.34 40.841412
"2013-10-04" 61.610001 62.16 61.279999 41.020477
"2013-10-07" 61.419998 62.48 61.349998 41.146488
"2013-10-08" 62.040001 62.5 61.57 40.867931
"2013-10-09" 61.759998 62.060001 61.299999 40.735294
"2013-10-10" 61.880001 63.119999 61.810001 41.842869
"2013-10-11" 62.990002 63.669998 62.720001 42.220913
"2013-10-14" 63.139999 63.529999 62.639999 42.035206
"2013-10-15" 63.16 63.889999 62.950001 41.9291
"2013-10-16" 63.450001 64.629997 63.369999 42.811188
"2013-10-17" 64.489998 65.360001 64.279999 43.288685
"2013-10-18" 65.589996 65.610001 64.660004 43.010147
"2013-10-21" 64.830002 65.029999 63.990002 42.744854
"2013-10-22" 64.449997 65.849998 64.389999 43.182594
"2013-10-23" 65 65.410004 64.57 43.301971
"2013-10-24" 65.309998 65.620003 64.800003 43.494293
"2013-10-25" 65.57 66.760002 65.43 44.084572
"2013-10-28" 66.459999 66.760002 65.010002 43.653465
"2013-10-29" 65.900002 66.120003 64.860001 43.301971
"2013-10-30" 65.150002 65.449997 64.540001 42.857605
"2013-10-31" 64.760002 65.330002 64.559998 43.010147
"2013-11-01" 64.900002 65.400002 64.349998 43.102989
"2013-11-04" 64.989998 65.129997 64.360001 43.182594
"2013-11-05" 64.709999 64.75 62.700001 41.683697
"2013-11-06" 63 63.560001 62.849998 41.962257
"2013-11-07" 62.709999 62.830002 61.369999 41.240555
"2013-11-08" 61 61 59.5 40.555798
"2013-11-11" 60.41 60.84 59.919998 40.334255
"2013-11-12" 60 60.189999 59.34 40.038857
"2013-11-13" 59.580002 59.990002 59.259998 40.273842
"2013-11-14" 60.009998 60.990002 59.98 40.656498
"2013-11-15" 60.459999 60.91 60.189999 40.622921
"2013-11-18" 60.439999 60.73 60.049999 40.347672
"2013-11-19" 60.009998 60.09 59.34 39.904591
"2013-11-20" 59.490002 59.790001 58.16 39.260105
"2013-11-21" 58.5 58.869999 58.330002 39.427944
"2013-11-22" 58.639999 58.799999 57.560001 38.776733
"2013-11-25" 57.700001 57.880001 56.849998 38.488056
"2013-11-26" 57.220001 57.419998 55.900002 37.716015
"2013-11-27" 56.299999 56.869999 56.09 38.11211
"2013-11-29" 56.029999 57.169998 55.900002 37.588448
"2013-12-02" 56.16 56.240002 55.27 37.427341
"2013-12-03" 55.740002 55.849998 55.299999 37.152081
"2013-12-04" 55.009998 55.549999 54.509998 36.997681
"2013-12-05" 55.110001 55.48 54.650002 37.04467
"2013-12-06" 55.470001 55.580002 54.970001 37.031242
"2013-12-09" 55.150002 55.490002 54.849998 37.178932
"2013-12-10" 55.450001 55.849998 55.400002 37.272938
"2013-12-11" 55.549999 55.639999 54.200001 36.400177
"2013-12-12" 54.220001 54.330002 53.310001 36.010799
"2013-12-13" 53.610001 54.400002 53.599998 36.192055
"2013-12-16" 54 54.209999 53.580002 36.037666
"2013-12-17" 53.799999 53.98 53.689999 36.138359
"2013-12-18" 53.849998 54.75 53.060001 36.695568
"2013-12-19" 54.259998 54.259998 52.43 35.299171
"2013-12-20" 52.810001 53.32 52.669998 35.654987
"2013-12-23" 53.48 53.560001 52.900002 35.554295
"2013-12-24" 53 53.330002 52.759998 35.64156
"2013-12-26" 53.09 53.470001 52.82 35.614716
"2013-12-27" 53.220001 53.240002 52.860001 35.715416
"2013-12-30" 53.200001 53.549999 53 35.876526
"2013-12-31" 53.360001 53.73 53.110001 35.963818
"2014-01-02" 53.150002 53.689999 53.080002 35.943676
"2014-01-03" 53.279999 53.380001 52.900002 35.614716
"2014-01-06" 53.290001 54.799999 53.139999 36.44717
"2014-01-07" 54.419998 54.639999 53.849998 36.427032
"2014-01-08" 54.189999 54.32 53.700001 36.185349
"2014-01-09" 54.07 54.220001 53.5 36.265919
"2014-01-10" 54.310001 55.509998 54.299999 37.246078
"2014-01-13" 55.360001 56.16 55.18 37.561604
"2014-01-14" 55.919998 55.950001 54.959999 37.017818
"2014-01-15" 55.259998 55.869999 55.25 37.293064
"2014-01-16" 55.799999 56.169998 55.650002 37.635464
"2014-01-17" 56.200001 56.240002 55.549999 37.319916
"2014-01-21" 55.959999 56.470001 55.869999 37.89056
"2014-01-22" 56.43 56.790001 56.290001 37.957695
"2014-01-23" 56.599998 56.619999 55.950001 37.615311
"2014-01-24" 56.009998 56.209999 55.669998 37.541454
"2014-01-27" 55.939999 56.639999 55.919998 37.763004
"2014-01-28" 56.41 57.099998 56.32 38.125538
"2014-01-29" 56.509998 56.759998 56.200001 38.058395
"2014-01-30" 56.919998 57.529999 56.799999 38.300079
"2014-01-31" 56.799999 58.110001 56.43 38.88414
"2014-02-03" 57.82 57.900002 57.310001 38.595463
"2014-02-04" 57.450001 57.790001 57.16 38.689461
"2014-02-05" 57.52 57.73 56.5 38.206089
"2014-02-06" 56 56.540001 55.869999 38.318439
"2014-02-07" 56.419998 56.959999 56.209999 38.733757
"2014-02-10" 56.759998 57.240002 56.41 38.869926
"2014-02-11" 57.139999 57.599998 56.799999 38.903969
"2014-02-12" 57.099998 57.279999 56.619999 38.692913
"2014-02-13" 56.68 57.419998 56.549999 38.801834
"2014-02-14" 57.040001 57.25 56.580002 38.713322
"2014-02-18" 56.810001 57.060001 56.310001 38.78141
"2014-02-19" 56.950001 57.959999 56.799999 39.033333
"2014-02-20" 57.41 57.950001 56.310001 38.522686
