"Index" "Open" "High" "Low" "Price"
"2012-09-17" 35.669998 35.990002 35.310001 26.51815
"2012-09-18" 35.34 35.580002 35.169998 26.600712
"2012-09-19" 35.650002 35.84 35.240002 26.458105
"2012-09-20" 35.040001 35.23 34.849998 26.420568
"2012-09-21" 35.419998 35.450001 34.799999 26.247948
"2012-09-24" 34.77 35.220001 34.73 26.345518
"2012-09-25" 35.220001 35.619999 34.720001 26.060293
"2012-09-26" 34.790001 34.799999 34.290001 25.835119
"2012-09-27" 34.509998 34.830002 34.389999 26.090315
"2012-09-28" 34.610001 34.860001 34.470001 25.917683
"2012-10-01" 34.779999 35.119999 34.610001 26.045288
"2012-10-02" 34.830002 34.869999 34.540001 26.135345
"2012-10-03" 34.98 35.66 34.900002 26.600712
"2012-10-04" 35.619999 36 35.450001 26.998522
"2012-10-05" 36.099998 36.34 35.639999 26.900948
"2012-10-08" 35.689999 35.939999 35.630001 26.870926
"2012-10-09" 35.860001 35.950001 34.970001 26.345518
"2012-10-10" 35.119999 35.369999 35 26.443087
"2012-10-11" 35.59 35.66 35.07 26.405569
"2012-10-12" 33.84 34.419998 33.650002 25.70752
"2012-10-15" 34.09 34.200001 33.529999 25.444811
"2012-10-16" 34.099998 34.130001 33.5 25.317213
"2012-10-17" 33.93 34.720001 33.880001 25.87265
"2012-10-18" 34.57 34.84 34.400002 25.947704
"2012-10-19" 34.610001 34.610001 34.02 25.77507
"2012-10-22" 34.299999 34.540001 34.16 25.895163
"2012-10-23" 34.040001 34.16 33.639999 25.4223
"2012-10-24" 34.040001 34.259998 33.59 25.30971
"2012-10-25" 34.099998 34.23 33.73 25.564907
"2012-10-26" 33.860001 34.09 33.700001 25.497358
"2012-10-31" 34.189999 34.27 33.650002 25.287195
"2012-11-01" 33.75 34.060001 33.580002 25.564907
"2012-11-02" 34.34 34.41 33.66 25.324715
"2012-11-05" 33.560001 34.07 33.540001 25.534882
"2012-11-06" 34.049999 34.400002 34.009998 25.760061
"2012-11-07" 33.759998 33.759998 32.810001 24.861095
"2012-11-08" 33.18 33.330002 32.32 24.438059
"2012-11-09" 32.330002 32.700001 32.25 24.438059
"2012-11-12" 32.450001 32.560001 32.220001 24.453171
"2012-11-13" 32.07 32.549999 32 24.188772
"2012-11-14" 32.080002 32.27 31.25 23.743069
"2012-11-15" 31.49 31.92 31.42 23.848829
"2012-11-16" 31.620001 32 31.4 24.128336
"2012-11-19" 32.48 32.610001 32.150002 24.475838
"2012-11-20" 32.400002 33.220001 32.27 24.868654
"2012-11-21" 32.959999 33 32.470001 24.619366
"2012-11-23" 32.849998 33.200001 32.73 25.080175
"2012-11-26" 33.029999 33.049999 32.650002 24.85355
"2012-11-27" 32.810001 33.040001 32.580002 24.649588
"2012-11-28" 32.450001 32.849998 32.119999 24.785561
"2012-11-29" 33.029999 33.330002 32.939999 25.049952
"2012-11-30" 33.110001 33.220001 32.84 24.936644
"2012-12-03" 33.18 33.240002 32.740002 24.740227
"2012-12-04" 32.830002 32.84 32.41 24.732679
