"Index" "Open" "High" "Low" "Price"
"2012-09-17" 83 84.089996 82.300003 63.907917
"2012-09-18" 82.919998 83.970001 82.199997 63.562801
"2012-09-19" 82.870003 85.300003 82.5 65.196373
"2012-09-20" 84.57 85.589996 83.610001 64.805214
"2012-09-21" 85.470001 86.470001 85 65.35743
"2012-09-24" 84.910004 86.370003 84.220001 65.710175
"2012-09-25" 85.82 85.980003 83.32 63.915596
"2012-09-26" 83.440002 83.660004 80.610001 62.765217
"2012-09-27" 82.5 83.639999 81.760002 64.022964
"2012-09-28" 82.989998 83.650002 81.839996 63.585838
"2012-10-01" 83.190002 84.07 82.349998 63.325073
"2012-10-02" 82.980003 84.239998 82.940002 64.299057
"2012-10-03" 84.080002 85.879997 83.330002 65.127342
"2012-10-04" 85.419998 85.900002 84.809998 65.188698
"2012-10-05" 85.559998 87.540001 85.199997 65.625854
"2012-10-08" 85.25 87.129997 85.25 66.377426
"2012-10-09" 86.279999 86.940002 84.169998 64.582817
"2012-10-10" 84.480003 85.010002 83.580002 64.498459
"2012-10-11" 85.010002 85.68 84.059998 65.050644
"2012-10-12" 84.919998 85.400002 82.870003 64.099655
"2012-10-15" 83.93 84.540001 83.32 64.498459
"2012-10-16" 84.769997 85.080002 83.720001 65.073669
"2012-10-17" 85.110001 88.910004 85.110001 66.806892
"2012-10-18" 86.800003 87.860001 86.349998 66.868263
"2012-10-19" 87.290001 87.720001 86.419998 66.760895
"2012-10-22" 86.709999 86.900002 84.690002 66.193359
"2012-10-23" 89.129997 94.339996 86.25 71.94532
"2012-10-24" 95.43 97.959999 95.230003 73.042015
"2012-10-25" 95.110001 96.349998 94.080002 72.765923
"2012-10-26" 94.720001 96.190002 93.650002 73.080353
"2012-10-31" 95.75 98.279999 95.550003 74.9133
"2012-11-01" 98.389999 100.660004 97.889999 77.122047
"2012-11-02" 99.919998 100.550003 98.150002 75.273766
"2012-11-05" 97.730003 98.690002 97.379997 75.281456
"2012-11-06" 98.639999 99.5 97.709999 75.273766
"2012-11-07" 97.309998 98.889999 95.68 75.005333
"2012-11-08" 97.589996 98.279999 96.889999 74.660217
"2012-11-09" 96.980003 98.510002 94.5 74.092697
"2012-11-12" 96.949997 97.379997 95.379997 73.993011
"2012-11-13" 96.330002 98.199997 95.949997 74.353447
"2012-11-14" 97.459999 100.550003 94.730003 73.343575
"2012-11-15" 95.629997 97.080002 93.5 72.433922
"2012-11-16" 94.690002 96.919998 93.910004 74.129898
"2012-11-19" 97.360001 99.699997 97.029999 75.640846
"2012-11-20" 97.889999 101.779999 97.68 77.791687
"2012-11-21" 101.089996 102.529999 100.470001 77.884171
"2012-11-23" 101.209999 102.730003 101 79.194725
"2012-11-26" 101.889999 102.980003 100.610001 77.853355
"2012-11-27" 100.900002 102.050003 99.589996 77.236633
"2012-11-28" 100.190002 103.279999 99.610001 79.086807
"2012-11-29" 102.769997 103.5 101.110001 79.032837
"2012-11-30" 102.370003 102.5 100.809998 78.508598
"2012-12-03" 102.260002 102.599998 100.68 77.830238
"2012-12-04" 100.980003 101.400002 99.910004 77.413925
"2012-12-05" 100.349998 100.540001 98.459999 76.026306
"2012-12-06" 98.599998 98.93 96.550003 75.239967
"2012-12-07" 97.830002 98.519997 97.339996 75.556068
"2012-12-10" 97.610001 99.900002 97.349998 76.828049
"2012-12-11" 100.099998 100.330002 97.449997 76.596786
"2012-12-12" 99.790001 102.269997 99.370003 78.092323
"2012-12-13" 100.989998 102.57 100.629997 77.953583
"2012-12-14" 100.68 101.440002 99.779999 77.167259
"2012-12-17" 100.5 101.730003 100.059998 78.130882
"2012-12-18" 101.260002 104.209999 99.269997 79.187004
"2012-12-19" 102.800003 103.889999 100.480003 78.747612
"2012-12-20" 102.080002 102.779999 100.790001 78.886368
"2012-12-21" 100.489998 102.730003 100.080002 78.153999
"2012-12-24" 100.860001 102.050003 100.440002 77.552696
