"Index" "Open" "High" "Low" "Price"
"2012-09-17" 35.029999 35.049999 34.419998 19.554079
"2012-09-18" 34.439999 34.509998 33.900002 19.293659
"2012-09-19" 34.139999 34.169998 33.790001 19.225721
"2012-09-20" 33.82 34.369999 33.68 19.452175
"2012-09-21" 34.619999 34.630001 34.200001 19.429527
"2012-09-24" 34.139999 34.610001 33.970001 19.52577
"2012-09-25" 34.560001 34.98 34.459999 19.667311
"2012-09-26" 34.740002 34.849998 33.880001 19.237045
"2012-09-27" 34.27 34.98 34.130001 19.803173
"2012-09-28" 34.91 35 34.470001 19.797516
"2012-10-01" 35 35.790001 35 20.154177
"2012-10-02" 35.639999 35.75 35.060001 20.12587
"2012-10-03" 35.57 36.700001 35.52 20.652367
"2012-10-04" 36.68 37.560001 36.169998 20.488194
"2012-10-05" 36.400002 36.610001 35.84 20.352325
"2012-10-08" 35.810001 36.060001 35.619999 20.403271
"2012-10-09" 36.049999 36.529999 35.91 20.352325
"2012-10-10" 35.939999 36.049999 35.459999 20.12587
"2012-10-11" 35.990002 36.169998 35.439999 20.176819
"2012-10-12" 35.57 35.639999 35.119999 19.893757
"2012-10-15" 35.209999 35.950001 35.110001 20.295702
"2012-10-16" 35.98 37.389999 35.98 20.816542
"2012-10-17" 36.849998 37.169998 36.02 20.46554
"2012-10-18" 35.959999 36.07 35.32 20.103218
"2012-10-19" 35.310001 35.509998 34.549999 19.797516
"2012-10-22" 34.93 35.299999 34.630001 19.797516
"2012-10-23" 34.32 34.709999 34.080002 19.497467
"2012-10-24" 34.700001 35.110001 34.380001 19.622013
"2012-10-25" 34.93 35.049999 34.259998 19.650318
"2012-10-26" 34.77 35.080002 34.400002 19.712597
"2012-10-31" 35.080002 35.209999 34.52 19.808836
"2012-11-01" 34.310001 35.400002 33.279999 19.072863
"2012-11-02" 33.84 33.93 32.860001 18.721867
"2012-11-05" 33.110001 33.27 32.889999 18.801128
"2012-11-06" 33.380001 33.580002 32.689999 18.942659
"2012-11-07" 33 33.110001 32.52 18.597317
"2012-11-08" 32.810001 32.880001 32.150002 18.229332
"2012-11-09" 32.029999 32.540001 31.83 18.155743
"2012-11-12" 32.09 32.169998 31.65 17.917973
"2012-11-13" 31.35 32.360001 31.35 18.042507
"2012-11-14" 31.940001 32.029999 31.139999 17.657545
"2012-11-15" 31.09 31.4 30.549999 17.532999
"2012-11-16" 31.57 31.76 30.83 17.934956
"2012-11-19" 31.98 32.689999 31.959999 18.495417
"2012-11-20" 32.84 33.02 32.459999 18.569014
"2012-11-21" 32.91 33.110001 32.720001 18.699223
"2012-11-23" 33.299999 33.470001 33.080002 18.931332
"2012-11-26" 33.130001 33.27 32.650002 18.563354
"2012-11-27" 32.759998 32.939999 32.549999 18.506741
"2012-11-28" 32.5 33.009998 32.360001 18.68224
"2012-11-29" 33.130001 33.23 32.389999 18.444469
"2012-11-30" 32.66 32.900002 32.369999 18.591661
"2012-12-03" 33 33.139999 32.509998 18.450129
"2012-12-04" 32.5 32.540001 32.150002 18.251986
"2012-12-05" 32.169998 32.41 31.85 18.46072
"2012-12-06" 32.240002 32.41 31.450001 18.048956
"2012-12-07" 31.68 31.74 31.1 17.854519
"2012-12-10" 31.23 31.540001 31.059999 17.854519
"2012-12-11" 31.24 31.52 31.16 17.94602
"2012-12-12" 30.68 31.59 30.59 17.803043
"2012-12-13" 31.33 31.74 31 17.740139
"2012-12-14" 31.200001 31.700001 31.110001 18.008926
"2012-12-17" 31.57 31.92 31.469999 18.237684
"2012-12-18" 32.049999 32.470001 31.799999 18.517914
"2012-12-19" 32.369999 32.790001 32.16 18.603699
"2012-12-20" 32.599998 32.880001 32.439999 18.786695
"2012-12-21" 32.619999 32.799999 32.299999 18.758112
"2012-12-24" 32.619999 32.799999 32.41 18.603699
"2012-12-26" 32.59 32.650002 32.080002 18.466438
"2012-12-27" 32.290001 32.369999 31.75 18.312037
"2012-12-28" 32.049999 32.220001 31.73 18.180496
"2012-12-31" 31.719999 32.759998 31.65 18.723793
"2013-01-02" 33.41 34.060001 33.189999 19.461536
"2013-01-03" 34.02 34.200001 33.560001 19.312845
"2013-01-04" 33.740002 34.389999 33.709999 19.524445
"2013-01-07" 33.91 34.080002 33.830002 19.438665
"2013-01-08" 34.029999 34.029999 33.439999 19.198463
"2013-01-09" 33.57 33.959999 33.57 19.312845
"2013-01-10" 33.959999 34.099998 33.540001 19.335716
"2013-01-11" 33.950001 34.009998 33.43 19.152718
"2013-01-14" 33.52 33.619999 33.25 19.141272
"2013-01-15" 33.279999 33.419998 33.099998 19.04405
"2013-01-16" 33.23 33.509998 33.119999 19.124119
"2013-01-17" 33.57 34.040001 33.380001 19.330004
"2013-01-18" 33.779999 34.759998 33.700001 19.867582
"2013-01-22" 34.68 35.220001 34.639999 20.102062
"2013-01-23" 35.07 35.240002 34.849998 20.056307
"2013-01-24" 35.07 35.400002 34.529999 19.804674
"2013-01-25" 34.75 34.889999 34.369999 19.91905
"2013-01-28" 35.060001 35.220001 34.450001 19.941919
"2013-01-29" 34.759998 34.970001 34.380001 19.953362
"2013-01-30" 34.990002 35.450001 34.799999 20.073462
"2013-01-31" 34.950001 35.299999 34.810001 20.04487
"2013-02-01" 35.330002 35.5 35.099998 20.26219
"2013-02-04" 35.349998 35.400002 35.040001 20.062025
"2013-02-05" 35.380001 35.849998 35.220001 20.439478
"2013-02-06" 35.529999 35.779999 35.259998 20.462349
"2013-02-07" 35.77 36 35.639999 20.513821
"2013-02-08" 35.84 36.220001 35.799999 20.588167
"2013-02-11" 36.029999 36.029999 35.540001 20.439478
"2013-02-12" 35.669998 35.880001 35.450001 20.496666
"2013-02-13" 35.939999 35.939999 35.549999 20.382288
"2013-02-14" 35.59 35.720001 35.450001 20.279343
"2013-02-15" 35.459999 35.57 34.98 20.079182
"2013-02-19" 35.23 35.560001 35.02 20.27363
"2013-02-20" 35.470001 35.48 34.759998 19.913338
"2013-02-21" 34.150002 35.060001 33.540001 19.490131
"2013-02-22" 34.209999 34.439999 34.150002 19.696012
"2013-02-25" 34.560001 34.75 33.549999 19.198463
"2013-02-26" 33.75 33.880001 33.09 19.32428
"2013-02-27" 33.709999 34.509998 33.639999 19.644543
"2013-02-28" 34.299999 34.849998 34.240002 19.85042
"2013-03-01" 34.529999 34.650002 33.700001 19.347158
"2013-03-04" 33.75 33.880001 33.389999 19.198463
"2013-03-05" 33.669998 33.970001 33.34 19.278528
"2013-03-06" 33.59 33.91 33.470001 19.480148
"2013-03-07" 33.77 34.419998 33.59 19.820995
"2013-03-08" 34.43 34.779999 34.41 20.052071
"2013-03-11" 34.650002 35.169998 34.59 20.236942
"2013-03-12" 35.09 35.099998 34.720001 20.098291
"2013-03-13" 34.709999 34.860001 34.52 20.104069
"2013-03-14" 34.810001 35.639999 34.799999 20.462246
"2013-03-15" 35.279999 35.66 35.200001 20.468023
"2013-03-18" 35.150002 35.470001 34.82 20.329367
"2013-03-19" 35.259998 35.419998 35.009998 20.387142
"2013-03-20" 35.639999 36.150002 35.5 20.785759
"2013-03-21" 35.91 36.779999 35.790001 21.115047
"2013-03-22" 36.82 37.279999 36.619999 21.299913
"2013-03-25" 37.09 37.32 36.75 21.369238
"2013-03-26" 37.18 37.259998 36.810001 21.479002
"2013-03-27" 36.950001 38 36.529999 21.369238
"2013-03-28" 37.009998 37.68 37.009998 21.640757
"2013-04-01" 37.84 38.240002 37.630001 21.918056
"2013-04-02" 38 38.119999 37.459999 21.762075
"2013-04-03" 37.700001 37.740002 36.740002 21.224813
"2013-04-04" 36.650002 37.099998 36.52 21.305693
"2013-04-05" 36.5 37.060001 36.110001 21.323023
"2013-04-08" 36.790001 37.240002 36.790001 21.490557
"2013-04-09" 37.25 37.860001 37.169998 21.7563
"2013-04-10" 37.810001 38.150002 37.740002 21.831404
"2013-04-11" 37.93 38.189999 37.720001 21.842958
"2013-04-12" 36.98 37.779999 36.93 21.796738
"2013-04-15" 37.41 37.57 36.41 21.039949
"2013-04-16" 36.73 37.639999 36.459999 21.669651
"2013-04-17" 37.32 37.32 36.549999 21.357681
"2013-04-18" 37.099998 37.779999 36.889999 21.594545
"2013-04-19" 37.509998 37.639999 37.040001 21.530993
"2013-04-22" 37.48 37.939999 37.080002 21.796738
"2013-04-23" 37.810001 38.400002 37.5 21.981602
"2013-04-24" 38.220001 38.5 38.009998 22.172253
"2013-04-25" 38.5 38.57 37.860001 21.90073
"2013-04-26" 37.939999 38.150002 37.540001 21.975826
"2013-04-29" 38.240002 38.450001 38.18 22.079817
"2013-04-30" 38.16 38.279999 37.889999 22.027822
"2013-05-01" 37.970001 38.009998 37.459999 21.669651
"2013-05-02" 37.560001 37.619999 37.220001 21.554104
"2013-05-03" 37.59 37.759998 37.5 21.686974
"2013-05-06" 37.52 37.669998 37.220001 21.548332
"2013-05-07" 37.529999 37.599998 36.880001 21.363462
"2013-05-08" 35.48 35.82 35.02 20.566236
"2013-05-09" 35.630001 36.919998 35.470001 21.29414
"2013-05-10" 36.57 36.830002 36.369999 21.086164
"2013-05-13" 36.5 36.59 36.080002 21.074612
"2013-05-14" 36.470001 36.709999 36.389999 21.161264
"2013-05-15" 36.59 36.93 36.310001 21.224813
"2013-05-16" 36.630001 37.009998 36.5 21.236364
"2013-05-17" 36.889999 37.23 36.869999 21.496332
"2013-05-20" 37.209999 38.029999 37.200001 21.883396
"2013-05-21" 37.950001 38.200001 37.450001 21.808298
"2013-05-22" 37.799999 37.830002 36.939999 21.38657
"2013-05-23" 36.619999 37.27 36.490002 21.513664
"2013-05-24" 37.029999 37.080002 36.59 21.184374
"2013-05-28" 37.130001 37.240002 36.360001 21.028399
"2013-05-29" 36.130001 36.200001 35.400002 20.727991
"2013-05-30" 35.939999 36.009998 35.580002 20.68755
"2013-05-31" 35.669998 35.830002 35.139999 20.323597
"2013-06-03" 35.220001 35.349998 34.759998 20.190725
"2013-06-04" 34.860001 35.110001 34.34 19.907652
"2013-06-05" 34.240002 34.599998 33.93 19.926327
"2013-06-06" 34.060001 34.869999 34 20.340727
"2013-06-07" 34.98 35.32 34.91 20.562519
"2013-06-10" 35.360001 35.369999 34.669998 20.264853
"2013-06-11" 34.330002 34.43 34 19.891308
"2013-06-12" 34.360001 34.720001 33.950001 19.86212
"2013-06-13" 34.009998 34.25 32.540001 19.669516
"2013-06-14" 33.650002 33.66 33.240002 19.441887
"2013-06-17" 33.48 33.759998 33.310001 19.634495
"2013-06-18" 33.150002 33.48 33.07 19.40103
"2013-06-19" 33.299999 33.349998 32.59 19.033325
"2013-06-20" 32.220001 32.240002 31.67 18.53137
"2013-06-21" 31.98 32.349998 31.59 18.846546
"2013-06-24" 32 32.130001 31.25 18.472998
"2013-06-25" 31.91 32.360001 31.780001 18.618914
"2013-06-26" 33.290001 33.939999 32.560001 19.056669
"2013-06-27" 32.779999 33.139999 32.490002 19.015816
"2013-06-28" 32.549999 32.849998 32.470001 18.951607
"2013-07-01" 32.650002 32.939999 32.360001 18.980799
"2013-07-02" 32.560001 33.240002 32.470001 19.249277
"2013-07-03" 32.880001 32.939999 32.459999 19.155895
"2013-07-05" 32.919998 33.02 32.48 19.074177
"2013-07-08" 32.810001 33.259998 32.810001 19.412701
"2013-07-09" 33.48 33.630001 33.310001 19.570292
"2013-07-10" 33.580002 33.700001 33.110001 19.366003
"2013-07-11" 33.509998 33.93 33.43 19.72204
"2013-07-12" 33.84 33.880001 33.529999 19.739553
"2013-07-15" 33.779999 34.009998 33.619999 19.733713
"2013-07-16" 33.860001 33.91 33.290001 19.541107
"2013-07-17" 33.639999 33.779999 33.290001 19.552782
"2013-07-18" 33.650002 34.09 33.619999 19.844616
"2013-07-19" 34.119999 34.66 33.950001 20.008039
"2013-07-22" 34.200001 34.619999 34.18 20.130611
"2013-07-23" 34.490002 34.759998 34.259998 20.013876
"2013-07-24" 34.259998 34.299999 33.259998 19.517763
"2013-07-25" 33.439999 33.82 33.369999 19.733713
"2013-07-26" 33.75 33.970001 33.549999 19.792089
"2013-07-29" 33.900002 34.029999 33.82 19.838778
"2013-07-30" 34.09 34.299999 33.66 19.733713
"2013-07-31" 33.849998 34.360001 33.700001 19.943832
"2013-08-01" 34.790001 36.450001 34.790001 21.070311
"2013-08-02" 35.98 36.34 35.91 21.140356
"2013-08-05" 36.130001 36.34 35.98 21.122837
"2013-08-06" 36.099998 36.209999 35.810001 21.041128
"2013-08-07" 35.880001 36.009998 35.619999 20.918556
"2013-08-08" 35.830002 36.220001 35.27 20.673424
"2013-08-09" 35.43 35.66 35.189999 20.65591
"2013-08-12" 35.200001 35.66 35.18 20.714277
"2013-08-13" 35.470001 35.549999 35.189999 20.626722
"2013-08-14" 35.240002 35.470001 35.240002 20.609215
"2013-08-15" 35.02 35.470001 34.759998 20.632566
"2013-08-16" 35.169998 35.349998 34.919998 20.422441
"2013-08-19" 34.939999 34.990002 34.27 20.025549
"2013-08-20" 34.259998 34.900002 34.02 20.24151
"2013-08-21" 34.700001 35.130001 34.380001 20.32906
"2013-08-22" 34.98 36.130001 34.939999 20.941906
"2013-08-23" 35.98 36.349998 35.639999 21.192881
"2013-08-26" 36.5 36.77 36.16 21.140356
"2013-08-27" 35.73 36.25 35.689999 21.081984
"2013-08-28" 36.119999 36.459999 36.119999 21.134516
"2013-08-29" 36.150002 36.349998 36 21.140356
"2013-08-30" 36.330002 36.459999 36.139999 21.152021
"2013-09-03" 36.599998 36.639999 35.630001 20.97109
"2013-09-04" 36.080002 36.119999 35.029999 20.509989
"2013-09-05" 35.240002 35.610001 35.09 20.504154
"2013-09-06" 35.279999 35.439999 34.950001 20.498318
"2013-09-09" 35.290001 35.709999 35.27 20.778482
"2013-09-10" 35.639999 36.259998 35.529999 21.122837
"2013-09-11" 35.830002 35.880001 35.400002 21.07921
"2013-09-12" 35.779999 35.779999 35.299999 20.819771
"2013-09-13" 35.389999 36.040001 35.369999 21.185343
"2013-09-16" 36.16 36.200001 35.459999 20.955387
"2013-09-17" 35.490002 35.599998 35.040001 20.754917
"2013-09-18" 35.209999 35.959999 35.209999 21.185343
"2013-09-19" 36.02 36.91 36.02 21.721903
"2013-09-20" 36.93 36.939999 36.450001 21.598087
"2013-09-23" 36.459999 36.68 36.310001 21.527325
"2013-09-24" 36.509998 36.830002 36.32 21.580389
"2013-09-25" 36.700001 36.75 36.209999 21.362234
"2013-09-26" 36.389999 36.43 36.18 21.421196
"2013-09-27" 36.060001 36.310001 35.91 21.368124
"2013-09-30" 36.040001 36.66 35.970001 21.438887
"2013-10-01" 36.32 36.98 36.27 21.668837
"2013-10-02" 36.59 36.82 36.290001 21.568596
"2013-10-03" 36.439999 36.459999 35.759998 21.4035
"2013-10-04" 36.23 36.330002 35.830002 21.179445
"2013-10-07" 35.599998 35.970001 35.380001 20.943596
"2013-10-08" 35.490002 35.68 35.049999 20.666468
"2013-10-09" 35.060001 35.150002 34.669998 20.613407
"2013-10-10" 35.240002 35.779999 35.169998 21.07921
"2013-10-11" 35.709999 36.299999 35.669998 21.315056
"2013-10-14" 35.669998 35.830002 35.419998 21.091002
"2013-10-15" 35.720001 35.75 35.279999 20.949488
"2013-10-16" 35.779999 36.07 35.580002 21.197134
"2013-10-17" 35.919998 36.139999 35.740002 21.244307
"2013-10-18" 36.200001 36.349998 35.919998 21.368124
"2013-10-21" 36.16 36.34 35.810001 21.326847
"2013-10-22" 36.310001 37.290001 36.200001 21.798561
"2013-10-23" 36.900002 37.029999 36.400002 21.621664
"2013-10-24" 36.610001 37.040001 36.580002 21.745487
"2013-10-25" 37.029999 37.349998 36.82 21.993141
"2013-10-28" 37.369999 37.400002 36.93 21.922375
"2013-10-29" 37.189999 37.389999 37.080002 21.987236
"2013-10-30" 37.400002 37.470001 36.830002 21.786762
"2013-10-31" 36.900002 36.970001 35.029999 21.055626
"2013-11-01" 35.689999 35.900002 35.189999 20.943596
"2013-11-04" 35.82 35.939999 35.43 21.067415
"2013-11-05" 35.5 35.619999 34.93 20.642878
"2013-11-06" 35.080002 35.169998 34.709999 20.578026
"2013-11-07" 35.02 35.099998 34.299999 20.342169
"2013-11-08" 34.470001 34.869999 34.240002 20.513165
"2013-11-11" 34.849998 35.080002 34.529999 20.595715
"2013-11-12" 34.740002 34.830002 34.360001 20.38345
"2013-11-13" 34.529999 34.68 34.220001 20.277313
"2013-11-14" 34.48 35.220001 34.450001 20.672363
"2013-11-15" 34.959999 35.290001 34.759998 20.772598
"2013-11-18" 35.290001 35.549999 35.060001 20.80208
"2013-11-19" 35.279999 35.450001 34.919998 20.654675
"2013-11-20" 35.130001 35.419998 34.66 20.507269
"2013-11-21" 34.759998 35.02 34.529999 20.583921
"2013-11-22" 34.849998 35.360001 34.830002 20.796188
"2013-11-25" 35.25 35.950001 35.130001 21.108692
"2013-11-26" 35.849998 36.23 35.669998 21.03793
"2013-11-27" 35.57 35.619999 35.110001 20.743122
"2013-11-29" 35.380001 35.529999 35.139999 20.766706
"2013-12-02" 35.34 35.689999 35.02 20.743122
"2013-12-03" 34.939999 36.330002 34.939999 21.385818
"2013-12-04" 36.299999 36.91 35.830002 21.686527
