"Index" "Open" "High" "Low" "Price"
"2012-09-17" 74.360001 74.68 73.870003 59.153614
"2012-09-18" 73.849998 74.169998 73.68 59.121647
"2012-09-19" 74.25 74.629997 73.989998 59.457424
"2012-09-20" 74.32 74.82 74.32 59.761238
"2012-09-21" 74.959999 75.089996 74.330002 59.521397
"2012-09-24" 74.199997 74.959999 74.18 59.753235
"2012-09-25" 74.910004 75.050003 74.260002 59.369503
"2012-09-26" 74.160004 74.839996 74.139999 59.313515
"2012-09-27" 74.370003 74.5 73.830002 59.145653
"2012-09-28" 73.860001 74.059998 73.419998 59.001713
"2012-10-01" 73.800003 74.489998 73.800003 59.201584
"2012-10-02" 73.980003 74.360001 73.629997 58.961761
"2012-10-03" 74.029999 74.75 73.75 59.32151
"2012-10-04" 74.510002 75.010002 74.510002 59.737274
"2012-10-05" 74.940002 75.5 74.889999 60.065025
"2012-10-08" 75.160004 75.550003 75.059998 60.160973
"2012-10-09" 75.160004 75.379997 74.129997 59.273563
"2012-10-10" 74.650002 76.809998 74.639999 60.29689
"2012-10-11" 76.599998 76.610001 74.949997 59.96909
"2012-10-12" 75.419998 76.040001 75.300003 60.608662
"2012-10-15" 75.870003 77.349998 75.559998 61.68
"2012-10-16" 77.599998 77.599998 76.690002 61.488117
"2012-10-17" 77.330002 77.5 76.480003 61.584053
"2012-10-18" 77.019997 77.230003 76.169998 61.208286
"2012-10-19" 76.580002 76.709999 75.43 60.456779
"2012-10-22" 75.68 75.779999 75.089996 60.480774
"2012-10-23" 75.050003 75.489998 74.510002 59.769226
"2012-10-24" 74.93 75 74.519997 59.817196
"2012-10-25" 75.300003 75.5 74.889999 60.216938
"2012-10-26" 75.199997 75.419998 74.68 60.049061
"2012-10-31" 75.25 75.68 74.129997 59.977097
"2012-11-01" 75.129997 75.160004 73.150002 58.721897
"2012-11-02" 73.459999 73.57 72.709999 58.178257
"2012-11-05" 72.660004 73.199997 72.650002 58.474075
"2012-11-06" 73.169998 74.279999 73.129997 58.969765
"2012-11-07" 73.419998 73.900002 72.860001 58.450085
"2012-11-08" 73.010002 73.980003 72.480003 57.946419
"2012-11-09" 72.129997 72.599998 71.919998 57.810516
"2012-11-12" 72.269997 72.599998 71.900002 57.946419
"2012-11-13" 71.970001 72.300003 71.18 57.410755
"2012-11-14" 71.860001 72 71.080002 57.011017
"2012-11-15" 69.660004 69.690002 67.849998 54.940369
"2012-11-16" 68.589996 68.690002 67.879997 54.388721
"2012-11-19" 68.150002 69.129997 67.650002 55.18018
"2012-11-20" 69.239998 69.239998 68.449997 55.164219
"2012-11-21" 68.860001 69.059998 68.68 55.076263
"2012-11-23" 69.339996 70.239998 68.879997 56.123589
"2012-11-26" 70.129997 70.230003 69.449997 55.89175
"2012-11-27" 69.900002 70.169998 69.449997 55.563965
"2012-11-28" 69.459999 70.809998 69.290001 56.411404
"2012-11-29" 70.480003 71.040001 70.129997 56.627266
"2012-11-30" 70.970001 72.120003 70.849998 57.578655
"2012-12-03" 72.110001 72.339996 71.339996 57.034988
"2012-12-04" 71.470001 72.599998 71.449997 57.658596
"2012-12-05" 71.940002 72.019997 71.230003 57.600704
"2012-12-06" 71.669998 71.849998 71.099998 57.552483
"2012-12-07" 71.900002 72.589996 71.849998 58.115238
"2012-12-10" 72.080002 72.339996 71.790001 58.002686
"2012-12-11" 72.25 72.699997 70.82 56.989742
"2012-12-12" 70.199997 70.349998 68.910004 55.422112
"2012-12-13" 69.040001 69.360001 69 55.502499
"2012-12-14" 69.050003 69.300003 68.739998 55.269344
"2012-12-17" 68.959999 69.510002 68.889999 55.631115
"2012-12-18" 69.110001 69.660004 68.910004 55.872292
"2012-12-19" 69.43 69.5 68.519997 55.084454
"2012-12-20" 68.330002 69.059998 68.169998 55.470329
"2012-12-21" 68.870003 69.160004 68.269997 55.188965
"2012-12-24" 68.510002 68.809998 68.309998 55.124645
"2012-12-26" 68.559998 68.650002 67.730003 54.658379
"2012-12-27" 68.029999 68.419998 67.790001 54.819157
"2012-12-28" 67.910004 68.349998 67.540001 54.352879
"2012-12-31" 67.489998 68.300003 67.370003 54.851311
