"Index" "Open" "High" "Low" "Price"
"2012-09-17" 17.08 17.195557 16.893333 13.539722
"2012-09-18" 16.897778 16.946667 16.804443 13.507673
"2012-09-19" 16.844444 16.902222 16.791111 13.454249
"2012-09-20" 16.724443 16.737778 16.657778 13.379466
"2012-09-21" 16.808889 16.857779 16.684444 13.400831
"2012-09-24" 16.684444 16.746668 16.653334 13.368785
"2012-09-25" 16.728889 16.928888 16.457779 13.197846
"2012-09-26" 16.404444 16.573334 16.382221 13.176481
"2012-09-27" 16.502222 16.626667 16.395555 13.318928
"2012-09-28" 16.595556 16.768888 16.515556 13.350977
"2012-10-01" 16.608889 16.764444 16.546667 13.318928
"2012-10-02" 16.426666 16.64889 16.364445 13.187165
"2012-10-03" 16.462221 16.555555 16.417778 13.201405
"2012-10-04" 16.52 16.582222 16.422222 13.286873
"2012-10-05" 16.622223 16.853333 16.622223 13.41864
"2012-10-08" 16.68 16.795555 16.604445 13.436447
"2012-10-09" 16.817778 16.817778 16.555555 13.308245
"2012-10-10" 16.617779 16.75111 16.608889 13.379466
"2012-10-11" 16.773333 16.848888 16.67111 13.368785
"2012-10-12" 16.684444 16.702223 16.417778 13.155112
"2012-10-15" 16.435556 16.586666 16.435556 13.290439
"2012-10-16" 16.644444 16.955557 16.639999 13.586019
"2012-10-17" 17.008888 17.146667 16.92 13.707098
"2012-10-18" 17.168888 17.6 17.111111 14.070338
"2012-10-19" 17.537779 17.537779 17.297777 13.881596
"2012-10-22" 17.297777 17.391111 17.168888 13.824617
"2012-10-23" 17.288889 17.724443 17.155556 14.148688
"2012-10-24" 17.733334 17.848888 17.644444 14.148688
"2012-10-25" 17.76 17.817778 17.466667 14.070338
"2012-10-26" 17.6 17.631111 17.346666 13.959949
"2012-10-31" 16.924444 17.493334 16.92 13.849546
"2012-11-01" 17.288889 17.524445 17.191111 13.895841
"2012-11-02" 17.368889 17.368889 17.008888 13.639437
"2012-11-05" 16.977777 17.16 16.808889 13.724903
"2012-11-06" 17.200001 17.324444 17.173332 13.792566
"2012-11-07" 17.048889 17.151112 16.888889 13.699973
"2012-11-08" 17.062222 17.311111 17.004444 13.849546
"2012-11-09" 17.151112 17.4 17.084444 13.863789
"2012-11-12" 17.293333 17.311111 17.106667 13.789005
"2012-11-13" 17.106667 17.333332 17.106667 13.732028
"2012-11-14" 17.155556 17.24889 17.048889 13.685729
"2012-11-15" 17.124443 17.266666 17.08 13.749829
"2012-11-16" 17.133333 17.253332 17.066668 13.813935
"2012-11-19" 17.333332 17.48 17.311111 13.959949
"2012-11-20" 17.422222 17.546667 17.333332 14.056098
"2012-11-21" 17.555555 17.702223 17.448889 14.177178
"2012-11-23" 17.76 17.804443 17.688889 14.266204
"2012-11-26" 17.684444 17.888889 17.595556 14.162936
"2012-11-27" 17.644444 17.719999 17.564444 14.081019
"2012-11-28" 17.546667 17.617779 17.355556 14.102391
"2012-11-29" 17.67111 17.715555 17.546667 14.116637
"2012-11-30" 17.6 17.67111 17.515556 14.188025
"2012-12-03" 17.688889 17.733334 17.497778 14.184457
"2012-12-04" 17.639999 17.697779 17.555555 14.152329
"2012-12-05" 17.644444 17.906668 17.613333 14.352209
"2012-12-06" 17.822222 17.951111 17.653334 14.195164
"2012-12-07" 17.719999 17.76 17.635555 14.195164
"2012-12-10" 17.662222 17.764444 17.573334 14.180887
"2012-12-11" 17.768888 17.777779 17.555555 14.120205
"2012-12-12" 17.644444 17.684444 17.524445 14.08451
"2012-12-13" 17.577778 17.586666 17.417778 13.995275
"2012-12-14" 17.417778 17.502222 17.280001 13.877492
"2012-12-17" 17.048889 17.555555 17.048889 14.098793
"2012-12-18" 17.56889 17.6 17.231112 13.938171
"2012-12-19" 17.435556 17.533333 17.32 13.941741
"2012-12-20" 16.951111 17.4 16.946667 14.34102
"2012-12-21" 17.266666 17.360001 17.151112 14.161527
"2012-12-24" 17.151112 17.204445 17.075556 14.139548
"2012-12-26" 17.151112 17.168888 16.84 13.927086
"2012-12-27" 16.933332 16.933332 16.622223 13.813536
"2012-12-28" 16.728889 16.822222 16.657778 13.776901
"2012-12-31" 16.724443 16.777779 16.573334 13.824524
"2013-01-02" 16.995556 17.173332 16.902222 14.146876
"2013-01-03" 17.177778 17.315556 17.137777 14.227467
"2013-01-04" 17.262222 17.360001 17.253332 14.300722
"2013-01-07" 17.271111 17.377777 17.257778 14.289739
"2013-01-08" 17.32889 17.4 17.315556 14.330032
"2013-01-09" 17.444445 17.502222 17.364445 14.362992
"2013-01-10" 17.528889 17.608889 17.453333 14.395969
"2013-01-11" 17.466667 17.555555 17.422222 14.406954
"2013-01-14" 17.457779 17.573334 17.435556 14.461905
"2013-01-15" 17.444445 17.64889 17.444445 14.538822
"2013-01-16" 17.59111 17.644444 17.537779 14.513184
"2013-01-17" 17.617779 17.75111 17.555555 14.586449
"2013-01-18" 17.724443 17.879999 17.688889 14.714652
"2013-01-22" 17.915556 18.40889 17.897778 15.121252
"2013-01-23" 18.271111 18.426666 18.217777 15.13957
"2013-01-24" 18.40889 18.684444 18.40889 15.216499
"2013-01-25" 18.524445 18.524445 18.368889 15.22016
"2013-01-28" 18.506666 18.52 18.195557 15.040671
"2013-01-29" 18.280001 18.528889 18.133333 15.066313
"2013-01-30" 18.306667 18.306667 18.048889 14.919784
"2013-01-31" 18.115557 18.360001 18.102222 15.080963
"2013-02-01" 18.426666 18.666668 18.368889 15.209171
"2013-02-04" 18.453333 18.48 18.257778 15.084625
"2013-02-05" 18.333332 18.48 18.275557 15.110267
"2013-02-06" 18.32 18.43111 18.311111 15.183537
"2013-02-07" 18.493334 18.573334 18.386667 15.2458
"2013-02-08" 18.497778 18.515556 18.333332 15.179861
"2013-02-11" 18.40889 18.422222 18.333332 15.154229
"2013-02-12" 18.391111 18.48889 18.32889 15.227491
"2013-02-13" 18.502222 18.537779 18.422222 15.271445
"2013-02-14" 18.462221 18.577778 18.462221 15.253127
