"Index" "Open" "High" "Low" "Price"
"2015-06-24" 57.167313 57.167313 57.104244 45.548584
"2015-06-25" 56.671772 56.671772 55.77079 44.484974
"2015-06-26" 55.77079 55.77079 55.77079 44.484974
"2015-06-29" 54.887829 54.887829 54.779709 43.694447
"2015-06-30" 55.257229 55.320297 54.356247 43.766315
"2015-07-01" 54.725651 56.221279 54.626541 44.844292
"2015-07-02" 56.761871 58.563835 56.221279 46.705627
"2015-07-06" 58.671951 59.825211 56.752861 45.814491
"2015-07-07" 57.581764 57.653843 55.446438 44.894611
"2015-07-08" 56.311378 57.572754 53.608433 42.911106
"2015-07-09" 53.608433 54.896839 52.716461 42.767384
"2015-07-10" 54.031895 55.500496 53.518333 44.125641
"2015-07-13" 55.896927 56.086136 55.509506 44.643085
"2015-07-14" 55.950989 56.806919 55.356339 44.69339
"2015-07-15" 56.086136 56.698803 55.077034 44.283749
"2015-07-16" 55.590595 57.374538 55.442833 44.786816
"2015-07-17" 56.419498 56.987118 55.536533 44.377171
"2015-07-20" 55.860889 56.698803 55.410397 44.233444
"2015-07-21" 55.716732 56.635735 53.716553 43.01173
"2015-07-22" 54.374268 55.086044 53.671501 43.220139
"2015-07-23" 53.8517 54.761688 53.473286 43.01173
"2015-07-24" 53.653481 54.013874 51.950626 42.336178
"2015-07-27" 52.662403 53.536354 52.135326 41.818748
"2015-07-28" 52.725471 53.833679 51.797459 42.645206
"2015-07-29" 53.049824 53.815659 52.329041 42.681141
"2015-07-30" 55.28426 56.933056 54.995945 45.153328
"2015-07-31" 55.410397 57.437607 55.104061 45.318615
"2015-08-03" 57.095234 58.329578 56.212273 45.397671
"2015-08-04" 56.086136 57.167313 56.077126 44.96648
"2015-08-05" 57.023155 57.626812 56.059105 45.095825
"2015-08-06" 55.860889 56.311378 54.491398 44.369991
"2015-08-07" 55.572575 56.410488 54.941887 44.959286
"2015-08-10" 56.752861 57.21236 55.77079 45.534069
"2015-08-11" 57.662853 57.662853 55.599606 45.83773
"2015-08-12" 57.122265 57.545727 55.599606 45.772659
"2015-08-13" 56.996124 57.480854 56.176231 45.642525
"2015-08-14" 56.878998 57.491665 55.823948 45.714817
"2015-08-17" 56.428509 57.131271 56.428509 45.794342
"2015-08-18" 56.779888 57.284439 56.680782 45.664207
"2015-08-19" 56.743851 57.023155 55.923958 44.876156
"2015-08-20" 55.635643 55.635643 54.401299 43.871181
"2015-08-21" 54.257141 54.297684 52.824577 42.663792
"2015-08-24" 51.049644 54.32021 48.184521 40.820148
"2015-08-25" 52.527256 52.590324 49.563023 40.12608
"2015-08-26" 51.473106 52.2029 49.689159 40.812927
"2015-08-27" 52.473194 53.383186 52.022705 42.81562
"2015-08-28" 53.446255 54.437336 53.356159 43.567528
"2015-08-31" 54.140015 54.266151 52.833588 42.909599
"2015-09-01" 52.707451 53.26606 51.950626 42.24445
"2015-09-02" 53.085865 53.554375 51.761421 42.056477
"2015-09-03" 52.572304 53.73457 52.419136 42.454128
"2015-09-04" 51.590233 52.554283 51.581223 41.463623
"2015-09-08" 52.383099 52.869629 51.977657 42.367374
"2015-09-09" 53.157944 54.112984 52.374088 42.114315
"2015-09-10" 52.374088 53.527344 52.283989 42.468575
"2015-09-11" 52.707451 53.860706 52.274979 42.475807
"2015-09-14" 52.932697 53.716553 51.851517 43.07589
"2015-09-15" 56.752861 56.752861 52.860619 43.148205
"2015-09-16" 53.36517 53.36517 51.364986 42.504723
"2015-09-17" 52.869629 53.320118 51.698353 41.738361
"2015-09-18" 51.328949 51.653301 50.094604 40.270687
"2015-09-21" 51.968647 51.968647 49.995495 40.38636
"2015-09-22" 51.34697 51.34697 48.157494 38.998219
"2015-09-23" 48.499866 49.572033 47.373638 38.166775
"2015-09-24" 45.959095 47.256512 45.499596 37.819748
"2015-09-25" 47.364628 47.553833 46.553745 37.559471
"2015-09-28" 46.274441 46.778988 44.959003 36.12793
"2015-09-29" 44.490494 46.193352 43.967926 36.561722
"2015-09-30" 49.337776 49.337776 45.607712 37.190739
"2015-10-01" 49.752232 50.500046 46.031174 37.595615
"2015-10-02" 45.040092 47.7971 45.040092 38.325836
"2015-10-05" 48.112442 48.995403 47.851158 39.113895
"2015-10-06" 48.977386 49.599064 48.626003 39.26572
"2015-10-07" 46.436615 49.400848 46.436615 39.084976
"2015-10-08" 48.580952 49.22966 48.256599 39.178959
"2015-10-09" 49.563023 52.004684 49.563023 41.622681
"2015-10-12" 51.8335 51.887558 49.986485 40.726173
"2015-10-13" 50.148663 51.175781 49.959457 40.15501
"2015-10-14" 50.076584 50.626183 49.80629 40.31406
"2015-10-15" 50.067574 50.572124 49.508965 40.494816
"2015-10-16" 52.121815 52.121815 49.337776 40.335751
"2015-10-19" 49.725201 50.210831 48.348499 39.236805
"2015-10-20" 48.508877 49.049465 46.274441 38.868076
"2015-10-21" 48.833229 48.833229 46.62582 38.007717
"2015-10-22" 47.905216 48.436794 46.787998 37.957111
"2015-10-23" 47.472744 48.391747 47.427696 38.586117
"2015-10-26" 48.022343 48.071899 47.022255 38.506588
"2015-10-27" 47.562843 48.031353 47.004234 38.369205
"2015-10-28" 49.373817 49.481934 47.716011 39.338024
"2015-10-29" 47.490765 49.400848 46.869087 39.084976
"2015-10-30" 48.75214 49.157581 48.436794 38.868076
"2015-11-02" 48.256599 49.23867 48.220558 39.113895
"2015-11-03" 45.968105 48.490856 45.968105 38.477661
"2015-11-04" 49.409859 49.409859 47.860168 38.499359
"2015-11-05" 45.031082 47.382648 43.427338 37.14735
"2015-11-06" 45.878006 48.409767 45.878006 38.795769
"2015-11-09" 46.067211 48.734119 46.058205 37.523312
"2015-11-10" 47.382648 47.382648 45.346428 37.111214
"2015-11-11" 45.445538 46.806019 45.445538 37.277496
"2015-11-12" 45.409496 45.878006 44.364357 35.621849
"2015-11-13" 44.076042 45.031082 43.634563 35.101288
"2015-11-16" 43.787727 43.918369 42.931797 34.65303
"2015-11-17" 41.706459 44.184162 41.706459 34.795124
"2015-11-18" 42.922787 44.70673 42.922787 36.121349
"2015-11-19" 44.409405 45.499596 44.1301 36.565849
"2015-11-20" 45.373459 45.67979 44.904945 36.514851
"2015-11-23" 44.247231 45.850979 44.247231 36.726162
"2015-11-24" 47.409676 47.409676 45.085144 36.799042
"2015-11-25" 44.986034 45.968105 44.139111 36.638718
"2015-11-27" 45.157223 45.66177 45.040997 36.733452
"2015-11-30" 46.941166 46.941166 45.517612 36.893761
"2015-12-01" 45.751869 46.598793 45.409496 37.177952
"2015-12-02" 44.841877 46.463646 44.841877 36.704304
"2015-12-03" 46.941166 46.941166 45.058113 36.820889
"2015-12-04" 45.652763 45.751869 44.850887 36.740746
"2015-12-07" 44.427425 45.427517 44.058022 35.676853
"2015-12-08" 44.021984 44.310299 43.229118 34.977306
"2015-12-09" 43.373276 43.985947 42.796646 35.013721
"2015-12-10" 42.373188 43.553474 41.895664 34.183014
"2015-12-11" 41.607353 42.328136 41.093792 33.345028
"2015-12-14" 41.129833 41.382107 39.553112 32.171833
"2015-12-15" 40.246868 41.050545 39.23777 31.749193
"2015-12-16" 39.652222 40.553204 38.516983 32.732918
"2015-12-17" 40.354988 40.805477 40.021626 32.696487
"2015-12-18" 40.526173 40.888367 39.679249 32.128113
"2015-12-21" 39.868458 40.409046 39.661232 32.412289
"2015-12-22" 40.129742 40.327957 39.035049 32.091671
"2015-12-23" 40.057663 41.107307 39.70628 33.162849
"2015-12-24" 41.165871 41.544285 40.805477 33.162849
"2015-12-28" 40.913597 41.13884 40.463104 33.250301
"2015-12-29" 41.391117 41.715469 41.15686 33.42519
"2015-12-30" 41.183891 41.512749 41.012703 33.345028
"2015-12-31" 40.949635 41.765022 40.904587 33.243008
"2016-01-04" 40.373009 41.021713 39.9991 33.170139
"2016-01-05" 41.057755 41.179386 40.760429 33.148289
"2016-01-06" 40.273899 40.449589 39.643211 32.230114
"2016-01-07" 39.030544 40.165779 38.877377 31.909502
"2016-01-08" 39.22876 39.345886 37.606991 30.554131
"2016-01-11" 37.904316 38.021442 35.507702 28.972862
"2016-01-12" 36.057301 36.435715 34.147221 27.945404
"2016-01-13" 34.165241 36.057301 34.13821 27.661215
"2016-01-14" 34.363457 35.075233 33.714748 28.054708
"2016-01-15" 33.831879 34.381477 33.246239 26.998106
"2016-01-19" 33.732769 33.858906 32.631767 26.568174
"2016-01-20" 32.327236 33.129112 31.1019 26.269411
"2016-01-21" 32.642578 33.66069 32.237137 26.53174
"2016-01-22" 33.561581 34.399494 33.255249 27.500902
"2016-01-25" 30.696459 30.804577 28.407965 23.398355
"2016-01-26" 29.191818 29.678349 28.70529 23.376495
"2016-01-27" 28.588161 30.372107 28.588161 23.755415
"2016-01-28" 29.552212 30.002703 28.498062 23.063158
"2016-01-29" 28.70529 31.903774 28.561132 25.708313
"2016-02-01" 31.345165 31.768627 30.0928 25.511572
"2016-02-02" 30.759527 30.984774 30.020723 24.309219
"2016-02-03" 30.588341 30.912695 29.633301 24.272791
"2016-02-04" 29.849537 31.128931 29.831516 25.08893
"2016-02-05" 30.822598 31.408236 30.002703 24.338369
"2016-02-08" 29.912605 30.083792 28.65123 23.456652
"2016-02-09" 28.534101 29.666637 28.498062 23.820999
"2016-02-10" 28.498062 29.867556 28.191729 23.10965
"2016-02-11" 27.768267 28.200739 26.786198 22.070269
"2016-02-12" 27.371836 28.011534 27.137581 22.873758
"2016-02-16" 28.380936 28.552122 27.65114 23.227592
"2016-02-17" 28.777367 29.840527 28.570141 24.112175
"2016-02-18" 29.597261 29.876566 28.831427 24.126917
"2016-02-19" 28.534101 29.272907 27.534012 23.26445
"2016-02-22" 29.705379 29.705379 28.615191 23.846804
"2016-02-23" 28.984592 29.444094 28.768358 24.016344
"2016-02-24" 28.840437 29.399046 28.525091 23.817316
"2016-02-25" 29.335976 29.723398 28.687269 23.898403
"2016-02-26" 29.317957 30.717182 29.002613 24.73875
"2016-02-29" 29.317957 31.705559 29.317957 24.893553
"2016-03-01" 30.795567 31.908279 30.615372 26.095108
"2016-03-02" 31.714569 33.318317 31.597441 27.20083
"2016-03-03" 33.093071 34.084152 33.093071 27.775812
"2016-03-04" 34.156231 34.23732 32.642578 27.097628
"2016-03-07" 33.011982 33.507523 32.10199 26.71431
"2016-03-08" 32.291199 32.556988 31.228039 26.065624
"2016-03-09" 32.12001 32.471394 31.786648 26.242538
"2016-03-10" 32.111 32.363277 31.137939 25.829733
