"Index" "Open" "High" "Low" "Price"
"2012-09-17" 97.37748 97.960266 97.245033 80.302834
"2012-09-18" 97.456955 98.066223 95.364235 79.101341
"2012-09-19" 96.105957 96.847679 95.920532 79.647453
"2012-09-20" 95.708611 96.609268 95.708611 79.560066
"2012-09-21" 96.715233 97.271523 96.079468 79.319778
"2012-09-24" 95.814568 96.847679 95.496689 79.734833
"2012-09-25" 97.139076 97.35099 96.609268 79.800392
"2012-09-26" 96 96.5298 95.761589 80.130516
"2012-09-27" 97.033112 97.509933 96.158943 80.900795
"2012-09-28" 97.536423 97.880798 96.874168 81.252884
"2012-10-01" 97.960266 99.655632 97.933777 81.781113
"2012-10-02" 98.62252 99.019867 98.013245 81.627022
"2012-10-03" 97.748344 98.384109 96.609268 81.010803
"2012-10-04" 97.483444 98.410599 97.324501 81.605042
"2012-10-05" 98.887421 99.629143 98.331123 81.957146
"2012-10-08" 98.145699 99.072845 97.960266 82.133224
"2012-10-09" 98.701988 98.887421 97.801323 81.362946
"2012-10-10" 97.562912 97.668877 96.132446 80.350594
"2012-10-11" 96 96.82119 96 80.372589
"2012-10-12" 94.860924 97.615891 94.860924 80.064491
"2012-10-15" 96.370857 96.768211 95.788078 80.240524
"2012-10-16" 97.960266 97.960266 96.450333 81.208893
"2012-10-17" 98.993378 99.125832 95.867554 80.152489
"2012-10-18" 96.609268 97.192055 95.947021 79.866402
"2012-10-19" 95.788078 96.185432 94.410599 78.633957
"2012-10-22" 94.887421 95.099335 93.748344 78.413895
"2012-10-23" 91.602646 93.960266 91.576157 77.577591
"2012-10-24" 84.715233 89.245033 84.715233 73.109978
"2012-10-25" 88.874168 89.668877 88 73.90229
"2012-10-26" 89.298012 89.615891 88.2649 73.726204
"2012-10-31" 88.82119 89.430466 88.158943 74.100365
"2012-11-01" 89.37748 91.867554 89.37748 75.200775
"2012-11-02" 90.91391 90.91391 89.642387 74.870613
"2012-11-05" 90.437088 91.549667 90.198677 75.794945
"2012-11-06" 91.44371 92.953644 91.44371 76.719299
"2012-11-07" 91.841057 92 89.589401 75.222748
"2012-11-08" 90.701988 91.072845 89.907288 74.716599
"2012-11-09" 89.801323 90.384109 89.430466 74.540512
"2012-11-12" 90.278145 90.278145 89.430466 74.386452
"2012-11-13" 89.562912 90.039734 88.953644 74.320419
"2012-11-14" 89.536423 89.748344 88.635765 73.792244
"2012-11-15" 88.715233 89.483444 88.291389 74.166389
"2012-11-16" 89.033112 89.668877 88.82119 74.452499
"2012-11-19" 89.192055 90.278145 89.139076 74.848625
"2012-11-20" 90.066223 90.887421 89.827812 75.486855
"2012-11-21" 90.225166 91.841057 90.225166 76.037056
"2012-11-23" 91.894043 92.026489 91.576157 76.389175
"2012-11-26" 91.947021 92.317879 90.834435 75.750938
"2012-11-27" 91.231789 91.231789 90.092712 74.91465
"2012-11-28" 89.801323 90.807945 89.562912 75.310799
"2012-11-29" 90.516556 91.17881 90.331123 75.200775
"2012-11-30" 90.675499 92.927155 90.62252 77.203461
"2012-12-03" 91.788078 92.715233 91.284767 75.971024
"2012-12-04" 91.496689 92.158943 91.390732 76.367172
"2012-12-05" 92.185432 92.688744 91.814568 77.005379
"2012-12-06" 91.788078 92.927155 91.788078 77.203461
"2012-12-07" 92.662254 92.874168 91.046356 75.971024
"2012-12-10" 91.4702 91.655632 90.887421 75.816963
"2012-12-11" 91.761589 91.761589 90.490067 75.398834
"2012-12-12" 91.152321 91.708611 90.675499 75.640923
"2012-12-13" 90.91391 91.496689 90.543045 75.442825
"2012-12-14" 90.91391 91.311256 90.145699 75.06868
"2012-12-17" 90.754967 91.655632 90.62252 75.398834
"2012-12-18" 90.940399 90.993378 89.668877 74.584557
"2012-12-19" 90.039734 90.331123 89.271523 74.254417
"2012-12-20" 88.82119 89.695366 88.794701 74.430481
"2012-12-21" 88.185432 89.403976 88.026489 73.726204
"2012-12-24" 88.370857 89.165565 88.158943 73.704193
"2012-12-26" 88.768211 89.615891 88.344368 73.814247
"2012-12-27" 88.370857 89.139076 88.105957 74.413307
"2012-12-28" 88.476822 89.112579 88.211922 74.102684
"2012-12-31" 88.5298 88.874168 88 74.391121
"2013-01-02" 89.774834 90.834435 89.774834 76.010712
"2013-01-03" 90.940399 92.105957 90.940399 76.787231
"2013-01-04" 91.920532 92.105957 91.284767 76.765038
"2013-01-07" 91.311256 92.2649 91.311256 76.543175
"2013-01-08" 91.258278 91.655632 90.834435 76.166016
"2013-01-09" 91.17881 91.44371 90.516556 76.143852
"2013-01-10" 91.205299 92.423843 90.62252 76.986931
"2013-01-11" 91.920532 91.920532 90.993378 76.432259
"2013-01-14" 91.17881 91.523178 90.701988 76.543175
"2013-01-15" 90.940399 92.635765 90.940399 77.208778
"2013-01-16" 92.079468 92.423843 91.682121 76.942535
"2013-01-17" 92.052979 92.344368 91.364235 77.142212
"2013-01-18" 92.344368 92.344368 91.788078 77.097832
"2013-01-22" 92.052979 92.211922 91.682121 76.942535
"2013-01-23" 91.708611 92.450333 91.4702 76.853798
"2013-01-24" 91.549667 92.211922 91.311256 76.765038
"2013-01-25" 92.211922 92.582779 91.761589 77.386269
