"Index" "Open" "High" "Low" "Price"
"2012-09-17" 114.160004 115.190002 111.949997 85.639648
"2012-09-18" 112.389999 113.440002 111.660004 85.837654
"2012-09-19" 113.25 116.389999 112.769997 88.091499
"2012-09-20" 114.43 114.970001 113 87.489944
"2012-09-21" 115.5 115.5 113.419998 87.086403
"2012-09-24" 113.449997 114.779999 113.110001 86.857964
"2012-09-25" 115.480003 116.470001 113.529999 86.751366
"2012-09-26" 113.910004 114.730003 111.900002 86.583832
"2012-09-27" 114.209999 116.220001 113.300003 87.893539
"2012-09-28" 114.800003 116.099998 114.139999 87.901138
"2012-10-01" 116 117.82 114.980003 88.007767
"2012-10-02" 116.410004 116.410004 113.449997 87.269157
"2012-10-03" 115.160004 115.75 114.089996 87.467133
"2012-10-04" 113.870003 114.800003 111.870003 86.819893
"2012-10-05" 115.129997 115.879997 113.139999 86.660011
"2012-10-08" 113.260002 113.639999 112 85.799583
"2012-10-09" 112.769997 114.129997 110.93 85.114281
"2012-10-10" 112.160004 113.209999 109.949997 84.535568
"2012-10-11" 112.019997 112.860001 111.150002 85.632034
"2012-10-12" 113.410004 114.980003 113 86.660011
"2012-10-15" 113.889999 116.5 113.529999 88.517921
"2012-10-16" 116.889999 118.980003 116.32 89.698158
"2012-10-17" 117.82 119.290001 116.809998 90.573837
"2012-10-18" 119.059998 119.5 117.360001 90.078903
"2012-10-19" 117.900002 117.900002 114.790001 88.038216
"2012-10-22" 114.220001 116.489998 114.220001 87.916374
"2012-10-23" 114.099998 114.790001 113.25 87.094009
"2012-10-24" 114.040001 116 111.82 85.502602
"2012-10-25" 118.129997 121 117.629997 91.700745
"2012-10-26" 121.5 121.540001 118.07 90.589043
"2012-10-31" 119.18 121.400002 118.110001 92.180466
"2012-11-01" 121.239998 123.639999 118.769997 93.581505
"2012-11-02" 123.459999 123.540001 120.480003 91.982491
"2012-11-05" 114 114.480003 110.800003 90.938721
"2012-11-06" 112.110001 112.75 110.519997 91.501381
"2012-11-07" 111.089996 112.18 109.769997 90.539146
"2012-11-08" 110.610001 111.550003 108.709999 89.087669
"2012-11-09" 108.459999 109.870003 108.230003 88.35376
"2012-11-12" 108.669998 109.150002 106.660004 87.595383
"2012-11-13" 106.959999 108.480003 105.580002 87.195808
"2012-11-14" 107.669998 107.709999 104.050003 85.263222
"2012-11-15" 104.309998 105.610001 103.339996 85.255066
"2012-11-16" 107.610001 109.410004 103.879997 85.075645
"2012-11-19" 106.110001 107.300003 104.919998 86.26619
"2012-11-20" 106.379997 107.480003 105.57 87.146889
"2012-11-21" 106.610001 108.290001 106.610001 88.092812
"2012-11-23" 108.769997 109.419998 107.93 89.152885
"2012-11-26" 108.980003 109.18 106.629997 87.71769
"2012-11-27" 107.139999 109.489998 107.139999 88.280373
"2012-11-28" 108.800003 111.860001 107.839996 91.077339
"2012-11-29" 112 113.360001 110.5 91.354599
"2012-11-30" 112.099998 112.730003 111.32 91.656334
"2012-12-03" 112.970001 115.690002 112.970001 92.471756
"2012-12-04" 108.849998 110.620003 107.5 89.797089
"2012-12-05" 110.110001 110.739998 109.019997 89.650314
"2012-12-06" 110 111.739998 109.75 90.881653
"2012-12-07" 111.75 112.629997 109.129997 89.911255
"2012-12-10" 110.389999 110.489998 108.919998 89.731873
"2012-12-11" 111.25 111.75 109.279999 89.536171
"2012-12-12" 110.82 114.449997 110.269997 92.520706
"2012-12-13" 113.370003 115.160004 113.160004 93.140419
"2012-12-14" 112.239998 114.919998 111.989998 92.757164
"2012-12-17" 114.279999 114.589996 112.449997 92.708252
"2012-12-18" 113.800003 115.010002 113.019997 92.920258
"2012-12-19" 113.949997 115.669998 113.029999 92.667458
"2012-12-20" 114.160004 114.75 113.139999 93.189354
"2012-12-21" 112.959999 113.639999 112.160004 92.56147
"2012-12-24" 113.120003 113.480003 111.769997 91.75415
"2012-12-26" 112.610001 112.980003 110.889999 90.963188
"2012-12-27" 111.900002 112.080002 108.93 90.522835
"2012-12-28" 110.480003 112.290001 109.480003 89.430145
"2012-12-31" 109.580002 112.540001 109.129997 91.729706
"2013-01-02" 116.370003 119.019997 115.879997 96.2799
"2013-01-03" 118.57 121.059998 118.339996 97.315552
"2013-01-04" 119.93 122.209999 119.400002 98.489754
"2013-01-07" 120.730003 121.989998 120.260002 98.824097
"2013-01-08" 121.040001 121.879997 119.830002 98.742554
"2013-01-09" 121.370003 123.720001 121.199997 99.093201
"2013-01-10" 123.650002 123.690002 120.260002 100.218498
"2013-01-11" 122.760002 123.360001 121.769997 100.291908
"2013-01-14" 122.839996 123.870003 122.5 100.136971
"2013-01-15" 122.639999 123.949997 122.260002 100.952415
"2013-01-16" 122.709999 123.32 122.209999 100.267448
"2013-01-17" 123.510002 123.82 122.220001 100.675171
"2013-01-18" 125.150002 126.110001 123.709999 101.164459
"2013-01-22" 123.610001 124.660004 122.669998 101.376465
"2013-01-23" 124.400002 124.980003 122.75 100.406059
"2013-01-24" 123.580002 124.57 122.540001 100.039124
"2013-01-25" 123.059998 124.339996 122.699997 101.058418
"2013-01-28" 123.209999 124.970001 123.050003 100.74041
"2013-01-29" 123.269997 123.949997 121.849998 99.802643
"2013-01-30" 122.080002 123.860001 122.059998 100.699623
"2013-01-31" 125.5 126.949997 123.32 102.110344
"2013-02-01" 123.989998 126.660004 122.5 103.048111
"2013-02-04" 125.349998 126.980003 124.559998 101.735245
"2013-02-05" 124.75 126.769997 124.75 102.542557
"2013-02-06" 121.43 124.82 120.910004 100.544693
"2013-02-07" 123.279999 123.279999 120.769997 100.161415
"2013-02-08" 123.510002 126.919998 123.5 103.170425
"2013-02-11" 126.879997 126.879997 123.559998 101.19706
"2013-02-12" 123.57 124.010002 122.5 100.843559
"2013-02-13" 123.599998 124.239998 122.389999 100.621613
"2013-02-14" 122.800003 123.25 121.489998 101.279251
"2013-02-15" 123.080002 123.519997 122.010002 101.081963
"2013-02-19" 120.900002 120.910004 118.07 98.969231
"2013-02-20" 120.18 120.919998 116.330002 95.820694
"2013-02-21" 116.309998 116.32 113.849998 94.973961
"2013-02-22" 116.150002 117.849998 115.019997 96.461906
"2013-02-25" 118.559998 120.68 115.510002 94.998634
"2013-02-26" 115.779999 116.32 113.389999 94.949295
"2013-02-27" 115.879997 118.330002 115.290001 96.708542
"2013-02-28" 117.239998 119.25 116.900002 96.100212
"2013-03-01" 116.949997 117.300003 115.139999 95.828926
"2013-03-04" 116.150002 117.489998 115.120003 95.8125
"2013-03-05" 116.879997 117.330002 115.910004 95.360352
"2013-03-06" 116.389999 118.279999 115.830002 96.429039
"2013-03-07" 117.269997 118.269997 116.459999 96.355042
"2013-03-08" 118.019997 118.220001 116.650002 96.470131
"2013-03-11" 117.580002 119.279999 117.239998 97.127808
"2013-03-12" 117.839996 118 116.599998 96.988037
"2013-03-13" 118.18 119.470001 117.470001 97.522392
"2013-03-14" 118.989998 119.980003 118.660004 98.492432
"2013-03-15" 119.519997 120.239998 118.5 98.623962
"2013-03-18" 118.709999 121.809998 118.239998 98.739052
"2013-03-19" 120.360001 121.330002 119 98.591095
"2013-03-20" 121.099998 122.790001 120.830002 100.55584
"2013-03-21" 121.989998 122.879997 121.089996 99.544685
"2013-03-22" 121.809998 122.900002 121.209999 100.358551
"2013-03-25" 122.879997 124.650002 121.5 99.996826
"2013-03-26" 122.599998 125 121.949997 102.380814
"2013-03-27" 123.860001 124.440002 122.760002 102.043785
"2013-03-28" 124.25 125.410004 123.360001 102.890518
"2013-04-01" 125.230003 125.230003 122.410004 101.271049
"2013-04-02" 123.75 124.239998 122.510002 101.32859
"2013-04-03" 123.07 123.120003 119.75 98.977478
"2013-04-04" 120.550003 120.57 118.660004 97.662148
"2013-04-05" 116.599998 118.169998 114.410004 97.037376
"2013-04-08" 118.169998 123.279999 118.169998 100.851784
"2013-04-09" 123.290001 124.739998 122.639999 101.550545
"2013-04-10" 123.699997 126.470001 123.599998 103.877007
"2013-04-11" 126.480003 128.210007 126.269997 104.534668
"2013-04-12" 127 129.389999 126.559998 105.669128
"2013-04-15" 127.510002 128.199997 123.18 102.043785
"2013-04-16" 125.019997 127.440002 125 104.43602
"2013-04-17" 126.290001 126.360001 123.169998 102.208206
"2013-04-18" 124.790001 125.32 122.239998 101.887596
"2013-04-19" 125.160004 127.93 124.709999 104.863487
"2013-04-22" 127.949997 128.630005 126.739998 105.554031
"2013-04-23" 129.050003 129.910004 127.349998 106.351456
"2013-04-24" 130 132.039993 129.919998 108.10244
"2013-04-25" 133.5 135.979996 132.899994 110.905716
"2013-04-26" 135.399994 136.270004 133.839996 111.390755
"2013-04-29" 135.690002 136.509995 133.440002 111.637352
"2013-04-30" 136.259995 137.529999 135.589996 112.870468
"2013-05-01" 136.869995 137.389999 135.550003 111.982651
"2013-05-02" 137.149994 138.429993 136.059998 112.311455
"2013-05-03" 138.229996 139 136.389999 114.103561
"2013-05-06" 138.850006 140.339996 138.050003 114.004921
"2013-05-07" 138.029999 139.529999 137.490005 114.965462
"2013-05-08" 139.050003 139.919998 138.050003 114.965462
"2013-05-09" 138.330002 140.089996 137.259995 115.553368
"2013-05-10" 139.660004 140.429993 138.740005 115.18074
"2013-05-13" 139.190002 140.389999 138.240005 116.224083
"2013-05-14" 140.5 142.649994 140.270004 117.69799
"2013-05-15" 141.809998 142.399994 138.960007 115.727287
"2013-05-16" 138.990005 141.270004 138.990005 115.396042
"2013-05-17" 140.580002 141.649994 140.110001 116.745735
"2013-05-20" 141.479996 143.559998 141.050003 118.50119
"2013-05-21" 143.259995 144.169998 141.490005 117.938133
"2013-05-22" 143.179993 144.990005 140.850006 117.283981
"2013-05-23" 139.789993 140 137.360001 114.642509
"2013-05-24" 137.149994 138.449997 136.5 114.187096
"2013-05-28" 139.679993 142.529999 139.529999 116.406258
"2013-05-29" 140.369995 141.009995 137.830002 114.667374
"2013-05-30" 138.979996 139.380005 137.899994 114.369308
"2013-05-31" 137.179993 139.059998 135.889999 112.522736
"2013-06-03" 136.199997 138.220001 134.690002 114.352737
"2013-06-04" 137.889999 138.5 135.279999 113.30938
"2013-06-05" 135.979996 136.990005 133.009995 110.775543
"2013-06-06" 133.5 135.190002 133.009995 111.736107
"2013-06-07" 135.770004 138.100006 135.190002 113.855904
"2013-06-10" 137.960007 140.410004 137.509995 115.064857
"2013-06-11" 136.690002 136.970001 134.240005 111.603607
"2013-06-12" 135.490005 136.300003 133.460007 110.866669
"2013-06-13" 133.559998 137.050003 132.160004 113.044395
"2013-06-14" 135.970001 137.110001 134.429993 111.901703
"2013-06-17" 137 140.25 136.110001 114.592834
"2013-06-18" 138.869995 140.399994 138.580002 115.346375
"2013-06-19" 140.25 140.25 137.679993 114.153992
"2013-06-20" 136.479996 136.509995 130.619995 109.442421
"2013-06-21" 132.979996 133.610001 127.370003 107.388885
