"Index" "Open" "High" "Low" "Price"
"2012-09-17" 28.139999 28.25 27.84 19.964228
"2012-09-18" 27.68 27.68 27.370001 19.870131
"2012-09-19" 27.43 27.57 27.35 19.848413
"2012-09-20" 27.4 27.57 27.360001 19.85565
"2012-09-21" 27.440001 27.459999 27.25 19.77603
"2012-09-24" 27.32 27.68 27.309999 19.971474
"2012-09-25" 27.65 27.83 27.610001 20.014902
"2012-09-26" 27.700001 28 27.67 20.087288
"2012-09-27" 27.780001 27.799999 27.450001 19.870131
"2012-09-28" 27.4 27.73 27.309999 20.058336
"2012-10-01" 27.57 27.77 27.4 19.884611
"2012-10-02" 27.59 27.68 27.5 20.014902
"2012-10-03" 27.67 27.85 27.629999 20.145201
"2012-10-04" 27.950001 28.09 27.860001 20.246542
"2012-10-05" 28.040001 28.09 27.85 20.224827
"2012-10-08" 27.940001 28.030001 27.799999 20.232061
"2012-10-09" 27.9 28.049999 27.77 20.152435
"2012-10-10" 27.82 27.870001 27.620001 20.058336
"2012-10-11" 27.780001 27.9 27.719999 20.065573
"2012-10-12" 27.790001 27.889999 27.52 19.993187
"2012-10-15" 27.620001 27.76 27.440001 20.080057
"2012-10-16" 27.83 27.940001 27.74 20.145201
"2012-10-17" 27.92 28.25 27.809999 20.420267
"2012-10-18" 28.219999 28.32 28.139999 20.463697
"2012-10-19" 28.26 28.299999 27.969999 20.297218
"2012-10-22" 28.09 28.1 27.85 20.268261
"2012-10-23" 27.76 27.99 27.719999 20.188633
"2012-10-24" 27.93 28.08 27.59 20.014902
"2012-10-25" 27.85 28.07 27.68 20.289967
"2012-10-26" 28.1 28.17 27.889999 20.261019
"2012-10-31" 28.1 28.33 28.030001 20.449221
"2012-11-01" 28.34 28.34 28.07 20.362354
"2012-11-02" 28.299999 28.299999 27.889999 20.195869
"2012-11-05" 27.82 27.91 27.5 19.906322
"2012-11-06" 27.52 27.77 27.459999 19.89908
"2012-11-07" 27.379999 27.41 26.77 19.515438
"2012-11-08" 26.98 27.280001 26.77 19.385139
"2012-11-09" 26.73 26.809999 26.469999 19.182457
"2012-11-12" 26.610001 26.620001 26.08 18.900146
"2012-11-13" 26.110001 26.4 25.9 19.001493
"2012-11-14" 26.27 26.360001 26.040001 19.081112
"2012-11-15" 26.34 26.49 25.9 18.842239
"2012-11-16" 26.049999 26.389999 25.99 19.01597
"2012-11-19" 26.42 26.42 25.879999 18.921864
"2012-11-20" 26.129999 26.219999 25.879999 18.900146
"2012-11-21" 26.139999 26.190001 25.85 18.914623
"2012-11-23" 26.16 26.18 25.84 18.835007
"2012-11-26" 26.030001 26.450001 26 19.044926
"2012-11-27" 26.360001 26.610001 26.33 19.146261
"2012-11-28" 26.469999 26.59 26.23 19.204172
"2012-11-29" 26.540001 26.77 26.469999 19.341709
"2012-11-30" 26.799999 27.059999 26.629999 19.580587
"2012-12-03" 27.09 27.09 26.59 19.500959
"2012-12-04" 26.950001 27 26.719999 19.356182
"2012-12-05" 26.77 27.459999 26.719999 19.718111
"2012-12-06" 27.309999 27.360001 27.07 19.660206
"2012-12-07" 27.18 27.34 26.99 19.63125
"2012-12-10" 27.120001 27.24 27.08 19.710886
"2012-12-11" 27.24 27.389999 27.129999 19.747074
"2012-12-12" 27.120001 27.370001 27.07 19.6964
"2012-12-13" 27.17 27.209999 27.049999 19.667446
"2012-12-14" 27.139999 27.16 26.940001 19.500959
"2012-12-17" 27.01 27.360001 27.01 19.790501
"2012-12-18" 27.389999 27.66 27.34 19.993187
"2012-12-19" 27.639999 27.65 27.360001 19.812223
"2012-12-20" 27.4 27.51 27.25 19.870131
"2012-12-21" 27.33 27.610001 27.15 19.6964
"2012-12-24" 26.950001 27.01 26.73 19.674465
"2012-12-26" 26.98 27 26.52 19.42589
"2012-12-27" 26.52 26.639999 26.26 19.418573
"2012-12-28" 26.41 26.66 26.25 19.191931
"2012-12-31" 26.25 26.709999 26.09 19.528242
"2013-01-02" 27.030001 27.379999 26.93 20.018089
"2013-01-03" 27.389999 27.48 27.209999 19.959602
"2013-01-04" 27.33 27.450001 27.25 20.032717
"2013-01-07" 27.280001 27.379999 27.049999 19.82069
"2013-01-08" 27.07 27.200001 26.969999 19.857246
"2013-01-09" 27.16 27.280001 27.049999 19.886492
"2013-01-10" 27.27 27.379999 27.07 19.886492
"2013-01-11" 27.26 27.26 27.059999 19.864559
"2013-01-14" 27.16 27.25 27.049999 19.798761
"2013-01-15" 27.049999 27.09 26.959999 19.776829
"2013-01-16" 26.98 27.120001 26.91 19.674465
"2013-01-17" 26.77 27.02 26.77 19.718336
"2013-01-18" 26.959999 27.01 26.799999 19.747581
"2013-01-22" 27.040001 27.41 26.950001 20.040031
"2013-01-23" 27.360001 27.43 27.129999 19.966917
"2013-01-24" 27.389999 27.540001 27.33 20.047338
"2013-01-25" 27.52 27.57 27.34 20.142385
"2013-01-28" 27.49 27.51 27.290001 20.032717
"2013-01-29" 27.41 27.67 27.360001 20.171631
"2013-01-30" 27.51 27.59 27.4 20.083899
"2013-01-31" 27.49 27.799999 27.34 20.310541
"2013-02-01" 27.9 28.07 27.870001 20.478699
"2013-02-04" 27.940001 27.98 27.700001 20.281305
"2013-02-05" 27.889999 28.02 27.780001 20.310541
"2013-02-06" 27.76 27.83 27.59 20.347099
"2013-02-07" 27.9 27.93 27.629999 20.295919
"2013-02-08" 27.75 27.870001 27.65 20.354408
"2013-02-11" 27.83 28 27.83 20.427526
"2013-02-12" 27.98 28.030001 27.85 20.471392
"2013-02-13" 27.99 28.09 27.860001 20.412899
"2013-02-14" 27.84 28.07 27.799999 20.390966
"2013-02-15" 27.940001 28.110001 27.889999 20.551811
"2013-02-19" 28.129999 28.440001 28.129999 20.690727
"2013-02-20" 28.290001 28.43 28.190001 20.617617
"2013-02-21" 28.190001 28.35 28 20.50795
"2013-02-22" 28.120001 28.290001 28.059999 20.639547
"2013-02-25" 28.280001 28.57 28.040001 20.500639
"2013-02-26" 28.190001 28.49 28.07 20.734594
"2013-02-27" 28.41 28.559999 28.309999 20.873507
"2013-02-28" 28.57 28.82 28.530001 20.983171
"2013-03-01" 28.620001 28.75 28.42 20.990482
"2013-03-04" 28.690001 29.1 28.6 21.275623
"2013-03-05" 29.209999 29.379999 28.860001 21.370672
"2013-03-06" 29.35 29.35 29 21.275623
"2013-03-07" 29.1 29.190001 28.91 21.173265
"2013-03-08" 28.98 29.02 28.74 21.180574
"2013-03-11" 28.950001 29.01 28.879999 21.202513
"2013-03-12" 28.969999 29.030001 28.85 21.173265
"2013-03-13" 28.98 29.110001 28.879999 21.231756
"2013-03-14" 29.02 29.1 28.879999 21.217136
"2013-03-15" 28.940001 29.15 28.870001 21.304865
"2013-03-18" 29.01 29.049999 28.83 21.129396
"2013-03-19" 28.620001 28.77 28.41 21.070358
"2013-03-20" 28.68 28.85 28.59 21.217955
"2013-03-21" 28.66 28.799999 28.6 21.107258
"2013-03-22" 28.59 28.74 28.52 21.15892
"2013-03-25" 28.719999 28.92 28.540001 21.136778
"2013-03-26" 28.709999 28.98 28.68 21.387699
"2013-03-27" 28.85 29.309999 28.799999 21.6091
"2013-03-28" 29.290001 29.74 29.27 21.919075
"2013-04-01" 29.719999 29.780001 29.469999 21.830509
"2013-04-02" 29.66 29.77 29.540001 21.882172
"2013-04-03" 30.07 30.07 29.700001 22.015013
"2013-04-04" 29.889999 30.190001 29.85 22.243803
"2013-04-05" 29.940001 30.209999 29.860001 22.273321
"2013-04-08" 30.139999 30.42 30.040001 22.435688
"2013-04-09" 30.5 30.5 30.26 22.347134
"2013-04-10" 30.35 30.65 30.35 22.55377
"2013-04-11" 30.629999 30.65 30.540001 22.598049
"2013-04-12" 30.57 30.969999 30.559999 22.819456
"2013-04-15" 30.809999 30.870001 30.25 22.324984
"2013-04-16" 30.34 30.58 30.02 22.509483
"2013-04-17" 30.42 30.42 30.08 22.384026
"2013-04-18" 30.42 30.549999 30.27 22.494732
"2013-04-19" 30.58 31.09 30.52 22.937538
"2013-04-22" 31.120001 31.129999 30.780001 22.863731
"2013-04-23" 31.049999 31.049999 30.639999 22.826839
"2013-04-24" 30.99 31.370001 30.860001 23.018721
"2013-04-25" 31.23 31.450001 31.16 23.114658
"2013-04-26" 31.27 31.42 31.139999 23.040857
"2013-04-29" 31.27 31.73 31.200001 23.306545
"2013-04-30" 31.57 31.790001 31.48 23.461535
"2013-05-01" 31.700001 31.77 31.43 23.203217
"2013-05-02" 31.379999 31.559999 31.129999 23.136805
"2013-05-03" 31.549999 31.709999 31.16 23.018721
"2013-05-06" 31.15 31.209999 30.629999 22.642336
"2013-05-07" 30.73 31.18 30.690001 23.003958
"2013-05-08" 31.08 31.23 30.790001 22.767794
"2013-05-09" 30.84 30.93 30.16 22.310225
"2013-05-10" 30.200001 30.27 30.02 22.324984
"2013-05-13" 30.139999 30.26 29.940001 22.162624
"2013-05-14" 30 30.139999 29.940001 22.162624
"2013-05-15" 30.059999 30.65 30.02 22.384026
"2013-05-16" 30.26 30.370001 30.1 22.243803
"2013-05-17" 30.25 30.459999 30.139999 22.450445
"2013-05-20" 30.42 30.5 30.219999 22.324984
"2013-05-21" 30.24 30.370001 30.040001 22.339746
"2013-05-22" 30.18 30.66 29.77 22.103582
"2013-05-23" 29.82 29.92 29.309999 22.000256
"2013-05-24" 29.74 29.790001 29.450001 21.823139
"2013-05-28" 29.65 29.719999 29.26 21.675531
"2013-05-29" 29.190001 29.23 28.33 21.144157
"2013-05-30" 28.809999 29.190001 28.809999 21.313902
"2013-05-31" 28.780001 29.25 28.719999 21.19582
"2013-06-03" 28.719999 29.07 28.360001 21.306519
"2013-06-04" 28.889999 28.98 28.629999 21.299139
"2013-06-05" 28.75 28.76 28.450001 21.018694
"2013-06-06" 28.469999 28.91 28.459999 21.336048
"2013-06-07" 29 29.23 28.85 21.513165
"2013-06-10" 29.26 29.290001 28.959999 21.505783
"2013-06-11" 28.950001 29.139999 28.889999 21.387699
"2013-06-12" 29.110001 29.15 28.700001 21.232718
"2013-06-13" 28.76 29.299999 28.610001 21.6091
"2013-06-14" 29.209999 29.58 29.040001 21.712429
"2013-06-17" 29.549999 29.74 29.34 21.75671
"2013-06-18" 29.43 29.469999 29.120001 21.875933
"2013-06-19" 29.32 29.360001 28.549999 21.272404
"2013-06-20" 28.32 28.42 27.690001 20.646523
"2013-06-21" 27.799999 28.17 27.459999 20.870052
"2013-06-24" 27.83 28.190001 27.540001 20.87751
"2013-06-25" 28.16 28.5 27.959999 21.145739
"2013-06-26" 28.549999 28.84 28.42 21.354359
"2013-06-27" 28.75 29.049999 28.65 21.384167
"2013-06-28" 27.379999 28.59 27.379999 21.115932
"2013-07-01" 28.379999 28.58 27.91 20.907307
"2013-07-02" 28.030001 28.309999 28 20.959461
"2013-07-03" 27.969999 28.309999 27.93 21.056328
"2013-07-05" 28.290001 28.360001 27.76 20.937107
"2013-07-08" 28.219999 28.709999 28.09 21.27985
"2013-07-09" 28.75 28.92 28.540001 21.495932
"2013-07-10" 28.76 29.07 28.67 21.562986
"2013-07-11" 29.23 29.299999 29.030001 21.808868
"2013-07-12" 29.25 29.35 29.07 21.838678
"2013-07-15" 29.25 29.93 29.190001 22.248472
"2013-07-16" 29.84 29.959999 29.639999 22.196318
"2013-07-17" 29.940001 30 29.610001 22.151602
"2013-07-18" 29.809999 30.08 29.780001 22.345341
"2013-07-19" 30.139999 30.139999 29.870001 22.419838
"2013-07-22" 30.129999 30.209999 29.99 22.397491
"2013-07-23" 30.08 30.219999 29.98 22.442196
"2013-07-24" 30.120001 30.129999 29.559999 22.114351
"2013-07-25" 29.559999 29.82 29.559999 22.203764
"2013-07-26" 29.719999 29.84 29.6 22.16651
"2013-07-29" 29.73 29.99 29.68 22.25593
"2013-07-30" 30.01 30.309999 29.870001 22.486898
"2013-07-31" 30.15 30.15 29.66 22.315535
"2013-08-01" 30.08 30.360001 29.940001 22.606119
"2013-08-02" 30.26 30.41 30.15 22.621021
"2013-08-05" 30.299999 30.299999 30.049999 22.404938
"2013-08-06" 30.030001 30.129999 29.799999 22.218672
"2013-08-07" 29.73 29.879999 29.620001 22.16651
"2013-08-08" 29.84 30.07 29.719999 22.352785
"2013-08-09" 29.940001 29.99 29.4 21.942989
"2013-08-12" 29.360001 29.43 29.17 21.786514
"2013-08-13" 29.23 29.27 29.01 21.622597
"2013-08-14" 28.969999 28.99 28.690001 21.458675
"2013-08-15" 28.57 28.690001 28.280001 21.086124
"2013-08-16" 28.200001 28.26 27.84 20.825346
"2013-08-19" 27.91 28.129999 27.639999 20.639074
"2013-08-20" 27.469999 28 27.469999 20.728485
"2013-08-21" 27.67 27.799999 27.280001 20.445351
"2013-08-22" 27.540001 27.9 27.440001 20.639074
"2013-08-23" 27.690001 28 27.51 20.80299
"2013-08-26" 27.959999 27.969999 27.65 20.646523
"2013-08-27" 27.469999 27.84 27.41 20.646523
"2013-08-28" 27.75 27.959999 27.6 20.773186
"2013-08-29" 27.84 27.93 27.629999 20.713581
"2013-08-30" 27.860001 27.98 27.700001 20.80299
"2013-09-03" 28.059999 28.16 27.43 20.482597
"2013-09-04" 27.469999 27.5 27.17 20.370834
"2013-09-05" 27.32 27.360001 27.139999 20.318682
"2013-09-06" 27.379999 27.639999 27.27 20.393192
"2013-09-09" 27.389999 27.559999 27.309999 20.460251
"2013-09-10" 27.57 27.719999 27.450001 20.653976
"2013-09-11" 27.92 27.92 27.440001 20.594366
"2013-09-12" 27.68 27.799999 27.540001 20.53476
"2013-09-13" 27.639999 27.77 27.549999 20.594366
"2013-09-16" 27.870001 28.1 27.360001 20.415543
"2013-09-17" 27.27 27.290001 27.030001 20.400486
"2013-09-18" 27.030001 28.110001 26.9 21.032835
"2013-09-19" 27.950001 28.049999 27.75 20.95002
"2013-09-20" 27.969999 27.969999 27.58 20.889797
"2013-09-23" 27.700001 28.35 27.51 21.228554
"2013-09-24" 28.190001 28.24 27.950001 21.183384
"2013-09-25" 28.1 28.17 27.84 20.972607
"2013-09-26" 27.85 28.049999 27.75 20.987658
"2013-09-27" 27.75 27.889999 27.549999 20.844635
"2013-09-30" 27.59 27.73 27.469999 20.784412
"2013-10-01" 27.68 27.889999 27.58 20.919912
"2013-10-02" 27.709999 27.76 27.450001 20.897324
"2013-10-03" 27.620001 27.65 27.200001 20.520937
"2013-10-04" 27.32 27.43 27.23 20.551043
"2013-10-07" 27.16 27.450001 27.139999 20.453184
"2013-10-08" 27.23 27.76 27.17 20.761824
"2013-10-09" 27.610001 28.07 27.549999 20.904856
"2013-10-10" 27.93 28.200001 27.540001 21.190912
"2013-10-11" 28.059999 28.299999 28.01 21.28125
"2013-10-14" 28.15 28.190001 27.67 21.10811
"2013-10-15" 27.9 27.969999 27.629999 20.844635
"2013-10-16" 27.790001 28.02 27.74 21.085526
"2013-10-17" 27.940001 28.549999 27.76 21.446861
"2013-10-18" 28.48 28.74 28.379999 21.529671
"2013-10-21" 28.65 28.700001 28.440001 21.507078
"2013-10-22" 28.59 29.190001 28.57 21.883474
"2013-10-23" 29.049999 29.35 28.870001 21.883474
"2013-10-24" 29.33 29.35 28.66 21.740444
"2013-10-25" 29.01 29.129999 28.690001 21.906063
"2013-10-28" 29.120001 29.32 29.040001 21.891005
"2013-10-29" 29.16 29.23 29.030001 21.936174
"2013-10-30" 29.209999 29.4 28.860001 21.755505
"2013-10-31" 28.92 29.049999 28.49 21.725389
"2013-11-01" 28.950001 29.120001 28.790001 21.770555
"2013-11-04" 29 29.049999 28.73 21.815727
"2013-11-05" 28.889999 29.09 28.719999 21.619999
"2013-11-06" 28.85 28.950001 28.700001 21.793144
"2013-11-07" 29.1 29.1 28.6 21.55225
"2013-11-08" 28.530001 28.549999 27.959999 21.469444
"2013-11-11" 28.48 28.75 28.389999 21.529671
"2013-11-12" 28.5 28.65 28.23 21.356529
"2013-11-13" 28.139999 28.52 28.040001 21.461912
"2013-11-14" 28.5 28.73 28.450001 21.522137
"2013-11-15" 28.459999 28.75 28.459999 21.529671
"2013-11-18" 28.639999 28.700001 28.49 21.544725
"2013-11-19" 28.639999 28.68 28.450001 21.446861
"2013-11-20" 28.559999 28.57 28.07 21.153275
"2013-11-21" 28.200001 28.370001 28.030001 21.228554
"2013-11-22" 28.139999 28.41 28.129999 21.341469
"2013-11-25" 28.389999 28.459999 28.18 21.236086
"2013-11-26" 28.17 28.190001 27.91 21.153275
"2013-11-27" 28.17 28.190001 28.02 21.115635
"2013-11-29" 28.049999 28.26 27.969999 21.093058
"2013-12-02" 28.09 28.139999 27.76 21.017769
"2013-12-03" 27.549999 27.889999 27.51 20.987658
"2013-12-04" 27.76 28.049999 27.67 21.062941
"2013-12-05" 28 28.16 27.870001 21.115635
"2013-12-06" 28.190001 28.559999 28.15 21.41675
"2013-12-09" 28.440001 28.540001 28.07 21.213493
"2013-12-10" 28.200001 28.24 27.77 21.002718
"2013-12-11" 27.91 28.02 27.559999 20.776878
"2013-12-12" 27.639999 27.940001 27.559999 20.912386
"2013-12-13" 27.780001 27.950001 27.610001 20.882275
"2013-12-16" 27.799999 28.280001 27.780001 21.070467
"2013-12-17" 28 28.049999 27.82 20.980133
"2013-12-18" 27.870001 28.4 27.6 21.364059
"2013-12-19" 28.299999 28.32 27.870001 21.190912
"2013-12-20" 28.23 28.530001 28.16 21.236086
"2013-12-23" 28.389999 28.469999 28.129999 21.183384
"2013-12-24" 27.9 28.02 27.719999 21.274628
"2013-12-26" 27.98 28.07 27.73 21.160574
"2013-12-27" 27.889999 28.059999 27.77 21.183384
"2013-12-30" 27.879999 28.09 27.82 21.229004
"2013-12-31" 28 28 27.85 21.244217
"2014-01-02" 27.91 27.940001 27.5 20.917263
"2014-01-03" 27.48 27.639999 27.379999 20.909657
"2014-01-06" 27.559999 27.620001 27.27 20.795609
"2014-01-07" 27.450001 27.85 27.4 21.152969
