"Index" "Open" "High" "Low" "Price"
"2012-09-17" 91.919998 92.5 91.550003 60.285595
"2012-09-18" 91.43 92.220001 91.400002 60.115063
"2012-09-19" 91.480003 91.75 90.57 59.406643
"2012-09-20" 90.139999 91.690002 90.089996 60.029781
"2012-09-21" 92.029999 92.230003 91.639999 60.292141
"2012-09-24" 91.309998 92.209999 91.300003 60.265888
"2012-09-25" 92.110001 92.57 91.540001 60.174046
"2012-09-26" 91.720001 92.040001 91.099998 59.839577
"2012-09-27" 91.830002 92.25 91.190002 60.213451
"2012-09-28" 91.480003 91.650002 90.93 59.983864
"2012-10-01" 91.790001 92.5 91.599998 60.213451
"2012-10-02" 92.120003 92.18 91.279999 60.160973
"2012-10-03" 91.650002 91.809998 91.169998 60.147842
"2012-10-04" 92.080002 92.540001 91.910004 60.488937
"2012-10-05" 92.589996 93 92.230003 60.705379
"2012-10-08" 92.150002 92.870003 92.040001 60.790657
"2012-10-09" 92.830002 93.360001 92.110001 60.429886
"2012-10-10" 91.800003 92.019997 90.669998 59.708378
"2012-10-11" 91.57 91.879997 91.169998 59.800205
"2012-10-12" 91.510002 91.720001 90.510002 59.708378
"2012-10-15" 91.349998 91.690002 90.540001 60.023224
"2012-10-16" 91.889999 92.480003 91.800003 60.593849
"2012-10-17" 92.620003 93.540001 92.610001 61.25634
"2012-10-18" 92.970001 93.57 92.970001 61.315376
"2012-10-19" 93.57 93.669998 91.75 60.443001
"2012-10-22" 91.669998 92.260002 91.080002 60.469234
"2012-10-23" 91.129997 91.379997 90.010002 59.150852
"2012-10-24" 90.459999 90.620003 89.769997 58.954086
"2012-10-25" 90.629997 90.800003 89.68 59.314827
"2012-10-26" 90.559998 91.07 90.010002 59.439449
"2012-10-31" 91.029999 91.410004 90.110001 59.800205
"2012-11-01" 90.25 91.669998 90.199997 60.08226
"2012-11-02" 91.760002 91.940002 90.059998 59.209885
"2012-11-05" 90.040001 90.809998 89.699997 59.446014
"2012-11-06" 90.860001 92.050003 90.730003 60.088802
"2012-11-07" 90.239998 90.239998 87.699997 58.201138
"2012-11-08" 88.269997 88.43 87.029999 57.468498
"2012-11-09" 86.610001 87.949997 86.610001 57.560902
"2012-11-12" 87.269997 87.690002 86.949997 57.633514
"2012-11-13" 86.75 87.989998 86.440002 57.072491
"2012-11-14" 86.75 87.110001 85.879997 56.808479
"2012-11-15" 86.089996 86.559998 85.370003 56.854664
"2012-11-16" 86.139999 86.709999 85.059998 57.059284
"2012-11-19" 87.400002 88.199997 87.089996 57.864513
"2012-11-20" 87.510002 87.879997 86.769997 57.752319
"2012-11-21" 87.809998 88.019997 87.480003 58.088936
"2012-11-23" 88.25 89.089996 88.010002 58.801739
"2012-11-26" 88.32 88.629997 88.029999 58.49155
"2012-11-27" 88.400002 88.540001 87.239998 57.653313
"2012-11-28" 86.529999 88.190002 86.279999 58.148346
"2012-11-29" 88.370003 88.690002 87.629997 58.16153
"2012-11-30" 88.07 88.400002 87.82 58.174732
"2012-12-03" 88.550003 88.580002 87.470001 57.824917
"2012-12-04" 87.379997 87.970001 87.190002 57.547714
"2012-12-05" 87.269997 88.269997 87.099998 57.904118
"2012-12-06" 87.760002 88.059998 87.239998 58.08231
"2012-12-07" 88.169998 88.639999 87.769997 58.478359
"2012-12-10" 88.580002 88.949997 88.239998 58.352951
"2012-12-11" 88.610001 89.489998 88.400002 58.735756
"2012-12-12" 89.089996 90.370003 88.910004 59.03936
"2012-12-13" 89.160004 89.449997 88.269997 58.465122
"2012-12-14" 88 88.449997 87.919998 58.135132
"2012-12-17" 88.360001 88.940002 88.099998 58.656559
"2012-12-18" 88.75 89.739998 88.559998 59.111977
"2012-12-19" 89.540001 89.610001 88.379997 58.372738
"2012-12-20" 88.379997 88.940002 87.980003 58.669769
"2012-12-21" 87.660004 88.599998 87.010002 57.574123
"2012-12-24" 87.129997 87.32 86.800003 57.369495
"2012-12-26" 87.209999 87.68 86.57 57.468498
"2012-12-27" 87.050003 87.239998 85.75 57.329906
"2012-12-28" 86.099998 86.290001 85.07 56.168247
"2012-12-31" 85.040001 86.660004 84.699997 57.125278
"2013-01-02" 87.790001 88.720001 87.239998 58.550941
"2013-01-03" 88.459999 88.889999 88.160004 58.44537
"2013-01-04" 88.5 89.089996 88.370003 58.715954
"2013-01-07" 88.309998 88.489998 87.57 58.036125
"2013-01-08" 87.82 88.480003 87.290001 58.399147
"2013-01-09" 88.400002 88.540001 87.75 58.174732
"2013-01-10" 88.75 89.480003 88.370003 58.80838
"2013-01-11" 88.970001 89.709999 88.860001 59.144966
"2013-01-14" 89.459999 89.75 89.32 59.12516
"2013-01-15" 89.18 89.610001 89 59.092155
"2013-01-16" 89.160004 89.480003 89.07 59.052574
"2013-01-17" 89.760002 90.940002 89.599998 59.53437
"2013-01-18" 90.089996 90.830002 89.830002 59.930416
"2013-01-22" 90.269997 90.940002 90.209999 60.009609
"2013-01-23" 90.5 90.879997 90.419998 59.864399
"2013-01-24" 90.879997 91.720001 90.75 60.293407
"2013-01-25" 91.57 91.800003 91.129997 60.544239
"2013-01-28" 91.669998 91.669998 90.769997 60.135006
"2013-01-29" 91.209999 91.93 91.199997 60.564041
"2013-01-30" 91.169998 91.720001 90.379997 59.844589
"2013-01-31" 90.690002 91.209999 89.739998 59.382576
"2013-02-01" 90.440002 90.5 89.360001 59.428787
"2013-02-04" 89.410004 89.620003 88.839996 58.841377
"2013-02-05" 89.879997 90.190002 89.419998 59.230766
"2013-02-06" 89.370003 89.889999 89.160004 59.26379
"2013-02-07" 89.209999 89.220001 87.610001 58.619461
"2013-02-08" 88.5 88.800003 88.110001 58.858593
"2013-02-11" 88.349998 88.510002 87.970001 58.639393
"2013-02-12" 88.25 88.620003 87.919998 58.758945
"2013-02-13" 88.459999 88.769997 88.239998 58.898441
"2013-02-14" 88.339996 88.809998 88.059998 58.798794
"2013-02-15" 88.57 88.610001 87.800003 58.692535
"2013-02-19" 88.540001 89.410004 88.379997 59.3302
"2013-02-20" 89.139999 89.82 88.900002 59.097717
"2013-02-21" 88.790001 89.019997 88.360001 58.845299
"2013-02-22" 89.019997 89.279999 88.400002 59.250507
"2013-02-25" 89.879997 90.190002 87.699997 58.254128
"2013-02-26" 88.5 88.980003 87.760002 58.792168
"2013-02-27" 88.5 89.650002 88.309998 59.469685
"2013-02-28" 89.669998 89.809998 89.029999 59.482983
"2013-03-01" 89.07 89.68 88.919998 59.403271
"2013-03-04" 89.129997 89.25 88.459999 59.084419
"2013-03-05" 89.480003 90.150002 89.290001 59.522827
"2013-03-06" 89.599998 89.949997 89.050003 59.489609
"2013-03-07" 89.629997 89.760002 88.68 58.925014
"2013-03-08" 89.010002 89.230003 88.349998 59.097717
"2013-03-11" 89.010002 89.550003 88.540001 59.223919
"2013-03-12" 89.449997 89.910004 89.010002 59.223919
"2013-03-13" 89.019997 89.5 88.830002 59.290318
"2013-03-14" 89.410004 89.910004 89.410004 59.668964
"2013-03-15" 89.199997 89.610001 88.790001 59.363407
"2013-03-18" 88.739998 89.389999 88.550003 58.964863
"2013-03-19" 88.889999 89.089996 88.019997 58.83865
"2013-03-20" 88.949997 89.209999 88.300003 58.871868
"2013-03-21" 88.120003 88.639999 87.900002 58.56633
"2013-03-22" 88.400002 89.290001 88.32 59.310276
"2013-03-25" 89.5 89.900002 88.660004 59.130924
"2013-03-26" 89.410004 90.300003 89.360001 59.868229
"2013-03-27" 89.559998 90.739998 89.470001 60.167149
"2013-03-28" 90.639999 90.980003 89.989998 59.854965
"2013-04-01" 90.129997 90.989998 89.980003 60.293354
"2013-04-02" 90.589996 90.919998 90.279999 60.167149
"2013-04-03" 90.650002 90.830002 89.860001 59.735371
"2013-04-04" 90.099998 90.330002 89.220001 59.62912
"2013-04-05" 88.610001 89.209999 88.400002 59.124287
"2013-04-08" 89.110001 89.110001 88.150002 58.851955
"2013-04-09" 88.690002 89.339996 88.589996 58.964863
"2013-04-10" 88.449997 89.160004 88.199997 58.905075
"2013-04-11" 88.949997 89.269997 88.230003 59.263783
"2013-04-12" 88.879997 89.190002 88.410004 59.111004
"2013-04-15" 88.290001 88.669998 86.269997 57.450405
"2013-04-16" 87.190002 87.230003 86.089996 57.530102
"2013-04-17" 86.209999 86.379997 85.019997 57.178078
"2013-04-18" 86.279999 87.080002 85.779999 57.536739
"2013-04-19" 87.269997 87.489998 86.43 58.088047
"2013-04-22" 87.610001 88.32 87.290001 58.513195
"2013-04-23" 88.389999 89.489998 87.940002 59.316906
"2013-04-24" 89.449997 89.889999 89.349998 59.403271
"2013-04-25" 88.889999 88.900002 87.650002 58.499878
"2013-04-26" 87.809998 88.279999 87.599998 58.453384
"2013-04-29" 88.260002 88.830002 88.010002 58.592899
"2013-04-30" 88.260002 88.989998 87.760002 59.111004
"2013-05-01" 88.519997 88.839996 87.480003 58.127934
"2013-05-02" 87.980003 88.839996 87.739998 58.871868
"2013-05-03" 89 90.190002 88.919998 59.795177
"2013-05-06" 90.25 90.879997 89.93 60.167149
"2013-05-07" 90.620003 91.150002 90.139999 60.545757
"2013-05-08" 91.050003 91.849998 91.029999 60.911106
"2013-05-09" 91.139999 91.559998 90.690002 60.884331
"2013-05-10" 90.870003 90.949997 89.790001 60.289074
"2013-05-13" 89.800003 90.139999 89.43 60.262325
"2013-05-14" 90.150002 91.190002 90.019997 60.937847
"2013-05-15" 90.639999 91.32 90.410004 61.024799
"2013-05-16" 90.800003 91.290001 90.5 60.663631
"2013-05-17" 91.07 91.879997 90.529999 61.372597
"2013-05-20" 91.610001 92.690002 91.459999 61.880909
"2013-05-21" 92.669998 93.43 92.379997 62.068192
"2013-05-22" 92.830002 93.5 91.809998 61.660183
"2013-05-23" 91.559998 92.360001 91.360001 61.392658
"2013-05-24" 91.379997 91.769997 91 61.218758
"2013-05-28" 92.940002 93.18 91.760002 61.787251
"2013-05-29" 91.760002 92.419998 91.589996 61.586617
"2013-05-30" 91.970001 92.68 91.599998 61.593311
"2013-05-31" 91.949997 92.370003 90.459999 60.509804
"2013-06-03" 90.529999 91.510002 90.480003 61.171944
"2013-06-04" 91.18 91.489998 90.220001 60.723827
"2013-06-05" 90.68 91.120003 89.610001 59.961338
"2013-06-06" 89.449997 90.230003 89 60.34927
"2013-06-07" 90.889999 91.5 90.489998 61.165264
"2013-06-10" 91.93 91.940002 90.870003 60.944538
"2013-06-11" 90.379997 91.040001 90.230003 60.503128
"2013-06-12" 91.129997 91.32 89.589996 60.021526
"2013-06-13" 89.629997 91.709999 89.610001 61.085003
"2013-06-14" 91.160004 91.300003 90.290001 60.58337
"2013-06-17" 90.970001 91.769997 90.769997 61.205387
"2013-06-18" 91.360001 92.059998 91.260002 61.486279
"2013-06-19" 91.790001 92.269997 91 60.864277
"2013-06-20" 90.239998 90.519997 88.790001 59.56004
"2013-06-21" 89.760002 90.139999 88.849998 59.847649
"2013-06-24" 88.949997 89.5 88.019997 59.178818
"2013-06-25" 89.580002 89.620003 88.480003 59.600163
"2013-06-26" 89.419998 89.970001 88.730003 60.06168
"2013-06-27" 90.239998 90.669998 90.029999 60.222202
"2013-06-28" 89.849998 90.75 89.559998 60.429543
