"Index" "Open" "High" "Low" "Price"
"2012-09-17" 37.619999 37.77 37.220001 34.901546
"2012-09-18" 37.380001 37.380001 37.169998 34.84552
"2012-09-19" 37.32 37.349998 36.970001 34.612038
"2012-09-20" 36.93 37.09 36.689999 34.322495
"2012-09-21" 36.740002 37.259998 36.689999 34.733418
"2012-09-24" 37.049999 37.639999 36.919998 35.06031
"2012-09-25" 37.720001 38.080002 37.470001 35.275112
"2012-09-26" 37.779999 37.84 37.389999 35.176918
"2012-09-27" 37.650002 38.240002 37.560001 35.691341
"2012-09-28" 38.080002 38.23 37.630001 35.672626
"2012-10-01" 38.16 38.689999 37.880001 35.607166
"2012-10-02" 38.189999 38.360001 37.880001 35.597816
"2012-10-03" 38.169998 38.400002 37.939999 35.756805
"2012-10-04" 38.02 38.32 37.669998 35.831631
"2012-10-05" 38.549999 38.669998 37.950001 35.588451
"2012-10-08" 38.02 38.110001 37.860001 35.61652
"2012-10-09" 37.900002 38.09 36.779999 34.447376
"2012-10-10" 36.82 37.07 36.580002 34.27903
"2012-10-11" 36.900002 37.330002 36.849998 34.812145
"2012-10-12" 37.259998 37.709999 36.98 34.615734
"2012-10-15" 37.130001 37.509998 36.849998 35.036625
"2012-10-16" 37.5 37.77 37.43 35.167564
"2012-10-17" 37.52 38.18 37.34 35.66328
"2012-10-18" 37.080002 37.759998 36.709999 35.307858
"2012-10-19" 37.57 37.57 36.57 34.522209
"2012-10-22" 36.27 36.790001 35.959999 34.063915
"2012-10-23" 35.959999 36.400002 35.830002 33.83009
"2012-10-24" 36.419998 37 36.16 34.335133
"2012-10-25" 37.470001 37.889999 36.759998 34.915043
"2012-10-26" 37.32 37.700001 36.889999 34.756031
"2012-10-31" 37.169998 38 36.720001 34.456738
"2012-11-01" 37.09 38.380001 36.59 35.869038
"2012-11-02" 38.5 38.52 37.959999 35.569748
"2012-11-05" 37.84 38.869999 37.82 36.327343
"2012-11-06" 39 39.779999 38.849998 37.094296
"2012-11-07" 39.389999 39.509998 38.240002 36.130939
"2012-11-08" 38.23 38.900002 37.93 35.541695
"2012-11-09" 38.119999 38.98 38.060001 36.177692
"2012-11-12" 38.799999 38.84 38.389999 35.971924
"2012-11-13" 38.459999 38.720001 38.110001 35.672626
"2012-11-14" 38.330002 38.450001 37.77 35.51363
"2012-11-15" 38.09 38.389999 37.939999 35.840981
"2012-11-16" 38.310001 38.52 38.029999 35.962578
"2012-11-19" 38.950001 38.990002 38.59 36.411537
"2012-11-20" 38.560001 38.75 38.110001 36.224464
"2012-11-21" 38.810001 38.849998 38.59 36.289944
"2012-11-23" 38.919998 39.310001 38.77 36.757591
"2012-11-26" 39.279999 39.279999 38.889999 36.682758
"2012-11-27" 39.080002 39.18 38.810001 36.355408
"2012-11-28" 38.799999 39.48 38.720001 36.879169
"2012-11-29" 39.5 39.84 39.369999 37.084965
"2012-11-30" 39.77 39.889999 39.52 37.13171
"2012-12-03" 39.790001 39.849998 39.450001 36.972713
"2012-12-04" 39.950001 39.950001 39.060001 36.617306
"2012-12-05" 39.27 39.639999 38.970001 36.73888
"2012-12-06" 39.049999 39.360001 38.849998 36.64534
"2012-12-07" 39.330002 39.540001 39.16 36.73888
"2012-12-10" 39.27 39.720001 39.169998 37.038174
"2012-12-11" 39.720001 40.450001 39.669998 37.561947
"2012-12-12" 40.209999 40.470001 39.900002 37.431011
"2012-12-13" 39.889999 40.169998 39.41 37.056881
"2012-12-14" 39.48 39.919998 39.48 37.141064
"2012-12-17" 39.869999 40.389999 39.869999 37.749023
"2012-12-18" 40.41 40.73 40.220001 37.879955
"2012-12-19" 40.549999 40.82 40.380001 37.767715
"2012-12-20" 40.189999 40.450001 39.939999 37.786438
"2012-12-21" 40.029999 40.5 39.57 37.739655
"2012-12-24" 40.439999 40.549999 39.82 37.496483
"2012-12-26" 40.310001 40.380001 39.48 37.042229
"2012-12-27" 39.700001 39.700001 38.970001 36.883015
"2012-12-28" 39.220001 39.650002 38.98 36.536488
"2012-12-31" 39.119999 39.639999 38.759998 37.098442
"2013-01-02" 40.220001 40.540001 39.919998 37.950733
"2013-01-03" 40.5 40.700001 39.799999 37.847702
"2013-01-04" 40.540001 40.849998 40.310001 38.175507
"2013-01-07" 40.689999 40.900002 40.48 38.306633
"2013-01-08" 40.669998 40.849998 40.27 37.866428
"2013-01-09" 40.529999 40.599998 40.299999 37.847702
"2013-01-10" 40.52 40.52 40.150002 37.772778
"2013-01-11" 40.349998 40.540001 39.860001 37.39814
"2013-01-14" 39.990002 40.119999 39.669998 37.285748
"2013-01-15" 39.720001 39.73 39.459999 37.0797
"2013-01-16" 39.360001 39.82 39.360001 37.295116
"2013-01-17" 39.889999 40.900002 39.849998 38.10059
"2013-01-18" 40.580002 40.959999 40.439999 38.259804
"2013-01-22" 40.689999 40.950001 40.529999 38.297268
"2013-01-23" 40.900002 40.98 40.75 38.287895
"2013-01-24" 41 41.639999 40.84 38.906055
"2013-01-25" 41.779999 42.450001 41.540001 39.645977
"2013-01-28" 42.470001 42.599998 42.009998 39.524204
"2013-01-29" 42.040001 42.220001 41.990002 39.458645
"2013-01-30" 42.099998 42.220001 41.84 39.299423
"2013-01-31" 42.080002 42.18 41.59 39.112099
"2013-02-01" 42 42.689999 41.869999 39.777088
"2013-02-04" 42.18 42.5 41.799999 39.383713
"2013-02-05" 42.189999 42.439999 42.029999 39.702152
"2013-02-06" 42.220001 42.700001 41.950001 39.9925
"2013-02-07" 42.709999 42.849998 42.150002 39.823902
"2013-02-08" 42.66 42.880001 42.59 40.151737
"2013-02-11" 42.869999 42.900002 42.669998 40.123623
"2013-02-12" 42.82 42.990002 42.689999 40.151737
"2013-02-13" 42.889999 43.389999 42.700001 40.348408
"2013-02-14" 42.889999 43 42.68 40.18919
"2013-02-15" 42.73 42.900002 42.57 40.086163
"2013-02-19" 42.779999 43.509998 42.779999 40.73241
"2013-02-20" 43.049999 43.450001 42.470001 40.273468
"2013-02-21" 42.869999 42.889999 41.279999 38.690651
"2013-02-22" 41.439999 41.900002 41.389999 39.13084
"2013-02-25" 42.02 42.34 40.849998 38.269176
"2013-02-26" 40.889999 41.349998 40.740002 38.287895
"2013-02-27" 41 41.5 40.880001 38.681271
"2013-02-28" 41.32 41.650002 41.240002 38.793667
"2013-03-01" 41.27 41.529999 40.860001 38.55014
"2013-03-04" 41.130001 41.310001 40.939999 38.671909
"2013-03-05" 41.450001 42.290001 41.450001 39.346252
"2013-03-06" 42.110001 42.419998 42.060001 39.608498
"2013-03-07" 42.470001 42.59 42.150002 39.842644
"2013-03-08" 42.759998 42.860001 42.509998 40.029972
"2013-03-11" 42.77 43.630001 42.450001 40.142349
"2013-03-12" 42.759998 42.799999 42.52 40.039322
"2013-03-13" 42.75 42.790001 42.400002 39.795822
"2013-03-14" 42.650002 42.650002 42.32 39.917561
"2013-03-15" 42.41 42.610001 42.119999 39.645977
"2013-03-18" 41.880001 42.330002 41.639999 39.027805
"2013-03-19" 41.77 42.049999 41.459999 39.261951
"2013-03-20" 42.330002 42.540001 42.139999 39.702152
"2013-03-21" 42.110001 42.380001 41.57 38.934143
"2013-03-22" 41.75 42.040001 41.630001 39.346252
"2013-03-25" 42.110001 42.18 41.419998 39.027805
"2013-03-26" 41.709999 42.209999 41.68 39.302647
"2013-03-27" 41.619999 41.889999 41.419998 39.171318
"2013-03-28" 41.889999 42.5 41.630001 39.809177
"2013-04-01" 42.380001 42.5 41.900002 39.499626
"2013-04-02" 42.490002 42.619999 41.490002 39.040016
"2013-04-03" 41.529999 41.630001 40.709999 38.336502
"2013-04-04" 40.990002 41.41 40.810001 38.674187
"2013-04-05" 40.619999 40.799999 40.400002 38.205154
"2013-04-08" 40.68 41.130001 40.639999 38.580376
"2013-04-09" 41.27 41.380001 40.98 38.739841
"2013-04-10" 41.369999 41.990002 41.279999 39.274494
"2013-04-11" 41.970001 42.400002 41.790001 39.602806
"2013-04-12" 42.209999 42.27 41.889999 39.433956
"2013-04-15" 42.5 42.5 41.18 38.636665
"2013-04-16" 41.34 42.25 41.119999 39.602806
"2013-04-17" 41.779999 42.09 41.349998 38.86179
"2013-04-18" 41.369999 41.43 40.709999 38.327126
"2013-04-19" 41.360001 41.59 40.77 38.983711
"2013-04-22" 41.509998 41.52 40.830002 38.552242
"2013-04-23" 41.23 41.650002 41.099998 39.068146
"2013-04-24" 41.700001 41.950001 41.700001 39.171318
"2013-04-25" 41.990002 42.200001 41.790001 39.312016
"2013-04-26" 41.900002 42.02 41.43 39.049381
"2013-04-29" 41.720001 42.25 41.439999 39.584053
"2013-04-30" 42.049999 42.369999 41.709999 39.724758
"2013-05-01" 42.23 42.459999 41.779999 39.227604
"2013-05-02" 42.110001 42.220001 41.689999 39.499626
"2013-05-03" 42.5 42.880001 42.27 40.01553
"2013-05-06" 42.619999 43.110001 42.509998 40.33445
"2013-05-07" 42.970001 43.400002 42.869999 40.700275
"2013-05-08" 43.389999 44.209999 43.209999 41.460064
"2013-05-09" 40.549999 42.650002 40.5 39.818558
"2013-05-10" 42.57 43.07 42.450001 39.996777
"2013-05-13" 42.470001 42.630001 41.93 39.433956
"2013-05-14" 42 42.810001 41.790001 40.146858
