"Index" "Open" "High" "Low" "Price"
"2012-09-17" 47.879223 48.023006 47.627605 39.4758
"2012-09-18" 47.83609 48.07333 47.68512 39.635979
"2012-09-19" 47.907982 48.907261 47.907982 40.241108
"2012-09-20" 48.7491 49.022285 48.45435 40.454681
"2012-09-21" 49.547089 49.755573 49.237957 40.650459
"2012-09-24" 48.849747 49.180447 48.705967 40.484341
"2012-09-25" 49.367363 49.518333 47.965492 39.582588
"2012-09-26" 48.023006 48.202732 47.433502 39.4758
"2012-09-27" 48.173977 48.979153 47.987061 40.122452
"2012-09-28" 47.217831 48.044571 46.391087 39.357155
"2012-10-01" 48.023006 48.777859 47.97987 39.997879
"2012-10-02" 48.519051 48.885693 47.311287 39.422401
"2012-10-03" 47.951115 48.152409 47.455067 39.40461
"2012-10-04" 47.994247 48.094894 47.541336 39.434273
"2012-10-05" 48.087708 48.274624 47.174694 39.155441
"2012-10-08" 47.526958 48.238678 47.390366 39.713116
"2012-10-09" 48.023006 49.094177 47.440689 39.179161
"2012-10-10" 50.452911 51.761322 49.712437 42.330563
"2012-10-11" 51.229332 51.437817 49.769951 41.698494
"2012-10-12" 50.122215 50.258808 49.669304 41.412266
"2012-10-15" 50.129402 51.164631 50.057514 42.229183
"2012-10-16" 51.092739 51.445004 50.337887 42.306698
"2012-10-17" 51.258087 51.761322 51.00647 42.545219
"2012-10-18" 51.294033 51.86916 51.2509 42.986458
"2012-10-19" 51.358734 51.531273 50.172539 41.793888
"2012-10-22" 50.460102 50.855499 50.093456 41.853527
"2012-10-23" 50.093456 50.481667 49.604603 41.746201
"2012-10-24" 50.618259 50.833931 50.093456 41.698494
"2012-10-25" 50.517612 50.941769 50.208485 41.853527
"2012-10-26" 50.273186 50.366642 49.913731 41.680599
"2012-10-31" 50.783607 50.812366 50.021568 41.805832
"2012-11-01" 50.38102 52.695904 50.316319 43.421761
"2012-11-02" 52.674335 53.098492 51.818836 43.00436
"2012-11-05" 51.675053 52.113586 51.495327 43.105713
"2012-11-06" 52.171101 52.703091 52.135155 43.618546
"2012-11-07" 52.063263 52.480228 51.445004 42.86124
"2012-11-08" 51.33717 51.581596 50.826744 42.419998
"2012-11-09" 51.092739 52.300503 50.62545 42.914925
"2012-11-12" 51.876347 52.437096 51.430626 43.385983
"2012-11-13" 52.077641 52.954708 51.78289 43.350208
"2012-11-14" 52.429909 52.667145 51.071171 42.521358
"2012-11-15" 51.15744 51.78289 50.941769 42.4021
"2012-11-16" 51.143063 51.86916 50.726097 42.867203
"2012-11-19" 52.350826 52.724659 52.135155 43.719913
"2012-11-20" 52.40115 52.40115 51.409058 43.165356
"2012-11-21" 52.31488 53.120056 52.199856 43.845119
"2012-11-23" 53.199139 53.450756 52.925953 44.125389
"2012-11-26" 53.048168 53.091301 52.523365 43.904755
"2012-11-27" 53.005032 53.515457 52.882816 44.006123
"2012-11-28" 52.969086 53.314163 52.508987 44.059784
"2012-11-29" 53.191948 53.738319 52.746227 44.405647
"2012-11-30" 48.526241 49.029476 47.972683 39.999069
"2012-12-03" 48.253056 48.705967 47.907982 39.826134
"2012-12-04" 47.907982 48.051762 46.980591 39.289478
"2012-12-05" 47.613228 47.785767 47.038101 39.295444
"2012-12-06" 47.455067 48.950394 47.109993 39.903656
"2012-12-07" 48.31057 48.60532 47.483826 39.533962
"2012-12-10" 47.872036 48.066139 47.275341 39.50415
"2012-12-11" 47.778576 48.792236 47.649174 40.261433
"2012-12-12" 49.022285 49.065422 48.526241 40.332993
"2012-12-13" 49.489574 49.532711 48.612511 40.428394
"2012-12-14" 48.792236 49.209202 48.713158 40.488018
"2012-12-17" 48.964775 49.669304 48.741913 41.185677
"2012-12-18" 49.84903 50.575127 49.532711 41.173748
"2012-12-19" 49.489574 49.511143 48.274624 40.046772
"2012-12-20" 48.260242 48.281811 47.325665 39.647247
"2012-12-21" 47.124371 47.160316 45.34148 38.090954
"2012-12-24" 46.534866 46.901508 46.304817 38.76474
"2012-12-26" 46.73616 46.980591 46.448597 38.782635
"2012-12-27" 46.930267 47.304096 46.542057 39.033073
"2012-12-28" 46.772106 46.937454 46.513302 38.59182
"2012-12-31" 46.527679 47.785767 46.412655 39.593594
"2013-01-02" 48.526241 48.526241 47.677929 40.046772
"2013-01-03" 48.260242 48.921638 48.123653 40.297203
"2013-01-04" 48.483105 49.209202 48.058949 40.738468
"2013-01-07" 48.878506 49.094177 47.958302 40.482059
"2013-01-08" 46.297626 47.038101 46.297626 38.782635
"2013-01-09" 46.772106 47.002155 46.074764 38.851574
"2013-01-10" 46.944645 47.821712 46.91589 39.70866
"2013-01-11" 47.526958 48.138031 47.117184 40.080284
"2013-01-14" 48.13084 48.296188 47.483826 39.648735
"2013-01-15" 47.462257 47.83609 47.36161 39.780602
"2013-01-16" 47.397556 47.627605 47.347233 39.528854
"2013-01-17" 47.584473 47.620419 46.764915 39.199207
"2013-01-18" 47.016537 47.074047 46.657082 39.049358
"2013-01-22" 46.671459 47.311287 46.477352 39.13327
"2013-01-23" 47.016537 47.541336 46.944645 39.618767
"2013-01-24" 47.627605 48.030193 47.562904 39.792587
"2013-01-25" 47.232208 47.253773 46.010063 38.737671
"2013-01-28" 46.376705 46.635513 45.485264 38.713707
"2013-01-29" 46.189793 46.750538 46.010063 38.503922
"2013-01-30" 45.923798 46.419842 45.420563 38.503922
"2013-01-31" 46.161034 47.016537 46.024445 38.923489
"2013-02-01" 46.887131 47.462257 46.58519 39.516872
"2013-02-04" 47.375988 47.455067 45.938175 38.324104
"2013-02-05" 42.947521 45.017975 42.904385 37.20927
"2013-02-06" 44.076202 45.442127 43.932423 37.718746
"2013-02-07" 45.319916 45.974117 45.291157 38.102356
"2013-02-08" 45.794392 47.081238 45.765636 39.139263
"2013-02-11" 46.843998 46.865562 46.355141 38.689732
"2013-02-12" 46.427032 46.772106 46.0532 38.809605
"2013-02-13" 46.563622 46.664268 45.974117 38.605824
"2013-02-14" 46.20417 46.398273 45.844715 38.294136
"2013-02-15" 45.880661 46.369518 45.614666 38.354073
"2013-02-19" 46.153847 46.858376 45.95974 39.049358
"2013-02-20" 46.851185 47.059669 46.383896 38.695736
"2013-02-21" 46.20417 47.016537 46.189793 38.989426
"2013-02-22" 46.879944 47.160316 46.527679 39.229168
"2013-02-25" 47.174694 47.728252 46.534866 38.797611
"2013-02-26" 46.836807 47.074047 46.232925 38.881523
"2013-02-27" 46.621136 47.196262 46.556435 39.187218
"2013-02-28" 47.181885 47.792953 47.038101 39.247162
"2013-03-01" 46.649891 47.174694 46.261681 39.08532
"2013-03-04" 46.808052 47.074047 46.693027 39.241154
"2013-03-05" 47.153126 48.044571 47.124371 39.73864
"2013-03-06" 47.706684 48.885693 47.663551 40.104259
"2013-03-07" 48.037384 48.389648 47.900791 40.308029
"2013-03-08" 48.677212 49.151688 48.648453 40.589764
"2013-03-11" 48.727535 48.864128 48.396835 40.661682
"2013-03-12" 51.322788 51.401871 49.281094 41.195129
"2013-03-13" 49.324226 50.057514 49.281094 41.566746
"2013-03-14" 49.935299 50.258808 49.784328 41.866432
"2013-03-15" 49.985622 50.467289 49.777138 42.076206
"2013-03-18" 49.827461 50.057514 49.424873 41.422897
"2013-03-19" 49.798706 49.992809 49.216393 41.261055
"2013-03-20" 49.734005 50.115025 49.568657 41.626663
"2013-03-21" 49.647736 50.251617 49.647736 41.632668
"2013-03-22" 49.863407 50.251617 49.820274 41.770531
"2013-03-25" 50.71172 51.028038 50.53199 42.375889
"2013-03-26" 50.905823 51.24371 50.754852 42.621632
"2013-03-27" 50.76923 51.322788 50.762043 42.747505
"2013-03-28" 51.272465 51.912292 50.970524 43.119125
"2013-04-01" 51.710999 51.991371 51.056793 42.657619
"2013-04-02" 50.913013 50.984901 49.913731 42.046238
"2013-04-03" 50.273186 50.301941 48.238678 40.481869
"2013-04-04" 48.60532 49.086987 48.396835 40.595749
"2013-04-05" 47.807335 48.209923 46.930267 40.140217
"2013-04-08" 47.562904 48.432781 47.519772 40.356014
"2013-04-09" 48.396835 48.562183 47.929546 40.032333
"2013-04-10" 48.008629 48.670021 47.97987 40.216064
"2013-04-11" 47.390366 48.598129 47.390366 40.499187
"2013-04-12" 48.238678 48.792236 48.13084 40.84256
"2013-04-15" 48.195541 48.346512 47.404743 39.79438
"2013-04-16" 47.663551 48.07333 47.462257 40.149803
"2013-04-17" 47.641983 47.965492 47.318478 39.896793
"2013-04-18" 47.692307 47.749821 46.635513 39.155849
"2013-04-19" 46.930267 46.966209 46.542057 39.179932
"2013-04-22" 46.757729 47.038101 46.419842 39.312462
"2013-04-23" 46.29044 46.470165 45.406181 38.643806
"2013-04-24" 49.173256 50.165348 48.713158 41.354603
"2013-04-25" 49.70525 49.70525 48.195541 40.481121
"2013-04-26" 48.159595 48.31057 47.8936 40.276306
"2013-04-29" 48.274624 48.66283 47.965492 40.72208
"2013-04-30" 48.526241 49.043854 48.152409 41.035328
"2013-05-01" 48.734722 49.036663 48.533428 40.72208
"2013-05-02" 48.619698 49.158878 48.346512 41.01123
"2013-05-03" 49.245148 49.640545 49.237957 41.511211
"2013-05-06" 48.885693 49.417686 48.849747 41.19194
"2013-05-07" 49.338604 49.439251 49.000717 41.336521
"2013-05-08" 49.388927 50.093456 49.209202 41.914833
"2013-05-09" 49.841839 49.956867 49.482388 41.607605
"2013-05-10" 49.827461 50.582314 49.798706 42.384693
"2013-05-13" 49.805897 50.373833 49.194824 41.517242
"2013-05-14" 49.734005 50.481667 49.604603 42.25819
"2013-05-15" 50.251617 50.754852 50.186916 42.119633
"2013-05-16" 50.265995 50.416965 49.841839 41.944958
"2013-05-17" 50.122215 50.53199 49.769951 42.264221
"2013-05-20" 50.395397 50.733284 50.093456 42.444942
"2013-05-21" 50.510426 50.783607 50.323509 42.27626
"2013-05-22" 50.359455 50.992092 49.971245 42.06543
"2013-05-23" 49.561466 49.870598 49.360172 41.746166
"2013-05-24" 49.698059 49.784328 49.281094 41.691936
"2013-05-28" 50.222862 50.618259 50.035946 42.185905
"2013-05-29" 50.129402 50.38821 49.813084 41.890728
"2013-05-30" 49.964054 49.978432 49.28828 41.324471
"2013-05-31" 49.245148 49.662113 48.705967 40.812435
"2013-06-03" 48.734722 49.61179 48.734722 41.571465
"2013-06-04" 49.633358 50.402588 49.252335 41.481102
"2013-06-05" 49.324226 49.690868 48.741913 40.981106
"2013-06-06" 49.101364 51.222141 49.094177 42.842518
"2013-06-07" 51.933861 52.940331 51.847591 44.288273
"2013-06-10" 52.767792 53.120056 51.905106 43.655758
"2013-06-11" 51.660675 52.523365 51.538464 43.228046
"2013-06-12" 51.646297 52.242992 51.344357 43.191917
"2013-06-13" 51.423435 51.653488 51.078362 43.137707
"2013-06-14" 51.473759 51.574406 51.01366 42.836487
"2013-06-17" 51.430626 51.933861 51.01366 43.131668
"2013-06-18" 51.595974 52.207047 51.595974 43.505161
"2013-06-19" 51.905106 52.221424 51.279655 43.077454
"2013-06-20" 50.905823 51.042416 49.769951 41.800377
"2013-06-21" 50.122215 50.323509 49.475197 41.553379
"2013-06-24" 48.928829 49.28828 48.209923 41.023277
"2013-06-25" 49.511143 49.683681 49.115746 41.167858
"2013-06-26" 49.575844 49.906544 49.252335 41.697956
"2013-06-27" 50.186916 50.316319 49.719627 41.92688
"2013-06-28" 50.050323 50.244427 49.532711 41.770252
"2013-07-01" 50.035946 50.675774 49.791515 42.300369
"2013-07-02" 50.452911 50.948959 50.23724 42.228069
"2013-07-03" 50.273186 51.222141 50.064701 42.842518
"2013-07-05" 51.473759 51.567219 50.855499 43.167809
"2013-07-08" 52.1064 52.523365 51.905106 43.667797
"2013-07-09" 52.703091 52.810928 52.235802 43.975029
"2013-07-10" 52.228615 52.286125 51.660675 43.790443
"2013-07-11" 50.984901 52.293316 50.596691 43.288155
"2013-07-12" 51.39468 51.7757 50.647018 42.749535
"2013-07-15" 50.934578 51.840405 50.891445 43.42733
"2013-07-16" 51.797268 51.984184 50.977715 43.312359
"2013-07-17" 51.761322 51.761322 51.107117 43.209473
"2013-07-18" 51.308411 52.034508 51.24371 43.693623
"2013-07-19" 51.976994 51.998562 51.430626 43.620998
"2013-07-22" 51.416248 51.754135 51.258087 43.251839
"2013-07-23" 51.351547 51.452194 50.345074 42.622463
"2013-07-24" 50.783607 51.401871 50.618259 43.239727
"2013-07-25" 51.502518 51.840405 51.308411 43.633114
"2013-07-26" 51.761322 53.213516 51.595974 44.78294
"2013-07-29" 52.918762 53.033791 52.49461 44.492458
"2013-07-30" 53.055355 53.184757 52.336449 44.208015
"2013-07-31" 52.717468 52.875629 52.31488 44.129345
"2013-08-01" 52.839684 53.292595 52.73185 44.72242
"2013-08-02" 53.127247 53.50108 52.803738 45.018951
"2013-08-05" 53.55859 53.80302 52.997845 45.279186
"2013-08-06" 53.723942 53.774261 53.148815 44.78294
"2013-08-07" 53.436378 53.673615 53.08411 44.710323
"2013-08-08" 53.271027 53.55859 53.134438 44.843445
"2013-08-09" 53.141624 53.882099 53.055355 45.024998
"2013-08-12" 53.386051 54.011501 53.32135 45.067368
"2013-08-13" 52.056076 52.55212 51.567219 44.159607
"2013-08-14" 52.034508 52.710281 51.962616 44.214062
"2013-08-15" 52.242992 52.386772 51.941051 43.857018
"2013-08-16" 51.941051 52.192665 51.761322 43.669411
"2013-08-19" 51.969807 52.480228 51.804459 43.620998
"2013-08-20" 51.991371 52.508987 51.948238 43.9599
"2013-08-21" 52.171101 52.415527 51.818836 43.699665
"2013-08-22" 52.070454 52.480228 52.02013 44.026459
"2013-08-23" 52.365204 52.422718 51.703812 43.917538
"2013-08-26" 52.156723 52.300503 51.696621 43.590736
"2013-08-27" 51.373112 51.703812 51.229332 43.191322
"2013-08-28" 51.171818 51.258087 50.869877 42.834263
"2013-08-29" 50.819553 51.272465 50.611073 42.69508
"2013-08-30" 50.697338 50.697338 50.014378 42.374332
"2013-09-03" 50.855499 50.999283 50.071892 42.362236
"2013-09-04" 49.777138 50.100647 49.446442 42.138325
"2013-09-05" 50.244427 50.913013 50.136593 42.265408
"2013-09-06" 50.366642 50.596691 49.913731 42.126213
"2013-09-09" 50.424156 51.552841 50.424156 43.257893
"2013-09-10" 51.552841 51.639111 51.063984 43.288155
"2013-09-11" 51.480949 51.912292 51.272465 43.699665
"2013-09-12" 52.005753 52.365204 51.854782 43.808598
"2013-09-13" 52.127964 52.264557 51.826023 43.893326
"2013-09-16" 52.480228 52.624012 52.113586 43.965946
"2013-09-17" 52.171101 52.63839 52.092018 44.020401
"2013-09-18" 52.178288 53.0266 51.969807 44.552967
"2013-09-19" 52.954708 52.954708 52.25737 44.014362
"2013-09-20" 52.271748 52.329262 51.761322 43.627052
"2013-09-23" 51.696621 51.876347 51.322788 43.4576
"2013-09-24" 51.653488 52.271748 51.552841 43.608898
"2013-09-25" 51.761322 51.790077 51.365925 43.330513
"2013-09-26" 51.682243 52.156723 51.54565 43.796505
"2013-09-27" 51.854782 52.16391 51.696621 43.651253
"2013-09-30" 51.416248 51.660675 51.056793 43.203426
"2013-10-01" 51.459381 51.574406 51.092739 43.318409
