"Index" "Open" "High" "Low" "Price"
"2012-09-17" 64.747574 65.184464 64.650482 59.793457
"2012-09-18" 64.844658 65.242722 64.737862 60.025734
"2012-09-19" 65.184464 65.776695 65.067963 59.981052
"2012-09-20" 64.970871 65.20388 64.475731 59.641571
"2012-09-21" 65.126213 65.737862 64.951454 60.258011
"2012-09-24" 65.262138 65.679611 64.990288 60.338402
"2012-09-25" 65.650482 65.922333 64.902916 59.881565
"2012-09-26" 64.94175 65.048546 64.398056 59.550133
"2012-09-27" 64.737862 65.388351 64.56311 60.159252
"2012-09-28" 64.631065 65.786407 64.56311 60.571293
"2012-10-01" 65.79612 66.990288 65.601944 60.795246
"2012-10-02" 65.893204 66.126213 65.106796 60.302574
"2012-10-03" 65.582527 65.834953 65.262138 60.275703
"2012-10-04" 65.524269 65.611649 64.990288 60.25779
"2012-10-05" 65.650482 65.805824 64.786407 59.90844
"2012-10-08" 64.815536 65.262138 64.446602 59.854694
"2012-10-09" 64.514565 64.514565 61.893204 57.104717
"2012-10-10" 61.621361 61.660194 60.417477 56.083549
"2012-10-11" 61.155338 61.776699 61.05825 56.343323
"2012-10-12" 61.14563 61.660194 60.165051 55.770027
"2012-10-15" 60.621361 61.407768 60.495148 56.585167
"2012-10-16" 62 62.660194 61.572815 57.113667
"2012-10-17" 61.805824 62.126213 61.300972 57.239075
"2012-10-18" 61.184467 62.14563 61.184467 57.256985
"2012-10-19" 61.864079 61.864079 60.68932 56.155197
"2012-10-22" 60.757282 61.631069 60.718449 56.853897
"2012-10-23" 60.85437 60.922329 60.330097 55.66254
"2012-10-24" 60.699028 60.970875 60.262135 55.787945
"2012-10-25" 61.087379 62.699028 60.466019 57.310738
"2012-10-26" 62.242718 62.533981 61.592232 56.925564
"2012-10-31" 61.650486 62.592232 61.359222 57.516754
"2012-11-01" 62.252426 63.728153 62.194176 58.717079
"2012-11-02" 63.669903 64.067963 63.106796 58.269203
"2012-11-05" 63.155338 63.883495 62.776699 58.833527
"2012-11-06" 63.815533 64.29126 63.553398 59.129135
"2012-11-07" 63.495148 63.495148 62.388351 58.072151
"2012-11-08" 62.902912 63.14563 62.475727 57.928814
"2012-11-09" 62.961166 63.184467 62.466019 57.946709
"2012-11-12" 62.970875 63.203884 62.563107 57.955662
"2012-11-13" 62.650486 63.407768 62.533981 57.722794
"2012-11-14" 62.669903 62.961166 62.262135 57.633213
"2012-11-15" 62.417477 62.54369 61.708736 57.552589
"2012-11-16" 62.339806 64.805824 61.94175 57.722794
"2012-11-19" 62.922329 63.902912 62.699028 58.958935
"2012-11-20" 63.60194 64.786407 63.45631 59.388901
"2012-11-21" 64.320389 64.601944 63.893204 59.147034
"2012-11-23" 64.310677 64.922333 64.097084 59.872604
"2012-11-26" 64.689323 64.689323 63.339806 59.254539
"2012-11-27" 64.135925 65.320389 63.815533 59.138077
"2012-11-28" 63.85437 64.252426 63.087379 59.209743
"2012-11-29" 64.572815 64.728157 63.796116 59.442635
"2012-11-30" 64.514565 64.533981 63.45631 59.093307
"2012-12-03" 64.29126 64.378639 63.427185 58.627502
"2012-12-04" 63.621361 64.135925 63.359222 58.976845
"2012-12-05" 63.922329 64.213593 63.446602 58.788742
"2012-12-06" 63.611649 64.019417 63.504852 58.860397
"2012-12-07" 63.844662 64.038834 63.417477 58.663334
"2012-12-10" 63.349514 63.902912 63.242718 58.672298
"2012-12-11" 64.106796 65.300972 64.087379 60.069668
"2012-12-12" 65.310677 66.398056 64.864075 60.508579
"2012-12-13" 65.466019 65.679611 65.300972 60.329445
"2012-12-14" 65.116508 65.70874 64.805824 60.248814
"2012-12-17" 65.456314 66.20388 65.184464 61.019184
"2012-12-18" 66.184464 67.077667 66.077667 61.556656
"2012-12-19" 66.844658 66.893204 66.20388 61.12669
"2012-12-20" 66.466019 66.85437 65.932037 61.628284
"2012-12-21" 66.466019 66.466019 65.504852 60.589218
"2012-12-24" 65.233009 65.932037 65.009712 60.265896
"2012-12-26" 65.213593 65.398056 64.349518 59.798851
"2012-12-27" 64.640778 64.883492 63.834949 59.933563
"2012-12-28" 64.368935 64.70874 63.611649 58.864773
