"Index" "Open" "High" "Low" "Price"
"2013-02-01" 31.5 31.74 30.469999 29.014494
"2013-02-04" 31.09 31.99 30.76 29.023857
"2013-02-05" 31.25 31.98 30.85 29.042562
"2013-02-06" 30.98 31.43 30.75 29.033205
"2013-02-07" 31 32.73 31 29.94079
"2013-02-08" 32.310001 33.48 32.299999 30.923216
"2013-02-11" 33.060001 33.5 32.880001 31.119711
"2013-02-12" 33.400002 34 33.150002 31.568819
"2013-02-13" 33.799999 33.799999 33 31.391045
"2013-02-14" 33.389999 33.450001 32.77 31.129068
"2013-02-15" 33.310001 34.09 33 31.793377
"2013-02-19" 34.02 34.07 33.57 31.662394
"2013-02-20" 33.84 33.880001 32.599998 30.61446
"2013-02-21" 32.5 32.799999 31.860001 30.464752
"2013-02-22" 32.779999 32.93 32.5 30.492823
"2013-02-25" 32.68 32.689999 32 30.006289
"2013-02-26" 32.049999 32.400002 31.99 29.978212
"2013-02-27" 32 33.049999 32 30.240194
"2013-02-28" 32.560001 33.549999 32.560001 31.29748
"2013-03-01" 33.360001 34.700001 33.150002 32.373478
"2013-03-04" 34.799999 34.889999 34.240002 32.139561
"2013-03-05" 34.41 34.48 33.75 32.083431
"2013-03-06" 34.34 34.380001 33.849998 31.671743
"2013-03-07" 33.950001 34.68 33.560001 32.336063
"2013-03-08" 34.029999 34.689999 33.799999 31.896299
"2013-03-11" 33.970001 34.259998 33.25 31.980497
"2013-03-12" 34.119999 34.240002 33.599998 31.643661
"2013-03-13" 33.900002 34.060001 33.080002 31.812086
"2013-03-14" 34.330002 35.419998 34.299999 32.410912
"2013-03-15" 34.700001 34.84 33.310001 31.28812
"2013-03-18" 32.75 32.939999 32.639999 30.726736
"2013-03-19" 32.799999 33.419998 32.330002 30.689306
"2013-03-20" 32.900002 33.540001 32.5 31.353615
"2013-03-21" 33.900002 34 33.290001 31.316189
"2013-03-22" 33.549999 33.75 32.740002 30.988716
"2013-03-25" 33.48 33.48 32.25 30.371183
"2013-03-26" 32.73 32.790001 32 30.417967
"2013-03-27" 32.380001 32.889999 32.060001 30.633169
"2013-03-28" 32.849998 33.5 32.630001 31.250702
"2013-04-01" 33.419998 33.59 32.43 30.492823
"2013-04-02" 32.66 33.130001 32.459999 30.455393
"2013-04-03" 32.669998 32.98 32.360001 30.436674
"2013-04-04" 32.41 32.5 31.709999 29.791086
"2013-04-05" 31.73 32.07 30.57 29.903362
"2013-04-08" 31.950001 32.98 31.77 30.80159
